ecomm_sale_id,week_start_date,item_id,fulfillment_center_id,channel,fulfillment_type,units_sold,units_returned,net_units,gross_sales,net_sales,cogs,gross_margin,shipping_revenue,shipping_cost,num_orders,avg_order_value
60,2024-01-07,84,,Website,Store Pickup,6,0,6,1156.86,1156.86,855.42,301.44,0.0,0.0,3,289.21
61,2024-01-07,663,,App,Curbside Pickup,5,0,5,920.45,920.45,708.25,212.2,0.0,0.0,1,920.45
62,2024-01-07,192,,Website,Store Pickup,8,0,8,1498.48,1498.48,1096.8,401.68,0.0,0.0,4,374.62
63,2024-01-07,916,,App,Store Pickup,3,0,3,892.26,892.26,575.94,316.32,0.0,0.0,1,446.13
64,2024-01-07,684,FC008,Website,Ship to Home,3,0,3,150.87,150.87,100.56,50.31,25.259999999999998,37.89,1,150.87
65,2024-01-07,828,FC005,Website,Ship to Home,6,0,6,898.62,898.62,676.02,222.6,2.52,3.78,3,179.72
66,2024-01-07,891,FC001,App,Ship to Home,4,0,4,1230.4,1230.4,796.44,433.96,17.4,26.1,1,615.2
67,2024-01-07,139,,App,Same-Day Delivery,3,0,3,432.81,432.81,335.52,97.29,0.0,0.0,1,432.81
68,2024-01-07,749,,App,Store Pickup,2,0,2,267.62,267.62,191.7,75.92,0.0,0.0,1,133.81
69,2024-01-07,874,,Website,Curbside Pickup,7,0,7,496.16,496.16,376.67,119.49,0.0,0.0,3,124.04
70,2024-01-07,605,,App,Same-Day Delivery,5,0,5,1040.8,1040.8,701.05,339.75,0.0,0.0,1,260.2
71,2024-01-07,316,,App,Same-Day Delivery,9,0,9,2329.92,2329.92,1575.27,754.65,0.0,0.0,2,776.64
72,2024-01-07,513,,App,Curbside Pickup,12,1,11,56.16,51.48,36.52,14.96,0.0,0.0,5,56.16
73,2024-01-07,642,,Website,Same-Day Delivery,4,0,4,555.16,555.16,462.36,92.8,0.0,0.0,2,277.58
74,2024-01-07,266,FC002,App,Ship to Home,4,0,4,755.04,755.04,552.44,202.6,15.24,22.86,2,251.68
75,2024-01-07,519,,App,Curbside Pickup,5,0,5,1030.0,1030.0,737.55,292.45,0.0,0.0,2,343.33
76,2024-01-07,285,,Website,Curbside Pickup,8,0,8,708.4,708.4,460.32,248.08,0.0,0.0,1,236.13
77,2024-01-07,180,FC009,App,Ship to Home,5,0,5,841.4,841.4,593.25,248.15,31.85,47.78,2,210.35
78,2024-01-07,418,,Website,Same-Day Delivery,6,0,6,916.02,916.02,663.78,252.24,0.0,0.0,2,229.0
79,2024-01-07,702,FC003,App,Ship to Home,10,0,10,1374.7,1374.7,956.3,418.4,29.700000000000003,44.55,3,137.47
80,2024-01-07,8,,App,Store Pickup,4,0,4,594.68,594.68,395.84,198.84,0.0,0.0,1,148.67
81,2024-01-07,739,,Website,Same-Day Delivery,2,0,2,239.8,239.8,173.96,65.84,0.0,0.0,1,239.8
82,2024-01-07,496,,Website,Store Pickup,4,0,4,225.72,225.72,172.84,52.88,0.0,0.0,2,112.86
83,2024-01-07,613,,App,Same-Day Delivery,2,0,2,188.22,188.22,129.74,58.48,0.0,0.0,1,188.22
84,2024-01-07,419,FC006,Website,Ship to Home,3,0,3,26.16,26.16,21.54,4.62,21.39,32.09,1,8.72
85,2024-01-07,374,,Website,Store Pickup,7,0,7,46.69,46.69,30.17,16.52,0.0,0.0,3,46.69
86,2024-01-07,90,,Website,Same-Day Delivery,5,0,5,211.3,211.3,159.5,51.8,0.0,0.0,2,105.65
87,2024-01-07,188,FC004,App,Ship to Home,6,0,6,193.26,193.26,124.8,68.46,7.62,11.43,3,48.31
88,2024-01-07,812,,App,Store Pickup,6,0,6,807.72,807.72,506.94,300.78,0.0,0.0,1,807.72
89,2024-01-07,890,,Website,Store Pickup,8,0,8,2179.28,2179.28,1556.56,622.72,0.0,0.0,3,544.82
90,2024-01-07,647,,Website,Curbside Pickup,6,0,6,1293.9,1293.9,903.48,390.42,0.0,0.0,1,258.78
91,2024-01-07,291,,App,Store Pickup,3,0,3,169.56,169.56,133.14,36.42,0.0,0.0,1,84.78
92,2024-01-07,294,,Website,Curbside Pickup,5,0,5,397.0,397.0,322.0,75.0,0.0,0.0,2,132.33
93,2024-01-07,919,,App,Curbside Pickup,4,0,4,981.76,981.76,684.76,297.0,0.0,0.0,2,327.25
94,2024-01-07,271,,App,Store Pickup,5,0,5,1248.75,1248.75,955.2,293.55,0.0,0.0,1,249.75
95,2024-01-07,457,,App,Store Pickup,3,0,3,52.74,52.74,39.42,13.32,0.0,0.0,1,52.74
96,2024-01-07,711,FC004,App,Ship to Home,10,0,10,2690.1,2690.1,1781.9,908.2,52.699999999999996,79.05,3,384.3
97,2024-01-07,492,FC002,Website,Ship to Home,8,0,8,146.48,146.48,102.0,44.48,21.04,31.56,2,73.24
98,2024-01-07,578,FC003,Website,Ship to Home,2,0,2,610.76,610.76,389.84,220.92,11.82,17.73,1,305.38
99,2024-01-07,221,,Website,Curbside Pickup,7,0,7,91.84,91.84,59.85,31.99,0.0,0.0,1,18.37
100,2024-01-07,398,,Website,Store Pickup,8,0,8,1564.64,1564.64,1005.04,559.6,0.0,0.0,3,521.55
101,2024-01-07,202,,App,Same-Day Delivery,6,0,6,208.8,208.8,161.82,46.98,0.0,0.0,3,41.76
102,2024-01-07,94,FC008,App,Ship to Home,7,0,7,555.45,555.45,407.82,147.63,28.560000000000002,42.84,1,277.73
103,2024-01-07,968,,App,Store Pickup,6,0,6,1581.78,1581.78,1114.56,467.22,0.0,0.0,1,263.63
104,2024-01-07,417,FC009,App,Ship to Home,5,0,5,227.1,227.1,146.15,80.95,40.099999999999994,60.15,2,113.55
105,2024-01-07,254,FC003,Website,Ship to Home,6,0,6,513.54,513.54,364.68,148.86,7.5600000000000005,11.34,2,128.38
106,2024-01-07,522,,App,Store Pickup,7,0,7,1583.12,1583.12,1076.39,506.73,0.0,0.0,2,263.85
107,2024-01-07,341,,App,Curbside Pickup,6,0,6,803.46,803.46,633.54,169.92,0.0,0.0,3,401.73
108,2024-01-07,912,FC006,Website,Ship to Home,3,0,3,280.32,280.32,225.96,54.36,8.19,12.29,1,140.16
109,2024-01-07,370,,Website,Same-Day Delivery,2,0,2,187.26,187.26,146.74,40.52,0.0,0.0,1,187.26
110,2024-01-07,827,FC002,Website,Ship to Home,4,0,4,827.2,827.2,558.2,269.0,1.08,1.62,2,206.8
111,2024-01-07,480,,App,Curbside Pickup,1,0,1,44.27,44.27,29.54,14.73,0.0,0.0,1,44.27
112,2024-01-07,586,FC002,App,Ship to Home,8,0,8,597.68,597.68,467.76,129.92,22.48,33.72,1,99.61
113,2024-01-07,422,,App,Same-Day Delivery,6,0,6,106.26,106.26,76.5,29.76,0.0,0.0,3,17.71
114,2024-01-07,551,,App,Store Pickup,4,0,4,369.92,369.92,281.56,88.36,0.0,0.0,1,92.48
115,2024-01-07,382,,Website,Curbside Pickup,3,0,3,553.68,553.68,459.09,94.59,0.0,0.0,1,553.68
116,2024-01-07,988,,Website,Store Pickup,7,0,7,515.41,515.41,347.06,168.35,0.0,0.0,3,128.85
117,2024-01-07,396,,App,Store Pickup,2,0,2,25.68,25.68,19.16,6.52,0.0,0.0,1,12.84
118,2024-01-07,493,,App,Same-Day Delivery,5,0,5,516.8,516.8,352.9,163.9,0.0,0.0,2,103.36
119,2024-01-07,805,,Website,Curbside Pickup,6,0,6,519.0,519.0,421.62,97.38,0.0,0.0,3,173.0
120,2024-01-07,111,FC001,Website,Ship to Home,6,0,6,6.54,6.54,4.86,1.68,2.46,3.69,2,1.31
121,2024-01-07,173,,Website,Same-Day Delivery,5,0,5,601.05,601.05,398.2,202.85,0.0,0.0,2,120.21
122,2024-01-07,420,,Website,Curbside Pickup,9,1,8,1979.55,1759.6,1424.32,335.28,0.0,0.0,3,989.77
123,2024-01-07,324,,Website,Same-Day Delivery,5,0,5,554.45,554.45,349.75,204.7,0.0,0.0,2,554.45
124,2024-01-07,327,,App,Store Pickup,5,0,5,18.7,18.7,12.2,6.5,0.0,0.0,2,3.74
125,2024-01-07,951,,App,Store Pickup,4,0,4,769.84,769.84,512.32,257.52,0.0,0.0,2,384.92
126,2024-01-07,347,FC007,Website,Ship to Home,5,0,5,402.75,402.75,271.0,131.75,2.9499999999999997,4.42,1,402.75
127,2024-01-07,783,,App,Curbside Pickup,5,0,5,262.5,262.5,201.75,60.75,0.0,0.0,1,87.5
128,2024-01-07,554,,App,Same-Day Delivery,4,0,4,155.96,155.96,105.24,50.72,0.0,0.0,1,77.98
129,2024-01-07,641,,Website,Curbside Pickup,7,0,7,1460.34,1460.34,1132.53,327.81,0.0,0.0,2,243.39
130,2024-01-07,822,,App,Store Pickup,5,0,5,938.15,938.15,707.55,230.6,0.0,0.0,1,187.63
131,2024-01-07,803,FC003,Website,Ship to Home,7,0,7,383.53,383.53,254.59,128.94,0.63,0.95,2,63.92
132,2024-01-07,651,,Website,Store Pickup,6,0,6,180.84,180.84,146.64,34.2,0.0,0.0,1,30.14
133,2024-01-07,30,,Website,Store Pickup,6,0,6,1097.46,1097.46,748.92,348.54,0.0,0.0,1,548.73
134,2024-01-07,940,FC009,Website,Ship to Home,2,0,2,89.26,89.26,58.38,30.88,12.94,19.41,1,89.26
135,2024-01-07,466,,Website,Curbside Pickup,3,0,3,21.24,21.24,15.0,6.24,0.0,0.0,1,10.62
136,2024-01-07,284,FC001,Website,Ship to Home,8,0,8,1847.36,1847.36,1474.24,373.12,46.32,69.48,1,923.68
137,2024-01-07,871,FC009,App,Ship to Home,1,0,1,192.23,192.23,130.94,61.29,2.87,4.3,1,192.23
138,2024-01-07,748,FC010,App,Ship to Home,5,0,5,1070.85,1070.85,792.15,278.7,28.599999999999998,42.9,2,267.71
139,2024-01-07,335,,Website,Store Pickup,5,0,5,283.05,283.05,217.45,65.6,0.0,0.0,1,56.61
140,2024-01-07,319,,App,Store Pickup,4,0,4,205.84,205.84,144.6,61.24,0.0,0.0,2,68.61
141,2024-01-07,655,FC005,Website,Ship to Home,9,0,9,2573.73,2573.73,1758.87,814.86,41.76,62.64,4,514.75
142,2024-01-07,982,,Website,Curbside Pickup,10,0,10,1004.9,1004.9,675.1,329.8,0.0,0.0,1,334.97
143,2024-01-07,958,FC005,Website,Ship to Home,6,0,6,1286.22,1286.22,864.96,421.26,33.24,49.86,2,257.24
144,2024-01-07,207,,Website,Same-Day Delivery,5,0,5,1170.25,1170.25,934.1,236.15,0.0,0.0,1,234.05
145,2024-01-07,36,,Website,Same-Day Delivery,3,0,3,647.7,647.7,459.84,187.86,0.0,0.0,1,647.7
146,2024-01-07,236,,App,Curbside Pickup,5,0,5,1129.6,1129.6,789.25,340.35,0.0,0.0,2,225.92
147,2024-01-07,472,,Website,Store Pickup,5,0,5,1260.65,1260.65,868.7,391.95,0.0,0.0,1,315.16
148,2024-01-07,545,FC006,Website,Ship to Home,5,0,5,1146.15,1146.15,770.75,375.4,18.85,28.28,1,286.54
149,2024-01-07,178,,App,Same-Day Delivery,7,0,7,202.09,202.09,152.88,49.21,0.0,0.0,1,202.09
150,2024-01-07,888,,Website,Curbside Pickup,7,0,7,1292.55,1292.55,877.03,415.52,0.0,0.0,2,215.42
151,2024-01-07,352,,App,Store Pickup,2,0,2,295.56,295.56,200.46,95.1,0.0,0.0,1,147.78
152,2024-01-07,821,,App,Store Pickup,3,0,3,547.71,547.71,439.38,108.33,0.0,0.0,1,182.57
153,2024-01-07,975,,Website,Store Pickup,1,0,1,314.01,314.01,196.89,117.12,0.0,0.0,1,314.01
154,2024-01-07,964,,Website,Store Pickup,4,0,4,1145.88,1145.88,788.52,357.36,0.0,0.0,2,286.47
155,2024-01-07,87,FC008,Website,Ship to Home,5,0,5,1394.8,1394.8,968.5,426.3,33.55,50.32,2,348.7
156,2024-01-07,363,FC006,Website,Ship to Home,5,0,5,828.7,828.7,518.8,309.9,20.950000000000003,31.43,1,276.23
157,2024-01-07,896,,Website,Curbside Pickup,4,0,4,880.12,880.12,595.48,284.64,0.0,0.0,1,293.37
158,2024-01-07,15,,Website,Same-Day Delivery,9,0,9,874.08,874.08,640.62,233.46,0.0,0.0,2,437.04
159,2024-01-07,205,,Website,Store Pickup,7,0,7,556.01,556.01,442.68,113.33,0.0,0.0,1,139.0
160,2024-01-07,228,,App,Store Pickup,5,0,5,918.8,918.8,576.75,342.05,0.0,0.0,1,918.8
161,2024-01-07,932,FC005,App,Ship to Home,7,0,7,868.21,868.21,592.83,275.38,44.03,66.05,3,144.7
162,2024-01-07,289,FC008,Website,Ship to Home,1,0,1,143.47,143.47,90.04,53.43,8.85,13.27,1,143.47
163,2024-01-07,744,,Website,Curbside Pickup,4,0,4,22.88,22.88,18.96,3.92,0.0,0.0,2,7.63
164,2024-01-07,309,,App,Store Pickup,3,0,3,419.61,419.61,310.71,108.9,0.0,0.0,1,209.81
165,2024-01-07,732,FC010,App,Ship to Home,10,0,10,1920.2,1920.2,1270.8,649.4,45.4,68.1,3,960.1
166,2024-01-07,850,,App,Store Pickup,2,0,2,112.98,112.98,78.76,34.22,0.0,0.0,1,112.98
167,2024-01-07,453,,Website,Same-Day Delivery,3,0,3,718.17,718.17,463.44,254.73,0.0,0.0,1,359.08
168,2024-01-07,606,FC001,App,Ship to Home,6,0,6,173.64,173.64,117.36,56.28,17.52,26.28,1,173.64
169,2024-01-07,79,,Website,Curbside Pickup,3,0,3,305.94,305.94,239.79,66.15,0.0,0.0,1,152.97
170,2024-01-07,351,,App,Store Pickup,7,0,7,1595.72,1595.72,1112.86,482.86,0.0,0.0,3,531.91
171,2024-01-07,573,FC007,Website,Ship to Home,3,0,3,224.04,224.04,156.9,67.14,20.759999999999998,31.14,1,112.02
172,2024-01-07,470,,App,Curbside Pickup,3,0,3,405.24,405.24,333.0,72.24,0.0,0.0,1,202.62
173,2024-01-07,565,,Website,Same-Day Delivery,6,0,6,823.62,823.62,649.92,173.7,0.0,0.0,3,823.62
174,2024-01-07,709,,App,Store Pickup,3,0,3,477.45,477.45,352.92,124.53,0.0,0.0,1,238.72
175,2024-01-07,507,FC007,Website,Ship to Home,3,0,3,802.98,802.98,520.38,282.6,2.9699999999999998,4.46,1,401.49
176,2024-01-07,633,FC003,Website,Ship to Home,5,0,5,323.15,323.15,213.05,110.1,7.5,11.25,1,107.72
177,2024-01-07,428,FC008,Website,Ship to Home,3,0,3,650.25,650.25,407.1,243.15,2.61,3.92,1,650.25
178,2024-01-07,321,,Website,Curbside Pickup,2,0,2,47.2,47.2,36.16,11.04,0.0,0.0,1,23.6
179,2024-01-07,853,,App,Curbside Pickup,9,0,9,1765.17,1765.17,1180.71,584.46,0.0,0.0,1,196.13
180,2024-01-07,981,FC001,Website,Ship to Home,4,0,4,720.08,720.08,455.92,264.16,29.12,43.68,2,360.04
181,2024-01-07,776,,Website,Curbside Pickup,7,0,7,1015.14,1015.14,691.95,323.19,0.0,0.0,3,169.19
182,2024-01-07,706,,Website,Curbside Pickup,6,0,6,293.58,293.58,236.1,57.48,0.0,0.0,1,48.93
183,2024-01-07,737,,App,Store Pickup,3,0,3,104.13,104.13,84.42,19.71,0.0,0.0,1,52.06
184,2024-01-07,19,FC008,Website,Ship to Home,7,0,7,152.04,152.04,98.42,53.62,49.49,74.23,3,30.41
185,2024-01-07,541,FC002,Website,Ship to Home,5,0,5,1274.45,1274.45,926.8,347.65,6.3,9.45,2,637.23
186,2024-01-07,388,,App,Same-Day Delivery,1,0,1,260.27,260.27,182.49,77.78,0.0,0.0,1,260.27
187,2024-01-07,735,,Website,Store Pickup,4,0,4,823.24,823.24,647.24,176.0,0.0,0.0,1,823.24
188,2024-01-07,973,,Website,Same-Day Delivery,5,0,5,1214.6,1214.6,824.2,390.4,0.0,0.0,1,404.87
189,2024-01-07,612,,App,Curbside Pickup,4,0,4,1056.44,1056.44,791.44,265.0,0.0,0.0,2,528.22
190,2024-01-07,911,,App,Same-Day Delivery,4,0,4,113.16,113.16,87.24,25.92,0.0,0.0,1,28.29
191,2024-01-07,815,,Website,Same-Day Delivery,5,0,5,404.8,404.8,291.05,113.75,0.0,0.0,2,404.8
192,2024-01-07,27,,App,Same-Day Delivery,4,0,4,904.72,904.72,653.64,251.08,0.0,0.0,1,452.36
193,2024-01-07,177,,Website,Curbside Pickup,3,0,3,204.06,204.06,162.15,41.91,0.0,0.0,1,68.02
194,2024-01-07,260,,App,Store Pickup,5,0,5,179.6,179.6,122.0,57.6,0.0,0.0,2,35.92
195,2024-01-07,765,FC002,Website,Ship to Home,7,0,7,30.73,30.73,25.27,5.46,40.46,60.69,2,10.24
196,2024-01-07,149,,App,Same-Day Delivery,8,0,8,1164.96,1164.96,730.16,434.8,0.0,0.0,1,1164.96
197,2024-01-07,518,,App,Same-Day Delivery,6,0,6,1643.58,1643.58,1174.26,469.32,0.0,0.0,2,328.72
198,2024-01-07,679,,App,Store Pickup,6,0,6,157.44,157.44,123.6,33.84,0.0,0.0,3,78.72
199,2024-01-07,775,,App,Store Pickup,3,0,3,378.54,378.54,260.25,118.29,0.0,0.0,1,378.54
200,2024-01-07,181,FC004,Website,Ship to Home,8,0,8,298.8,298.8,226.16,72.64,1.84,2.76,4,149.4
201,2024-01-07,44,,Website,Store Pickup,4,0,4,382.72,382.72,279.08,103.64,0.0,0.0,2,191.36
202,2024-01-07,304,,Website,Store Pickup,7,0,7,414.89,414.89,277.83,137.06,0.0,0.0,1,103.72
203,2024-01-07,101,,Website,Curbside Pickup,4,0,4,377.24,377.24,265.08,112.16,0.0,0.0,2,188.62
204,2024-01-07,804,,App,Same-Day Delivery,5,0,5,706.9,706.9,580.95,125.95,0.0,0.0,2,353.45
205,2024-01-07,525,,App,Store Pickup,6,0,6,1230.06,1230.06,777.66,452.4,0.0,0.0,3,205.01
206,2024-01-07,240,,App,Store Pickup,2,0,2,236.72,236.72,189.96,46.76,0.0,0.0,1,236.72
207,2024-01-07,469,,App,Same-Day Delivery,4,0,4,86.76,86.76,54.76,32.0,0.0,0.0,2,28.92
208,2024-01-07,23,,Website,Store Pickup,7,0,7,1071.21,1071.21,685.72,385.49,0.0,0.0,2,535.61
209,2024-01-07,401,,App,Curbside Pickup,3,0,3,401.04,401.04,315.78,85.26,0.0,0.0,1,401.04
210,2024-01-07,247,FC004,Website,Ship to Home,4,0,4,168.6,168.6,116.8,51.8,4.84,7.26,2,56.2
211,2024-01-07,808,,Website,Store Pickup,5,0,5,1114.05,1114.05,763.2,350.85,0.0,0.0,1,1114.05
212,2024-01-07,227,,Website,Curbside Pickup,5,0,5,1354.3,1354.3,896.05,458.25,0.0,0.0,1,1354.3
213,2024-01-07,109,,Website,Curbside Pickup,4,0,4,843.08,843.08,607.56,235.52,0.0,0.0,2,843.08
214,2024-01-07,893,,App,Same-Day Delivery,4,0,4,751.0,751.0,603.36,147.64,0.0,0.0,1,375.5
215,2024-01-07,66,,App,Curbside Pickup,5,0,5,986.35,986.35,723.15,263.2,0.0,0.0,1,493.18
216,2024-01-07,543,,App,Curbside Pickup,4,0,4,1169.6,1169.6,775.76,393.84,0.0,0.0,2,584.8
217,2024-01-07,62,,App,Curbside Pickup,7,0,7,1350.65,1350.65,988.61,362.04,0.0,0.0,2,675.33
218,2024-01-07,212,,App,Store Pickup,3,0,3,527.31,527.31,377.07,150.24,0.0,0.0,1,527.31
219,2024-01-07,256,FC001,App,Ship to Home,3,0,3,584.28,584.28,396.84,187.44,17.490000000000002,26.24,1,292.14
220,2024-01-07,95,,Website,Same-Day Delivery,2,0,2,50.14,50.14,32.38,17.76,0.0,0.0,1,50.14
221,2024-01-07,974,,Website,Store Pickup,7,0,7,1227.24,1227.24,998.41,228.83,0.0,0.0,1,175.32
222,2024-01-07,215,,App,Same-Day Delivery,9,0,9,2353.86,2353.86,1559.43,794.43,0.0,0.0,3,470.77
223,2024-01-07,290,FC001,Website,Ship to Home,7,0,7,1031.17,1031.17,654.71,376.46,43.82,65.73,1,206.23
224,2024-01-07,531,FC002,Website,Ship to Home,6,0,6,772.68,772.68,642.66,130.02,34.56,51.84,3,386.34
225,2024-01-07,725,,Website,Same-Day Delivery,1,0,1,168.89,168.89,119.18,49.71,0.0,0.0,1,168.89
226,2024-01-07,439,,Website,Same-Day Delivery,7,0,7,1424.36,1424.36,1149.68,274.68,0.0,0.0,2,1424.36
227,2024-01-07,778,,Website,Curbside Pickup,3,0,3,465.09,465.09,301.14,163.95,0.0,0.0,1,465.09
228,2024-01-07,191,FC002,App,Ship to Home,4,0,4,177.8,177.8,135.16,42.64,4.68,7.02,2,44.45
