item_id,item_name,category_id,category_name,subcategory,brand,vendor_id,upc,unit_cost,unit_retail,unit_weight_lbs,unit_volume_cf,is_perishable,is_private_label,is_seasonal,avg_shelf_days,min_shelf_qty,max_shelf_qty,reorder_point,lead_time_days,item_status
46,Sam's Choice Dairy Item 0046,1,Grocery,Dairy,Sam's Choice,V4073,724766165589,56.15,77.51,30.56,1.901,True,True,True,173,2,43,9,12,Active
47,Marketside Frozen Item 0047,1,Grocery,Frozen,Marketside,V2131,110977038883,176.12,260.74,25.88,0.963,True,True,False,215,4,47,10,16,Active
48,Equate Food Snacks Item 0048,1,Grocery,Snacks,Equate Food,V1907,861946100998,158.69,196.33,12.24,3.323,True,False,False,290,5,34,16,18,Active
49,Equate Food Frozen Item 0049,1,Grocery,Frozen,Equate Food,V3954,444424526913,61.67,79.69,6.07,2.684,True,False,False,101,2,25,18,9,Active
50,Store Brand Beverages Item 0050,1,Grocery,Beverages,Store Brand,V1795,350380472038,56.96,70.64,18.11,1.518,True,False,False,71,3,14,4,18,Active
51,Sam's Choice Snacks Item 0051,1,Grocery,Snacks,Sam's Choice,V2164,626002054624,20.97,25.27,22.08,0.93,True,True,True,251,1,64,5,13,Active
52,Store Brand Dairy Item 0052,1,Grocery,Dairy,Store Brand,V4887,191499276830,30.77,46.91,49.7,0.601,True,False,False,317,5,62,22,8,Active
53,Equate Food Snacks Item 0053,1,Grocery,Snacks,Equate Food,V3410,572403587152,181.75,239.72,15.34,3.109,True,False,False,57,2,52,9,9,Active
54,Sam's Choice Bakery Item 0054,1,Grocery,Bakery,Sam's Choice,V1010,595675808653,35.18,43.27,34.5,2.355,True,True,True,154,6,30,17,3,Active
55,Marketside Beverages Item 0055,1,Grocery,Beverages,Marketside,V2741,697493414595,132.41,208.34,11.32,0.753,True,True,False,79,1,15,8,10,Active
56,Store Brand Frozen Item 0056,1,Grocery,Frozen,Store Brand,V2245,545386964769,88.11,122.25,47.14,2.507,True,False,False,48,5,14,16,11,Active
57,Great Value Dairy Item 0057,1,Grocery,Dairy,Great Value,V4524,746715555757,46.17,67.86,47.54,4.998,True,True,False,144,5,14,8,16,Active
58,Equate Food Frozen Item 0058,1,Grocery,Frozen,Equate Food,V3600,640368067420,36.71,52.65,48.46,2.355,True,False,False,171,6,18,8,11,Active
59,Equate Food Frozen Item 0059,1,Grocery,Frozen,Equate Food,V4115,141017352624,132.69,180.48,22.8,1.579,True,False,False,213,5,64,3,18,Active
60,Great Value Bakery Item 0060,1,Grocery,Bakery,Great Value,V3041,588017414546,103.93,150.6,38.02,1.026,True,True,False,154,4,68,18,4,Active
61,Store Brand Bakery Item 0061,1,Grocery,Bakery,Store Brand,V1056,549048500534,142.1,188.18,4.75,4.961,True,False,False,243,1,53,7,16,Discontinued
62,Marketside Beverages Item 0062,1,Grocery,Beverages,Marketside,V2976,619606194160,141.23,192.95,12.26,2.761,True,True,False,313,5,59,7,3,Active
63,Equate Food Frozen Item 0063,1,Grocery,Frozen,Equate Food,V4360,409248663017,186.88,262.21,36.33,4.189,True,False,False,344,4,67,7,15,Active
64,Marketside Frozen Item 0064,1,Grocery,Frozen,Marketside,V2865,456193888210,110.61,156.78,43.49,4.904,True,True,False,203,2,66,16,2,Active
65,Equate Food Snacks Item 0065,1,Grocery,Snacks,Equate Food,V4361,641819166671,77.52,113.6,48.24,0.64,True,False,False,176,1,67,17,4,Active
66,Equate Food Dairy Item 0066,1,Grocery,Dairy,Equate Food,V3681,271669657267,144.63,197.27,3.83,3.91,True,False,False,326,6,37,23,3,Active
67,Store Brand Snacks Item 0067,1,Grocery,Snacks,Store Brand,V4634,635837550654,190.85,276.87,43.63,0.189,True,False,True,330,6,70,12,8,Active
68,Equate Food Dairy Item 0068,1,Grocery,Dairy,Equate Food,V1411,282294211298,152.19,225.48,34.73,4.518,True,False,True,35,3,34,14,14,Active
69,Store Brand Snacks Item 0069,1,Grocery,Snacks,Store Brand,V1696,186651263082,113.4,172.03,30.51,1.919,True,False,False,261,5,21,10,15,Active
70,Equate Food Frozen Item 0070,1,Grocery,Frozen,Equate Food,V2905,417403277612,133.53,208.25,33.91,0.798,True,False,False,183,5,31,23,14,Active
71,Equate Food Frozen Item 0071,1,Grocery,Frozen,Equate Food,V2979,358156110078,40.24,54.48,19.13,1.801,True,False,False,365,3,13,24,13,Active
72,Store Brand Dairy Item 0072,1,Grocery,Dairy,Store Brand,V4411,951632719131,182.17,272.9,39.96,3.039,True,False,False,332,2,51,11,5,Active
73,Great Value Frozen Item 0073,1,Grocery,Frozen,Great Value,V2494,244879382019,157.83,191.5,4.6,1.483,True,True,False,96,2,20,20,12,Active
74,Marketside Bakery Item 0074,1,Grocery,Bakery,Marketside,V2973,988918145940,51.77,79.2,14.83,4.353,True,True,False,246,1,21,10,13,Seasonal
75,Store Brand Frozen Item 0075,1,Grocery,Frozen,Store Brand,V2083,235448546713,18.52,25.15,22.79,3.367,True,False,False,306,4,64,23,12,Active
76,Sam's Choice Snacks Item 0076,1,Grocery,Snacks,Sam's Choice,V3299,343138451678,5.49,8.53,32.42,3.181,True,True,False,365,3,53,16,4,Active
77,Great Value Frozen Item 0077,1,Grocery,Frozen,Great Value,V1961,692221269274,199.19,248.28,6.87,2.274,True,True,False,363,5,38,21,5,Active
78,Great Value Snacks Item 0078,1,Grocery,Snacks,Great Value,V2145,856054759475,123.32,194.31,18.59,2.222,True,True,False,192,1,55,14,18,Discontinued
79,Marketside Dairy Item 0079,1,Grocery,Dairy,Marketside,V1500,601756080094,79.93,101.98,4.67,1.068,True,True,False,17,1,62,13,8,Seasonal
80,Store Brand Bakery Item 0080,1,Grocery,Bakery,Store Brand,V1848,338741697466,14.19,21.37,40.67,1.173,True,False,False,312,1,29,7,5,Active
81,Sam's Choice Dairy Item 0081,1,Grocery,Dairy,Sam's Choice,V1060,969122032652,132.38,160.22,39.44,2.948,True,True,True,142,1,20,16,17,Active
82,Great Value Snacks Item 0082,1,Grocery,Snacks,Great Value,V3431,594389622444,89.93,120.94,25.24,4.728,True,True,True,344,5,31,17,21,Seasonal
83,Great Value Snacks Item 0083,1,Grocery,Snacks,Great Value,V1442,883789736548,169.54,232.36,45.49,0.377,True,True,True,318,2,16,7,9,Active
84,Store Brand Beverages Item 0084,1,Grocery,Beverages,Store Brand,V3446,424401271462,142.57,192.81,22.74,3.031,True,False,True,65,6,53,20,7,Active
85,Sam's Choice Snacks Item 0085,1,Grocery,Snacks,Sam's Choice,V2703,206212876985,68.12,94.1,15.7,1.569,True,True,False,85,6,71,18,3,Active
86,Great Value Dairy Item 0086,1,Grocery,Dairy,Great Value,V2526,245220443325,86.66,129.8,27.86,2.936,True,True,False,175,6,19,16,12,Active
87,Equate Food Dairy Item 0087,1,Grocery,Dairy,Equate Food,V2440,731805153549,193.7,278.96,25.42,0.782,True,False,False,62,3,66,20,12,Active
88,Marketside Beverages Item 0088,1,Grocery,Beverages,Marketside,V3297,945999235805,45.62,62.57,40.94,3.072,True,True,False,20,5,71,24,9,Active
89,Marketside Frozen Item 0089,1,Grocery,Frozen,Marketside,V1743,258354854541,184.35,247.1,28.36,2.01,True,True,True,331,1,17,19,7,Active
90,Equate Food Frozen Item 0090,1,Grocery,Frozen,Equate Food,V2328,755272824750,31.9,42.26,4.34,0.273,True,False,False,323,1,55,5,9,Active
91,Equate Food Snacks Item 0091,1,Grocery,Snacks,Equate Food,V1882,665883171878,121.61,166.08,5.78,2.155,True,False,False,354,5,43,19,10,Active
92,Equate Food Beverages Item 0092,1,Grocery,Beverages,Equate Food,V4872,942720833045,11.43,14.65,6.95,1.285,True,False,False,10,4,59,16,6,Active
93,Store Brand Bakery Item 0093,1,Grocery,Bakery,Store Brand,V4302,178830547759,100.3,153.79,19.91,3.713,True,False,False,242,1,67,13,19,Active
94,Equate Food Snacks Item 0094,1,Grocery,Snacks,Equate Food,V4957,286078462460,58.26,79.35,40.09,3.094,True,False,False,192,1,39,6,8,Active
95,Equate Food Beverages Item 0095,1,Grocery,Beverages,Equate Food,V4054,341976367027,16.19,25.07,16.72,0.849,True,False,False,65,5,44,9,12,Active
96,Sam's Choice Bakery Item 0096,1,Grocery,Bakery,Sam's Choice,V1710,270091008492,21.01,27.36,38.03,3.281,True,True,False,328,4,41,21,19,Active
97,Store Brand Beverages Item 0097,1,Grocery,Beverages,Store Brand,V2294,581684694243,64.98,103.21,3.51,2.217,True,False,False,147,5,15,14,17,Active
98,Equate Food Snacks Item 0098,1,Grocery,Snacks,Equate Food,V2175,808999160978,8.0,10.78,43.23,4.278,True,False,False,266,4,41,21,18,Seasonal
99,Great Value Snacks Item 0099,1,Grocery,Snacks,Great Value,V1771,762805910527,181.86,259.82,23.83,0.763,True,True,True,59,3,57,5,17,Active
100,Great Value Bakery Item 0100,1,Grocery,Bakery,Great Value,V3146,772260083878,141.67,226.16,8.02,1.871,True,True,False,216,3,55,22,2,Active
101,LG TVs Item 0101,2,Electronics,TVs,LG,V2583,376098308926,66.27,94.31,36.21,3.286,False,False,False,83,3,17,21,5,Discontinued
102,LG Audio Item 0102,2,Electronics,Audio,LG,V1347,715509967407,26.23,38.91,18.9,3.96,False,False,False,350,6,65,24,17,Active
103,Sony Cameras Item 0103,2,Electronics,Cameras,Sony,V1738,336013475085,72.68,97.76,17.15,3.833,False,False,False,77,2,16,12,4,Active
104,onn. Cameras Item 0104,2,Electronics,Cameras,onn.,V4138,244388345722,8.03,10.72,29.9,0.78,False,True,False,361,5,63,8,15,Active
105,LG Phones Item 0105,2,Electronics,Phones,LG,V4081,962208399042,193.93,280.08,22.5,2.675,False,False,False,247,2,35,24,19,Seasonal
106,Sony Computers Item 0106,2,Electronics,Computers,Sony,V2714,280243749279,155.74,218.22,40.86,4.008,False,False,True,135,1,53,18,12,Active
107,Samsung Cameras Item 0107,2,Electronics,Cameras,Samsung,V4125,397041279675,170.31,223.79,22.52,2.572,False,False,False,53,2,64,17,12,Discontinued
108,Sony TVs Item 0108,2,Electronics,TVs,Sony,V2581,190170799779,79.59,107.41,18.81,0.151,False,False,False,339,3,62,7,5,Active
109,Sony Phones Item 0109,2,Electronics,Phones,Sony,V3520,117520141303,151.89,210.77,12.87,4.176,False,False,False,318,5,39,6,10,Active
110,Samsung TVs Item 0110,2,Electronics,TVs,Samsung,V3551,170682764789,48.07,69.97,5.63,4.527,False,False,False,15,6,44,21,8,Active
111,LG Audio Item 0111,2,Electronics,Audio,LG,V3337,303652607135,0.81,1.09,33.25,0.437,False,False,False,41,5,46,19,17,Active
112,Sony Audio Item 0112,2,Electronics,Audio,Sony,V2529,921428173109,9.19,12.45,0.91,3.945,False,False,False,343,6,18,21,11,Active
113,LG Cameras Item 0113,2,Electronics,Cameras,LG,V4401,854965668757,68.04,99.14,23.28,3.48,False,False,False,76,1,57,17,2,Active
114,Samsung Phones Item 0114,2,Electronics,Phones,Samsung,V2270,536005252551,177.22,235.04,49.46,2.72,False,False,False,338,2,30,14,2,Active
115,LG Computers Item 0115,2,Electronics,Computers,LG,V4643,917761866683,25.33,34.12,22.04,4.783,False,False,False,102,4,56,18,12,Discontinued
116,onn. Computers Item 0116,2,Electronics,Computers,onn.,V1323,763274407218,160.33,239.03,49.76,0.91,False,True,False,59,1,32,24,10,Active
117,onn. Audio Item 0117,2,Electronics,Audio,onn.,V2831,899045831074,33.75,46.49,43.51,1.769,False,True,False,147,6,62,4,3,Active
118,Sony Computers Item 0118,2,Electronics,Computers,Sony,V1655,134156970372,102.86,154.29,7.22,3.042,False,False,False,24,2,16,10,21,Active
119,Sony Cameras Item 0119,2,Electronics,Cameras,Sony,V2842,507802091871,6.96,8.78,18.66,3.818,False,False,False,278,3,37,13,21,Active
120,Samsung TVs Item 0120,2,Electronics,TVs,Samsung,V2585,718103958517,147.27,206.12,5.98,3.877,False,False,False,116,5,30,18,7,Active
121,Samsung Audio Item 0121,2,Electronics,Audio,Samsung,V1359,850805437251,34.94,51.9,48.38,4.933,False,False,False,40,5,46,12,10,Active
122,Apple Computers Item 0122,2,Electronics,Computers,Apple,V1823,253725751531,102.0,127.35,11.91,2.475,False,False,False,300,3,41,20,5,Active
123,Samsung TVs Item 0123,2,Electronics,TVs,Samsung,V3944,677581468651,62.2,99.51,20.6,2.053,False,False,False,71,3,53,5,15,Active
124,onn. Computers Item 0124,2,Electronics,Computers,onn.,V3258,746992988388,26.1,39.98,9.18,4.832,False,True,False,35,1,45,7,10,Active
125,LG Phones Item 0125,2,Electronics,Phones,LG,V4665,375216607657,69.53,109.6,9.9,4.782,False,False,False,327,3,51,20,3,Active
126,Apple Cameras Item 0126,2,Electronics,Cameras,Apple,V3698,892956100142,188.35,237.64,45.11,1.695,False,False,False,28,1,17,4,21,Active
127,LG Phones Item 0127,2,Electronics,Phones,LG,V3617,645590923542,153.51,209.79,44.46,2.732,False,False,False,161,4,27,24,13,Active
128,Samsung TVs Item 0128,2,Electronics,TVs,Samsung,V2902,474538426922,32.04,43.77,30.37,1.57,False,False,False,183,4,20,14,17,Active
129,LG Phones Item 0129,2,Electronics,Phones,LG,V2015,203684279962,93.56,122.28,2.63,4.727,False,False,False,221,2,67,8,11,Discontinued
130,LG Phones Item 0130,2,Electronics,Phones,LG,V3108,647465802270,152.74,213.73,43.97,2.492,False,False,True,208,5,41,10,7,Active
131,Samsung TVs Item 0131,2,Electronics,TVs,Samsung,V4452,841544400369,56.63,81.49,23.58,2.688,False,False,False,227,2,68,11,12,Active
132,LG TVs Item 0132,2,Electronics,TVs,LG,V1797,707147416489,80.42,114.85,14.5,1.938,False,False,False,288,3,64,22,20,Active
133,Samsung Audio Item 0133,2,Electronics,Audio,Samsung,V3284,503464711934,74.95,119.52,37.77,1.003,False,False,False,263,1,14,4,5,Active
134,Sony Cameras Item 0134,2,Electronics,Cameras,Sony,V3111,457082640347,91.67,132.23,46.58,1.599,False,False,False,322,6,65,12,19,Active
135,onn. Cameras Item 0135,2,Electronics,Cameras,onn.,V2945,120683483751,98.22,139.98,18.48,3.372,False,True,False,305,3,62,23,1,Active
136,LG Cameras Item 0136,2,Electronics,Cameras,LG,V3390,286747105556,115.74,172.29,26.26,3.609,False,False,False,201,2,64,24,8,Active
137,Samsung Phones Item 0137,2,Electronics,Phones,Samsung,V1620,857687894266,4.28,5.67,10.27,2.514,False,False,False,248,6,58,4,5,Active
138,onn. Computers Item 0138,2,Electronics,Computers,onn.,V2543,603254986487,199.63,277.75,45.61,1.718,False,True,False,355,6,63,11,20,Active
139,Apple Computers Item 0139,2,Electronics,Computers,Apple,V4985,430636290339,111.84,144.27,38.58,3.527,False,False,False,257,3,42,14,18,Discontinued
140,LG Computers Item 0140,2,Electronics,Computers,LG,V2555,999342668835,24.81,36.49,17.32,3.868,False,False,True,28,3,57,5,12,Discontinued
141,LG Audio Item 0141,2,Electronics,Audio,LG,V2110,718187630594,43.19,66.13,34.84,0.695,False,False,False,307,2,27,4,17,Active
142,Apple TVs Item 0142,2,Electronics,TVs,Apple,V2934,847756146579,20.49,27.3,38.56,0.036,False,False,False,87,4,53,18,16,Active
143,LG Computers Item 0143,2,Electronics,Computers,LG,V4148,813348801984,57.44,70.29,28.75,2.68,False,False,False,26,2,38,8,2,Seasonal
144,Sony Audio Item 0144,2,Electronics,Audio,Sony,V4572,421804890116,37.67,56.49,43.85,0.056,False,False,False,61,3,30,17,21,Active
145,Sony Phones Item 0145,2,Electronics,Phones,Sony,V1789,223732913451,170.29,236.23,16.6,3.658,False,False,False,102,1,59,13,10,Active
146,Apple Phones Item 0146,2,Electronics,Phones,Apple,V2660,571703329527,122.39,178.14,25.81,0.443,False,False,False,101,2,42,13,8,Active
147,Sony Phones Item 0147,2,Electronics,Phones,Sony,V2350,741246974592,89.62,117.12,36.17,0.067,False,False,False,361,2,15,24,4,Active
148,Apple Audio Item 0148,2,Electronics,Audio,Apple,V4636,949130311759,137.37,215.57,15.62,0.596,False,False,False,158,3,51,10,8,Seasonal
149,Sony Phones Item 0149,2,Electronics,Phones,Sony,V2530,870585189303,91.27,145.62,27.51,2.359,False,False,False,347,2,60,10,20,Active
150,Samsung Cameras Item 0150,2,Electronics,Cameras,Samsung,V1319,722414826633,89.63,132.79,5.7,4.146,False,False,False,110,5,46,7,6,Active
151,onn. Audio Item 0151,2,Electronics,Audio,onn.,V3388,200883747961,23.69,30.37,44.95,2.233,False,True,True,74,5,38,17,19,Active
152,Sony Computers Item 0152,2,Electronics,Computers,Sony,V4344,916056737584,144.79,196.68,10.97,0.374,False,False,False,365,1,46,4,3,Seasonal
153,Sony TVs Item 0153,2,Electronics,TVs,Sony,V1554,807663841396,57.77,73.48,48.92,3.233,False,False,False,202,4,67,15,13,Active
154,onn. Phones Item 0154,2,Electronics,Phones,onn.,V1731,692674763992,130.88,175.26,19.71,0.645,False,True,False,8,1,31,17,18,Active
155,Sony Phones Item 0155,2,Electronics,Phones,Sony,V2129,898327940253,49.88,66.76,38.3,0.171,False,False,False,321,1,27,9,3,Active
156,Samsung Audio Item 0156,2,Electronics,Audio,Samsung,V1199,912799944114,119.76,177.4,2.31,2.2,False,False,False,35,2,44,12,8,Active
157,onn. Computers Item 0157,2,Electronics,Computers,onn.,V4352,359075283955,115.71,174.61,15.16,0.725,False,True,False,120,4,31,11,2,Active
158,onn. Phones Item 0158,2,Electronics,Phones,onn.,V3030,837202429065,125.39,171.89,19.12,2.627,False,True,False,216,2,31,15,6,Active
159,Sony Phones Item 0159,2,Electronics,Phones,Sony,V3898,985383248994,169.94,224.37,23.2,0.298,False,False,False,220,5,45,7,13,Active
160,Apple Computers Item 0160,2,Electronics,Computers,Apple,V4469,200378013519,129.52,203.2,26.83,4.149,False,False,True,200,6,50,22,2,Active
161,Apple Cameras Item 0161,2,Electronics,Cameras,Apple,V2963,468967896485,145.0,206.41,15.23,4.546,False,False,False,104,6,19,18,8,Active
162,Apple Audio Item 0162,2,Electronics,Audio,Apple,V4176,517827557715,183.07,260.11,23.37,3.247,False,False,False,191,5,68,18,15,Active
163,Sony Computers Item 0163,2,Electronics,Computers,Sony,V2695,718671636967,182.91,246.61,43.22,3.709,False,False,True,290,5,49,16,10,Active
164,LG Phones Item 0164,2,Electronics,Phones,LG,V3045,819624530104,76.28,116.96,47.18,1.694,False,False,False,257,6,53,18,15,Active
165,LG Phones Item 0165,2,Electronics,Phones,LG,V1753,675777869916,28.42,40.32,1.79,4.235,False,False,False,349,1,60,3,14,Active
166,Apple TVs Item 0166,2,Electronics,TVs,Apple,V3071,509980439699,141.58,170.41,3.12,3.192,False,False,False,254,6,43,3,1,Active
167,Sony TVs Item 0167,2,Electronics,TVs,Sony,V3194,417730854440,3.84,5.72,0.96,4.068,False,False,False,98,1,70,6,17,Active
168,Apple Cameras Item 0168,2,Electronics,Cameras,Apple,V2094,537205922440,105.53,161.05,4.04,4.797,False,False,False,131,6,26,12,3,Active
169,Samsung TVs Item 0169,2,Electronics,TVs,Samsung,V2949,800320681066,81.35,109.89,0.57,0.865,False,False,False,229,6,62,13,19,Seasonal
170,Samsung Cameras Item 0170,2,Electronics,Cameras,Samsung,V4691,863937745035,183.87,237.54,44.39,2.383,False,False,True,45,6,71,11,18,Active
171,Samsung Phones Item 0171,2,Electronics,Phones,Samsung,V4938,745134831738,185.79,246.32,7.3,4.105,False,False,False,46,3,22,21,8,Active
172,Sony Cameras Item 0172,2,Electronics,Cameras,Sony,V1573,897529515996,66.68,100.17,4.01,3.73,False,False,False,57,4,26,5,11,Active
173,onn. Cameras Item 0173,2,Electronics,Cameras,onn.,V1121,399076280763,79.64,120.21,39.2,2.258,False,True,False,290,4,39,8,19,Active
174,Samsung Cameras Item 0174,2,Electronics,Cameras,Samsung,V1301,392410126704,59.43,77.17,7.8,3.561,False,False,False,206,3,35,6,3,Active
175,LG Audio Item 0175,2,Electronics,Audio,LG,V1542,302238401673,72.3,94.56,21.61,2.789,False,False,False,59,1,17,14,18,Active
176,onn. Computers Item 0176,2,Electronics,Computers,onn.,V2694,956364078319,172.81,208.23,4.33,4.507,False,True,False,131,5,45,8,13,Active
177,LG Computers Item 0177,2,Electronics,Computers,LG,V1684,402514631089,54.05,68.02,21.11,2.426,False,False,True,135,2,58,23,16,Active
178,Apple Audio Item 0178,2,Electronics,Audio,Apple,V4886,466771704281,21.84,28.87,42.1,1.906,False,False,False,232,3,39,23,20,Active
