otif_id,po_number,vendor_id,dc_id,order_date,expected_delivery_date,actual_delivery_date,expected_units,received_units,on_time_flag,in_full_flag,otif_flag,days_early_late,short_units,fill_rate_pct,otif_score
76,PO00000118,V1655,DC020,2024-10-15,2024-11-04,2024-11-03,350,350,True,True,True,1,0,100.0,100.0
77,PO00000119,V1104,DC011,2024-06-19,2024-06-29,2024-07-02,157,157,False,True,False,-3,0,100.0,50.0
78,PO00000122,V1584,DC023,2024-11-20,2024-12-09,2024-12-12,415,415,False,True,False,-3,0,100.0,50.0
79,PO00000123,V4089,DC015,2024-05-04,2024-05-17,2024-05-16,1073,1073,True,True,True,1,0,100.0,100.0
80,PO00000124,V3596,DC008,2024-03-30,2024-04-16,2024-04-16,1328,1328,True,True,True,0,0,100.0,100.0
81,PO00000125,V2908,DC006,2024-12-11,2024-12-25,2024-12-27,562,562,False,True,False,-2,0,100.0,50.0
82,PO00000127,V1907,DC025,2024-11-16,2024-11-25,2024-11-25,915,915,True,True,True,0,0,100.0,100.0
83,PO00000128,V1442,DC001,2024-08-07,2024-08-25,2024-08-27,81,81,False,True,False,-2,0,100.0,50.0
84,PO00000132,V2134,DC025,2024-11-28,2024-12-12,2024-12-13,864,864,False,True,False,-1,0,100.0,50.0
85,PO00000133,V4986,DC023,2024-04-06,2024-04-24,2024-04-23,755,755,True,True,True,1,0,100.0,100.0
86,PO00000135,V3623,DC024,2024-05-10,2024-05-29,2024-05-29,247,247,True,True,True,0,0,100.0,100.0
87,PO00000136,V4716,DC007,2024-06-17,2024-06-24,2024-06-25,1101,1101,False,True,False,-1,0,100.0,50.0
88,PO00000137,V1102,DC006,2024-07-04,2024-07-23,2024-07-23,212,212,True,True,True,0,0,100.0,100.0
89,PO00000138,V3298,DC009,2024-08-10,2024-08-29,2024-08-29,90,90,True,True,True,0,0,100.0,100.0
90,PO00000139,V2653,DC006,2024-05-21,2024-05-24,2024-05-24,826,826,True,True,True,0,0,100.0,100.0
91,PO00000140,V4634,DC003,2024-11-01,2024-11-17,2024-11-18,284,284,False,True,False,-1,0,100.0,50.0
92,PO00000141,V4208,DC025,2024-05-21,2024-06-06,2024-06-07,1040,1040,False,True,False,-1,0,100.0,50.0
93,PO00000142,V4131,DC007,2024-07-04,2024-07-17,2024-07-18,667,667,False,True,False,-1,0,100.0,50.0
94,PO00000143,V2470,DC018,2024-01-17,2024-01-30,2024-01-29,778,778,True,True,True,1,0,100.0,100.0
95,PO00000146,V3496,DC002,2024-11-17,2024-11-26,2024-11-26,949,949,True,True,True,0,0,100.0,100.0
96,PO00000147,V1475,DC023,2024-12-24,2024-12-30,2024-12-29,226,226,True,True,True,1,0,100.0,100.0
97,PO00000148,V4301,DC011,2024-01-25,2024-02-13,2024-02-14,488,488,False,True,False,-1,0,100.0,50.0
98,PO00000149,V2024,DC004,2024-05-16,2024-05-22,2024-05-21,882,882,True,True,True,1,0,100.0,100.0
99,PO00000150,V4099,DC023,2024-05-07,2024-05-24,2024-05-24,1440,1440,True,True,True,0,0,100.0,100.0
100,PO00000151,V4950,DC002,2024-09-09,2024-09-28,2024-09-27,358,358,True,True,True,1,0,100.0,100.0
101,PO00000152,V3978,DC021,2024-04-20,2024-05-02,2024-05-02,1089,1089,True,True,True,0,0,100.0,100.0
102,PO00000153,V2935,DC021,2024-08-06,2024-08-16,2024-08-15,627,627,True,True,True,1,0,100.0,100.0
103,PO00000155,V1014,DC005,2024-10-17,2024-11-07,2024-11-06,785,785,True,True,True,1,0,100.0,100.0
104,PO00000158,V2518,DC015,2024-05-20,2024-06-08,2024-06-09,835,835,False,True,False,-1,0,100.0,50.0
105,PO00000159,V2570,DC016,2024-02-01,2024-02-20,2024-02-20,474,474,True,True,True,0,0,100.0,100.0
106,PO00000162,V2304,DC023,2024-09-13,2024-09-28,2024-09-28,395,395,True,True,True,0,0,100.0,100.0
107,PO00000164,V4208,DC009,2024-12-30,2025-01-19,2025-01-21,690,564,False,False,False,-2,126,81.74,0.0
108,PO00000166,V4301,DC017,2024-04-07,2024-04-26,2024-04-26,690,690,True,True,True,0,0,100.0,100.0
109,PO00000168,V3245,DC023,2024-09-02,2024-09-22,2024-09-27,211,211,False,True,False,-5,0,100.0,50.0
110,PO00000169,V4169,DC011,2024-04-06,2024-04-14,2024-04-17,1114,1114,False,True,False,-3,0,100.0,50.0
111,PO00000170,V1648,DC018,2024-03-20,2024-03-31,2024-03-31,338,338,True,True,True,0,0,100.0,100.0
112,PO00000171,V2824,DC003,2024-05-06,2024-05-09,2024-05-08,723,723,True,True,True,1,0,100.0,100.0
113,PO00000172,V1624,DC008,2024-06-08,2024-06-29,2024-06-28,85,72,True,False,False,1,13,84.71,50.0
114,PO00000173,V4953,DC023,2024-10-29,2024-11-16,2024-11-18,102,102,False,True,False,-2,0,100.0,50.0
115,PO00000174,V2247,DC012,2024-10-01,2024-10-16,2024-10-17,58,58,False,True,False,-1,0,100.0,50.0
116,PO00000176,V4529,DC014,2024-02-06,2024-02-18,2024-02-17,280,267,True,False,False,1,13,95.36,50.0
117,PO00000177,V2530,DC014,2024-10-15,2024-10-25,2024-10-25,1409,1137,True,False,False,0,272,80.7,50.0
118,PO00000178,V1056,DC013,2024-11-02,2024-11-13,2024-11-19,66,66,False,True,False,-6,0,100.0,50.0
119,PO00000180,V1771,DC010,2024-05-21,2024-06-07,2024-06-10,736,736,False,True,False,-3,0,100.0,50.0
120,PO00000181,V3555,DC019,2024-10-04,2024-10-11,2024-10-11,1345,1345,True,True,True,0,0,100.0,100.0
121,PO00000184,V2455,DC006,2024-08-05,2024-08-13,2024-08-17,45,45,False,True,False,-4,0,100.0,50.0
122,PO00000185,V4176,DC008,2024-08-16,2024-08-31,2024-08-31,1181,1181,True,True,True,0,0,100.0,100.0
123,PO00000186,V3009,DC024,2024-06-09,2024-06-24,2024-06-26,96,96,False,True,False,-2,0,100.0,50.0
124,PO00000187,V4861,DC020,2024-05-27,2024-05-31,2024-05-31,508,508,True,True,True,0,0,100.0,100.0
125,PO00000189,V3496,DC015,2024-11-30,2024-12-18,2024-12-23,278,278,False,True,False,-5,0,100.0,50.0
126,PO00000190,V1455,DC019,2024-06-11,2024-06-27,2024-06-27,224,224,True,True,True,0,0,100.0,100.0
127,PO00000194,V4926,DC020,2024-04-16,2024-04-22,2024-04-22,906,906,True,True,True,0,0,100.0,100.0
128,PO00000196,V1323,DC005,2024-12-02,2024-12-17,2024-12-16,1376,1151,True,False,False,1,225,83.65,50.0
129,PO00000198,V1679,DC006,2024-06-11,2024-06-16,2024-06-18,1230,1230,False,True,False,-2,0,100.0,50.0
130,PO00000199,V4616,DC007,2024-06-05,2024-06-21,2024-06-25,1022,1022,False,True,False,-4,0,100.0,50.0
131,PO00000201,V1877,DC011,2024-06-04,2024-06-13,2024-06-12,503,503,True,True,True,1,0,100.0,100.0
132,PO00000202,V3041,DC024,2024-11-04,2024-11-08,2024-11-08,1011,1011,True,True,True,0,0,100.0,100.0
133,PO00000203,V3535,DC019,2024-11-03,2024-11-07,2024-11-06,781,781,True,True,True,1,0,100.0,100.0
134,PO00000204,V1253,DC003,2024-05-02,2024-05-07,2024-05-09,1037,1037,False,True,False,-2,0,100.0,50.0
135,PO00000205,V2294,DC024,2024-08-06,2024-08-21,2024-08-23,1168,1168,False,True,False,-2,0,100.0,50.0
136,PO00000206,V2247,DC012,2024-07-08,2024-07-25,2024-07-28,933,933,False,True,False,-3,0,100.0,50.0
137,PO00000207,V2927,DC013,2024-11-25,2024-12-12,2024-12-12,1010,1010,True,True,True,0,0,100.0,100.0
138,PO00000208,V4300,DC022,2024-03-30,2024-04-19,2024-04-19,665,665,True,True,True,0,0,100.0,100.0
139,PO00000209,V1573,DC003,2024-03-24,2024-04-03,2024-04-05,925,925,False,True,False,-2,0,100.0,50.0
140,PO00000210,V4538,DC011,2024-01-28,2024-02-07,2024-02-06,1182,1182,True,True,True,1,0,100.0,100.0
141,PO00000213,V1340,DC001,2024-07-16,2024-07-20,2024-07-22,818,818,False,True,False,-2,0,100.0,50.0
142,PO00000214,V2298,DC025,2024-09-26,2024-10-15,2024-10-15,1202,1202,True,True,True,0,0,100.0,100.0
143,PO00000215,V1500,DC016,2024-07-25,2024-07-29,2024-07-29,174,174,True,True,True,0,0,100.0,100.0
144,PO00000216,V3970,DC007,2024-01-18,2024-01-21,2024-01-21,1383,1383,True,True,True,0,0,100.0,100.0
145,PO00000218,V1656,DC003,2024-08-29,2024-09-04,2024-09-11,1242,1242,False,True,False,-7,0,100.0,50.0
146,PO00000219,V2247,DC003,2024-04-28,2024-05-11,2024-05-11,711,711,True,True,True,0,0,100.0,100.0
147,PO00000220,V2797,DC013,2024-11-08,2024-11-13,2024-11-12,1170,1170,True,True,True,1,0,100.0,100.0
148,PO00000223,V2624,DC019,2024-07-06,2024-07-12,2024-07-12,828,828,True,True,True,0,0,100.0,100.0
149,PO00000224,V2865,DC020,2024-05-08,2024-05-27,2024-05-28,423,378,False,False,False,-1,45,89.36,0.0
150,PO00000225,V2411,DC001,2024-07-14,2024-07-27,2024-07-27,1409,1409,True,True,True,0,0,100.0,100.0
151,PO00000227,V2636,DC012,2024-08-08,2024-08-15,2024-08-17,876,876,False,True,False,-2,0,100.0,50.0
152,PO00000228,V2792,DC018,2024-05-03,2024-05-16,2024-05-17,275,275,False,True,False,-1,0,100.0,50.0
153,PO00000229,V2238,DC001,2024-03-02,2024-03-19,2024-03-19,1267,1267,True,True,True,0,0,100.0,100.0
154,PO00000230,V4525,DC011,2024-04-08,2024-04-12,2024-04-11,755,755,True,True,True,1,0,100.0,100.0
155,PO00000231,V3287,DC015,2024-09-04,2024-09-11,2024-09-11,629,629,True,True,True,0,0,100.0,100.0
156,PO00000234,V2067,DC021,2024-12-28,2025-01-14,2025-01-14,549,549,True,True,True,0,0,100.0,100.0
157,PO00000236,V2191,DC018,2024-01-31,2024-02-09,2024-02-10,1060,1060,False,True,False,-1,0,100.0,50.0
158,PO00000237,V2159,DC015,2024-08-04,2024-08-16,2024-08-15,630,630,True,True,True,1,0,100.0,100.0
159,PO00000238,V4027,DC014,2024-09-26,2024-10-02,2024-10-03,137,137,False,True,False,-1,0,100.0,50.0
160,PO00000240,V2517,DC005,2024-04-13,2024-04-27,2024-04-26,786,705,True,False,False,1,81,89.69,50.0
161,PO00000241,V2283,DC008,2024-09-23,2024-10-05,2024-10-05,1394,1394,True,True,True,0,0,100.0,100.0
162,PO00000242,V2037,DC004,2024-10-09,2024-10-26,2024-10-26,333,333,True,True,True,0,0,100.0,100.0
163,PO00000244,V1795,DC013,2024-01-24,2024-02-14,2024-02-13,970,970,True,True,True,1,0,100.0,100.0
164,PO00000246,V1214,DC023,2024-06-09,2024-06-25,2024-06-25,55,55,True,True,True,0,0,100.0,100.0
165,PO00000247,V4616,DC017,2024-06-22,2024-07-09,2024-07-08,1198,1198,True,True,True,1,0,100.0,100.0
166,PO00000248,V2662,DC011,2024-09-16,2024-09-21,2024-09-21,1206,1206,True,True,True,0,0,100.0,100.0
167,PO00000249,V2988,DC011,2024-04-23,2024-04-27,2024-04-28,883,883,False,True,False,-1,0,100.0,50.0
168,PO00000250,V1933,DC013,2024-09-25,2024-10-05,2024-10-07,1050,1050,False,True,False,-2,0,100.0,50.0
169,PO00000252,V1340,DC014,2024-02-10,2024-02-18,2024-02-25,1205,1065,False,False,False,-7,140,88.38,0.0
170,PO00000253,V4238,DC010,2024-06-24,2024-07-01,2024-07-01,1023,1023,True,True,True,0,0,100.0,100.0
171,PO00000254,V3172,DC017,2024-08-15,2024-08-20,2024-08-19,1312,1312,True,True,True,1,0,100.0,100.0
172,PO00000255,V2514,DC010,2024-08-06,2024-08-22,2024-08-22,1367,1367,True,True,True,0,0,100.0,100.0
173,PO00000258,V3681,DC017,2024-11-29,2024-12-10,2024-12-09,32,32,True,True,True,1,0,100.0,100.0
174,PO00000259,V1684,DC005,2024-11-24,2024-11-27,2024-11-27,1257,1257,True,True,True,0,0,100.0,100.0
175,PO00000261,V3925,DC014,2024-09-06,2024-09-12,2024-09-11,1093,1093,True,True,True,1,0,100.0,100.0
176,PO00000262,V1710,DC016,2024-07-12,2024-07-30,2024-07-29,1283,1283,True,True,True,1,0,100.0,100.0
177,PO00000263,V2272,DC010,2024-12-02,2024-12-09,2024-12-10,980,980,False,True,False,-1,0,100.0,50.0
178,PO00000264,V3564,DC002,2024-01-11,2024-01-30,2024-01-30,957,957,True,True,True,0,0,100.0,100.0
179,PO00000266,V1832,DC006,2024-11-10,2024-11-25,2024-11-24,310,310,True,True,True,1,0,100.0,100.0
180,PO00000267,V1411,DC024,2024-04-20,2024-04-25,2024-04-25,1039,1039,True,True,True,0,0,100.0,100.0
181,PO00000270,V3955,DC022,2024-12-03,2024-12-11,2024-12-11,1425,1425,True,True,True,0,0,100.0,100.0
182,PO00000271,V3587,DC008,2024-06-21,2024-07-01,2024-06-30,1154,1154,True,True,True,1,0,100.0,100.0
183,PO00000273,V1883,DC005,2024-07-19,2024-07-28,2024-07-30,520,520,False,True,False,-2,0,100.0,50.0
184,PO00000274,V4908,DC011,2024-01-01,2024-01-15,2024-01-14,913,913,True,True,True,1,0,100.0,100.0
185,PO00000275,V4192,DC013,2024-05-29,2024-06-18,2024-06-25,937,937,False,True,False,-7,0,100.0,50.0
186,PO00000276,V4899,DC004,2024-01-01,2024-01-13,2024-01-16,340,284,False,False,False,-3,56,83.53,0.0
187,PO00000277,V3017,DC009,2024-04-17,2024-05-08,2024-05-07,429,429,True,True,True,1,0,100.0,100.0
188,PO00000279,V1473,DC003,2024-08-22,2024-09-04,2024-09-04,1248,1124,True,False,False,0,124,90.06,50.0
189,PO00000280,V2988,DC020,2024-03-29,2024-04-03,2024-04-02,633,633,True,True,True,1,0,100.0,100.0
190,PO00000282,V2377,DC021,2024-08-11,2024-08-31,2024-08-31,823,823,True,True,True,0,0,100.0,100.0
191,PO00000283,V1477,DC019,2024-04-01,2024-04-05,2024-04-04,1303,1303,True,True,True,1,0,100.0,100.0
192,PO00000284,V2362,DC005,2024-06-04,2024-06-11,2024-06-12,998,998,False,True,False,-1,0,100.0,50.0
193,PO00000286,V3388,DC017,2024-09-18,2024-10-08,2024-10-08,777,777,True,True,True,0,0,100.0,100.0
194,PO00000288,V2254,DC017,2024-11-16,2024-11-26,2024-11-26,1193,1076,True,False,False,0,117,90.19,50.0
195,PO00000290,V4821,DC010,2024-09-26,2024-10-07,2024-10-07,253,253,True,True,True,0,0,100.0,100.0
196,PO00000291,V2818,DC021,2024-06-20,2024-07-03,2024-07-04,154,147,False,False,False,-1,7,95.45,0.0
197,PO00000292,V4643,DC014,2024-07-21,2024-08-03,2024-08-05,1156,1156,False,True,False,-2,0,100.0,50.0
198,PO00000293,V2131,DC016,2024-09-22,2024-10-02,2024-10-08,1128,1067,False,False,False,-6,61,94.59,0.0
199,PO00000294,V2083,DC024,2024-04-02,2024-04-20,2024-04-27,1068,1068,False,True,False,-7,0,100.0,50.0
200,PO00000296,V1504,DC003,2024-03-11,2024-03-20,2024-03-21,224,224,False,True,False,-1,0,100.0,50.0
201,PO00000298,V3980,DC004,2024-12-29,2025-01-17,2025-01-17,1259,1259,True,True,True,0,0,100.0,100.0
202,PO00000299,V1000,DC012,2024-07-18,2024-07-24,2024-07-29,723,582,False,False,False,-5,141,80.5,0.0
203,PO00000300,V1959,DC024,2024-01-09,2024-01-24,2024-01-24,511,511,True,True,True,0,0,100.0,100.0
204,PO00000301,V1787,DC010,2024-02-19,2024-02-25,2024-02-24,117,117,True,True,True,1,0,100.0,100.0
205,PO00000302,V2241,DC015,2024-09-22,2024-10-04,2024-10-08,109,109,False,True,False,-4,0,100.0,50.0
206,PO00000303,V4855,DC008,2024-10-31,2024-11-03,2024-11-07,995,995,False,True,False,-4,0,100.0,50.0
207,PO00000304,V2034,DC016,2024-11-11,2024-11-29,2024-12-05,238,238,False,True,False,-6,0,100.0,50.0
208,PO00000305,V2164,DC013,2024-12-29,2025-01-10,2025-01-11,574,574,False,True,False,-1,0,100.0,50.0
209,PO00000306,V4300,DC015,2024-06-22,2024-07-07,2024-07-06,886,886,True,True,True,1,0,100.0,100.0
210,PO00000309,V1348,DC022,2024-03-02,2024-03-14,2024-03-19,767,767,False,True,False,-5,0,100.0,50.0
211,PO00000310,V3092,DC002,2024-09-07,2024-09-21,2024-09-20,1203,1203,True,True,True,1,0,100.0,100.0
212,PO00000311,V3057,DC006,2024-02-19,2024-03-01,2024-03-04,593,495,False,False,False,-3,98,83.47,0.0
213,PO00000312,V1504,DC013,2024-08-19,2024-09-02,2024-09-02,765,765,True,True,True,0,0,100.0,100.0
214,PO00000313,V4067,DC005,2024-06-02,2024-06-17,2024-06-16,769,769,True,True,True,1,0,100.0,100.0
215,PO00000314,V3969,DC014,2024-10-05,2024-10-16,2024-10-16,262,262,True,True,True,0,0,100.0,100.0
216,PO00000315,V2391,DC014,2024-02-11,2024-02-29,2024-02-29,495,432,True,False,False,0,63,87.27,50.0
217,PO00000316,V2969,DC024,2024-09-19,2024-09-26,2024-09-27,558,558,False,True,False,-1,0,100.0,50.0
218,PO00000317,V4863,DC019,2024-08-14,2024-08-23,2024-08-22,810,810,True,True,True,1,0,100.0,100.0
219,PO00000321,V2746,DC018,2024-07-29,2024-08-15,2024-08-15,1290,1290,True,True,True,0,0,100.0,100.0
220,PO00000323,V3723,DC013,2024-08-24,2024-09-08,2024-09-08,889,889,True,True,True,0,0,100.0,100.0
221,PO00000324,V1163,DC002,2024-11-24,2024-11-29,2024-11-29,921,921,True,True,True,0,0,100.0,100.0
222,PO00000328,V2404,DC009,2024-11-06,2024-11-13,2024-11-12,1313,1313,True,True,True,1,0,100.0,100.0
223,PO00000329,V4509,DC023,2024-12-29,2025-01-09,2025-01-09,1389,1389,True,True,True,0,0,100.0,100.0
224,PO00000331,V3493,DC009,2024-02-28,2024-03-17,2024-03-17,1380,1380,True,True,True,0,0,100.0,100.0
225,PO00000333,V3724,DC009,2024-11-09,2024-11-26,2024-11-25,1023,1023,True,True,True,1,0,100.0,100.0
226,PO00000334,V2316,DC022,2024-07-27,2024-08-03,2024-08-02,204,204,True,True,True,1,0,100.0,100.0
227,PO00000335,V1056,DC004,2024-03-24,2024-03-28,2024-03-28,1360,1360,True,True,True,0,0,100.0,100.0
228,PO00000336,V2247,DC015,2024-02-11,2024-02-18,2024-02-17,136,136,True,True,True,1,0,100.0,100.0
229,PO00000337,V2067,DC024,2024-09-09,2024-09-23,2024-09-23,559,559,True,True,True,0,0,100.0,100.0
230,PO00000338,V2251,DC025,2024-03-22,2024-03-29,2024-03-30,1312,1156,False,False,False,-1,156,88.11,0.0
