pricing_id,item_id,store_id,effective_date,end_date,regular_price,sale_price,clearance_price,price_type,competitor_price,price_index
28,5,,2024-02-18,2024-04-14,104.79,91.0,,Rollback,98.39,1.044
29,5,,2024-04-15,2024-07-13,104.79,104.79,,Regular,101.62,1.023
30,5,,2024-07-14,2024-08-28,104.79,104.79,,Regular,94.89,0.996
31,5,,2024-08-29,2024-10-24,104.79,91.68,,EDLP,119.79,1.118
32,5,,2024-10-25,2024-11-14,104.79,91.68,,EDLP,116.92,0.906
33,5,,2024-11-15,2024-12-17,104.79,104.79,,Regular,116.43,0.933
34,5,,2024-12-18,2024-12-31,104.79,104.79,,Regular,98.33,0.904
35,6,,2024-01-01,2024-03-24,210.71,210.71,,Regular,211.38,0.976
36,6,,2024-03-25,2024-06-19,210.71,210.71,,Regular,193.91,0.919
37,6,,2024-06-20,2024-09-03,210.71,165.26,,EDLP,230.46,1.102
38,6,,2024-09-04,2024-09-25,210.71,210.71,,Regular,232.57,0.917
39,6,,2024-09-26,2024-12-09,210.71,182.59,,EDLP,209.15,0.954
40,6,,2024-12-10,2024-12-31,210.71,174.26,105.36,Clearance,240.12,1.021
41,7,,2024-01-01,2024-03-06,257.9,257.9,,Regular,247.27,0.938
42,7,,2024-03-07,2024-04-11,257.9,257.9,,Regular,270.66,1.022
43,7,,2024-04-12,2024-05-06,257.9,257.9,,Regular,237.42,1.057
44,7,,2024-05-07,2024-06-09,257.9,257.9,,Regular,263.87,0.902
45,7,,2024-06-10,2024-07-13,257.9,244.87,,EDLP,243.56,0.912
46,7,,2024-07-14,2024-09-12,257.9,185.81,,Rollback,277.24,1.04
47,7,,2024-09-13,2024-10-08,257.9,257.9,,Regular,289.68,0.959
48,7,,2024-10-09,2024-10-27,257.9,239.7,,EDLP,234.66,0.88
49,7,,2024-10-28,2024-12-05,257.9,187.17,,Rollback,285.25,0.998
50,7,,2024-12-06,2024-12-31,257.9,257.9,,Regular,271.79,1.006
51,8,,2024-01-01,2024-02-20,148.67,148.67,,Regular,150.99,1.085
52,8,,2024-02-21,2024-03-26,148.67,115.22,,Rollback,137.38,1.026
53,8,,2024-03-27,2024-05-16,148.67,148.67,,Regular,165.48,1.04
54,8,,2024-05-17,2024-07-30,148.67,127.9,,Rollback,152.72,0.95
55,8,,2024-07-31,2024-10-04,148.67,148.67,,Regular,168.39,1.071
56,8,,2024-10-05,2024-11-27,148.67,133.41,,Rollback,150.95,1.049
57,8,,2024-11-28,2024-12-16,148.67,148.67,,Regular,155.65,0.908
58,8,,2024-12-17,2024-12-31,148.67,136.55,,EDLP,160.67,0.948
59,9,,2024-01-01,2024-02-26,169.71,136.65,,Rollback,183.23,0.984
60,9,,2024-02-27,2024-03-27,169.71,132.87,84.86,Clearance,181.24,1.055
61,9,,2024-03-28,2024-05-19,169.71,152.32,,EDLP,172.82,0.888
62,9,,2024-05-20,2024-06-23,169.71,169.71,,Regular,167.38,0.892
63,9,,2024-06-24,2024-08-09,169.71,169.71,,Regular,187.21,0.991
64,9,,2024-08-10,2024-10-13,169.71,124.63,,Rollback,171.81,1.076
65,9,,2024-10-14,2024-12-21,169.71,120.58,,Rollback,184.62,1.088
66,9,,2024-12-22,2024-12-31,169.71,169.71,,Regular,185.97,1.109
67,10,,2024-01-01,2024-03-08,282.66,282.66,,Regular,316.26,0.96
68,10,,2024-03-09,2024-03-28,282.66,251.57,141.33,Clearance,297.07,1.11
69,10,,2024-03-29,2024-05-07,282.66,239.0,,Rollback,308.87,1.032
70,10,,2024-05-08,2024-07-04,282.66,242.17,,Rollback,254.59,0.996
71,10,,2024-07-05,2024-09-21,282.66,282.66,,Regular,264.84,1.043
72,10,,2024-09-22,2024-12-09,282.66,282.66,,Regular,282.0,1.007
73,10,,2024-12-10,2024-12-31,282.66,225.26,,Rollback,285.13,1.108
74,11,,2024-01-01,2024-01-20,30.7,30.7,,Regular,33.15,1.011
75,11,,2024-01-21,2024-04-12,30.7,25.66,,EDLP,29.81,0.884
76,11,,2024-04-13,2024-07-11,30.7,23.09,,Rollback,31.27,1.091
77,11,,2024-07-12,2024-09-23,30.7,24.49,15.35,Clearance,29.4,0.956
78,11,,2024-09-24,2024-12-22,30.7,30.7,,Regular,29.66,1.094
79,11,,2024-12-23,2024-12-31,30.7,24.03,,Rollback,32.08,0.975
80,12,,2024-01-01,2024-01-15,36.3,36.3,,Regular,33.04,1.108
81,12,,2024-01-16,2024-03-27,36.3,36.3,,Regular,32.69,0.891
82,12,,2024-03-28,2024-04-20,36.3,32.0,,Rollback,40.06,1.011
83,12,,2024-04-21,2024-06-27,36.3,36.3,,Regular,40.55,1.056
84,12,,2024-06-28,2024-08-20,36.3,28.47,,Rollback,37.18,1.019
85,12,,2024-08-21,2024-11-11,36.3,31.88,,Rollback,33.72,0.936
86,12,,2024-11-12,2024-12-31,36.3,36.3,,Regular,35.65,1.011
87,13,,2024-01-01,2024-02-09,248.47,248.47,,Regular,250.3,0.959
88,13,,2024-02-10,2024-03-26,248.47,234.76,,EDLP,231.69,1.06
89,13,,2024-03-27,2024-05-13,248.47,248.47,,Regular,241.78,0.942
90,13,,2024-05-14,2024-06-17,248.47,223.37,124.23,Clearance,233.8,0.903
91,13,,2024-06-18,2024-08-07,248.47,248.47,,Regular,257.31,1.012
92,13,,2024-08-08,2024-08-30,248.47,248.47,,Regular,233.29,0.909
93,13,,2024-08-31,2024-09-14,248.47,231.95,,EDLP,271.47,1.062
94,13,,2024-09-15,2024-11-02,248.47,229.0,,EDLP,251.66,0.909
95,13,,2024-11-03,2024-12-31,248.47,248.47,,Regular,231.21,1.04
96,14,,2024-01-01,2024-02-19,18.96,16.32,,Rollback,17.5,0.922
97,14,,2024-02-20,2024-03-29,18.96,18.96,,Regular,18.25,0.884
98,14,,2024-03-30,2024-04-24,18.96,17.24,,EDLP,18.69,1.005
99,14,,2024-04-25,2024-07-16,18.96,18.96,,Regular,21.76,1.062
100,14,,2024-07-17,2024-09-13,18.96,18.96,,Regular,21.11,1.07
101,14,,2024-09-14,2024-11-22,18.96,18.96,,Regular,19.49,1.075
102,14,,2024-11-23,2024-12-31,18.96,18.96,,Regular,20.01,0.996
103,15,,2024-01-01,2024-03-30,97.12,90.64,,Rollback,111.52,0.934
104,15,,2024-03-31,2024-06-16,97.12,97.12,,Regular,98.52,0.957
105,15,,2024-06-17,2024-08-17,97.12,97.12,,Regular,88.43,0.989
106,15,,2024-08-18,2024-09-01,97.12,97.12,,Regular,87.82,1.039
107,15,,2024-09-02,2024-11-02,97.12,82.17,,Rollback,107.74,1.113
108,15,,2024-11-03,2024-12-31,97.12,97.12,,Regular,107.88,1.023
109,16,,2024-01-01,2024-03-26,36.25,29.06,,Rollback,36.92,1.013
110,16,,2024-03-27,2024-06-19,36.25,31.35,,Rollback,38.29,0.888
111,16,,2024-06-20,2024-08-13,36.25,36.25,,Regular,37.49,0.982
112,16,,2024-08-14,2024-09-01,36.25,33.94,18.12,Clearance,35.35,1.111
113,16,,2024-09-02,2024-10-03,36.25,27.05,,Rollback,41.68,0.947
114,16,,2024-10-04,2024-12-09,36.25,25.6,,EDLP,35.92,1.0
115,16,,2024-12-10,2024-12-31,36.25,36.25,,Regular,32.86,0.948
116,17,,2024-01-01,2024-02-07,113.6,83.23,,Rollback,128.69,1.025
117,17,,2024-02-08,2024-03-05,113.6,113.6,,Regular,104.94,0.943
118,17,,2024-03-06,2024-05-01,113.6,113.6,,Regular,105.75,1.018
119,17,,2024-05-02,2024-07-29,113.6,101.34,,Rollback,110.09,1.082
120,17,,2024-07-30,2024-10-22,113.6,81.99,,Rollback,104.5,1.051
121,17,,2024-10-23,2024-12-31,113.6,92.41,56.8,Clearance,127.98,1.038
122,18,,2024-01-01,2024-01-27,277.4,211.36,138.7,Clearance,252.49,1.101
123,18,,2024-01-28,2024-04-04,277.4,277.4,,Regular,272.77,1.058
124,18,,2024-04-05,2024-05-06,277.4,277.4,,Regular,315.47,1.021
125,18,,2024-05-07,2024-06-03,277.4,260.58,138.7,Clearance,305.8,0.977
126,18,,2024-06-04,2024-07-01,277.4,277.4,,Regular,290.64,1.015
127,18,,2024-07-02,2024-08-16,277.4,277.4,,Regular,261.34,1.036
128,18,,2024-08-17,2024-11-11,277.4,256.33,,Rollback,305.99,0.993
129,18,,2024-11-12,2024-12-12,277.4,277.4,,Regular,316.05,1.087
130,18,,2024-12-13,2024-12-31,277.4,277.4,,Regular,277.95,1.044
131,19,,2024-01-01,2024-02-18,21.72,21.72,,Regular,23.51,1.082
132,19,,2024-02-19,2024-05-06,21.72,21.72,,Regular,19.87,0.931
133,19,,2024-05-07,2024-07-09,21.72,21.72,,Regular,22.41,0.963
134,19,,2024-07-10,2024-09-13,21.72,18.4,,EDLP,22.69,0.945
135,19,,2024-09-14,2024-10-13,21.72,19.25,,Rollback,22.83,0.88
136,19,,2024-10-14,2024-11-11,21.72,21.72,,Regular,20.59,0.941
137,19,,2024-11-12,2024-12-12,21.72,21.72,,Regular,23.97,1.019
138,19,,2024-12-13,2024-12-31,21.72,21.72,,Regular,19.77,1.12
139,20,,2024-01-01,2024-01-20,177.79,138.5,,Rollback,165.92,0.932
140,20,,2024-01-21,2024-02-18,177.79,177.79,,Regular,188.98,1.052
141,20,,2024-02-19,2024-03-05,177.79,177.79,,Regular,175.18,0.987
142,20,,2024-03-06,2024-04-07,177.79,133.98,,Rollback,198.63,0.958
143,20,,2024-04-08,2024-06-13,177.79,177.79,,Regular,183.07,0.946
144,20,,2024-06-14,2024-07-23,177.79,162.41,88.89,Clearance,177.31,0.925
145,20,,2024-07-24,2024-09-07,177.79,177.79,,Regular,202.2,0.985
146,20,,2024-09-08,2024-10-24,177.79,177.79,,Regular,180.62,0.895
147,20,,2024-10-25,2024-11-15,177.79,145.6,,Rollback,169.07,0.906
148,20,,2024-11-16,2024-12-31,177.79,177.79,,Regular,172.43,0.982
149,21,,2024-01-01,2024-01-16,56.19,56.19,,Regular,61.28,0.896
150,21,,2024-01-17,2024-03-29,56.19,56.19,,Regular,59.62,0.988
151,21,,2024-03-30,2024-05-18,56.19,39.85,,Rollback,54.36,0.995
152,21,,2024-05-19,2024-07-28,56.19,53.14,28.09,Clearance,53.86,0.997
153,21,,2024-07-29,2024-09-09,56.19,45.63,,EDLP,59.59,0.915
154,21,,2024-09-10,2024-10-28,56.19,46.05,,Rollback,60.26,0.945
155,21,,2024-10-29,2024-12-31,56.19,42.9,,Rollback,50.86,1.016
156,22,,2024-01-01,2024-01-28,231.39,231.39,,Regular,224.61,1.074
157,22,,2024-01-29,2024-04-23,231.39,186.59,115.69,Clearance,261.73,1.101
158,22,,2024-04-24,2024-07-10,231.39,219.63,,EDLP,263.7,0.959
159,22,,2024-07-11,2024-10-03,231.39,231.39,,Regular,227.99,0.995
160,22,,2024-10-04,2024-11-10,231.39,231.39,,Regular,225.97,1.063
161,22,,2024-11-11,2024-12-27,231.39,204.09,,Rollback,219.79,0.976
162,22,,2024-12-28,2024-12-31,231.39,231.39,,Regular,213.81,0.993
163,23,,2024-01-01,2024-02-09,153.03,132.96,76.52,Clearance,170.54,0.966
164,23,,2024-02-10,2024-03-25,153.03,153.03,,Regular,156.59,0.983
165,23,,2024-03-26,2024-06-19,153.03,153.03,,Regular,140.64,1.016
166,23,,2024-06-20,2024-07-21,153.03,153.03,,Regular,170.88,0.929
167,23,,2024-07-22,2024-09-26,153.03,153.03,,Regular,165.98,0.905
168,23,,2024-09-27,2024-12-20,153.03,153.03,,Regular,142.92,1.057
169,23,,2024-12-21,2024-12-31,153.03,153.03,,Regular,139.13,0.883
170,24,,2024-01-01,2024-03-30,139.91,139.91,,Regular,160.59,1.034
171,24,,2024-03-31,2024-06-10,139.91,129.64,69.95,Clearance,158.22,1.027
172,24,,2024-06-11,2024-07-06,139.91,105.24,,Rollback,144.7,1.031
173,24,,2024-07-07,2024-08-20,139.91,139.91,,Regular,150.02,1.01
174,24,,2024-08-21,2024-09-04,139.91,115.79,69.95,Clearance,160.63,1.071
175,24,,2024-09-05,2024-10-31,139.91,139.91,,Regular,143.54,0.935
176,24,,2024-11-01,2024-12-31,139.91,139.91,,Regular,140.86,0.964
177,25,,2024-01-01,2024-02-29,230.92,187.26,,Rollback,217.31,1.057
178,25,,2024-03-01,2024-05-27,230.92,230.92,,Regular,223.72,0.921
179,25,,2024-05-28,2024-07-01,230.92,230.92,,Regular,210.44,0.923
180,25,,2024-07-02,2024-08-11,230.92,230.92,,Regular,224.86,0.895
181,25,,2024-08-12,2024-10-22,230.92,230.92,,Regular,215.59,0.908
182,25,,2024-10-23,2024-12-02,230.92,230.92,,Regular,251.51,1.063
183,25,,2024-12-03,2024-12-31,230.92,230.92,,Regular,211.48,1.096
184,26,,2024-01-01,2024-03-15,8.13,8.13,,Regular,7.67,0.888
185,26,,2024-03-16,2024-04-21,8.13,5.91,,Rollback,7.54,1.063
186,26,,2024-04-22,2024-06-02,8.13,8.13,,Regular,8.16,0.984
187,26,,2024-06-03,2024-07-08,8.13,8.13,,Regular,8.37,1.013
188,26,,2024-07-09,2024-09-28,8.13,5.83,,EDLP,9.14,1.1
189,26,,2024-09-29,2024-11-24,8.13,7.4,4.07,Clearance,9.34,1.008
190,26,,2024-11-25,2024-12-31,8.13,8.13,,Regular,8.23,0.921
191,27,,2024-01-01,2024-03-11,226.18,226.18,,Regular,218.28,0.931
192,27,,2024-03-12,2024-03-28,226.18,226.18,,Regular,220.27,1.065
193,27,,2024-03-29,2024-06-10,226.18,165.41,113.09,Clearance,210.08,1.047
194,27,,2024-06-11,2024-07-01,226.18,226.18,,Regular,243.16,1.108
195,27,,2024-07-02,2024-07-30,226.18,226.18,,Regular,225.88,1.036
196,27,,2024-07-31,2024-08-31,226.18,226.18,,Regular,213.73,1.09
197,27,,2024-09-01,2024-10-01,226.18,226.18,,Regular,206.43,1.086
198,27,,2024-10-02,2024-12-24,226.18,201.22,113.09,Clearance,234.79,0.961
199,27,,2024-12-25,2024-12-31,226.18,226.18,,Regular,218.33,1.012
200,28,,2024-01-01,2024-02-06,209.19,209.19,,Regular,213.92,1.081
201,28,,2024-02-07,2024-03-09,209.19,187.2,,Rollback,221.55,1.004
202,28,,2024-03-10,2024-05-19,209.19,209.19,,Regular,225.97,1.011
203,28,,2024-05-20,2024-07-14,209.19,209.19,,Regular,223.9,1.118
204,28,,2024-07-15,2024-09-10,209.19,209.19,,Regular,228.3,1.067
205,28,,2024-09-11,2024-09-28,209.19,160.91,104.59,Clearance,192.64,0.92
206,28,,2024-09-29,2024-12-26,209.19,209.19,,Regular,224.25,0.995
207,28,,2024-12-27,2024-12-31,209.19,209.19,,Regular,235.04,1.035
208,29,,2024-01-01,2024-01-22,170.57,130.12,,Rollback,179.31,1.053
209,29,,2024-01-23,2024-03-22,170.57,170.57,,Regular,182.18,1.071
210,29,,2024-03-23,2024-06-09,170.57,129.95,,Rollback,164.63,0.9
211,29,,2024-06-10,2024-07-12,170.57,137.46,,Rollback,173.84,0.998
212,29,,2024-07-13,2024-08-05,170.57,170.57,,Regular,188.67,0.949
213,29,,2024-08-06,2024-08-25,170.57,170.57,,Regular,173.51,1.002
214,29,,2024-08-26,2024-11-07,170.57,170.57,,Regular,179.06,0.881
215,29,,2024-11-08,2024-12-25,170.57,145.93,85.28,Clearance,180.66,0.901
216,29,,2024-12-26,2024-12-31,170.57,170.57,,Regular,159.91,0.971
217,30,,2024-01-01,2024-01-30,182.91,182.91,,Regular,171.44,0.945
218,30,,2024-01-31,2024-03-14,182.91,156.87,,EDLP,166.86,0.954
219,30,,2024-03-15,2024-04-19,182.91,156.6,,Rollback,166.53,1.051
220,30,,2024-04-20,2024-07-03,182.91,182.91,,Regular,174.13,0.978
221,30,,2024-07-04,2024-09-27,182.91,182.91,,Regular,180.86,1.12
222,30,,2024-09-28,2024-12-18,182.91,182.91,,Regular,167.57,0.944
223,30,,2024-12-19,2024-12-31,182.91,134.2,91.45,Clearance,176.18,1.007
224,31,,2024-01-01,2024-03-26,162.8,124.6,81.4,Clearance,157.17,1.056
225,31,,2024-03-27,2024-05-02,162.8,162.8,,Regular,165.8,1.091
226,31,,2024-05-03,2024-06-17,162.8,162.8,,Regular,161.91,1.063
227,31,,2024-06-18,2024-09-07,162.8,138.39,,Rollback,156.38,1.042
228,31,,2024-09-08,2024-10-10,162.8,129.46,,Rollback,158.53,0.921
229,31,,2024-10-11,2024-12-31,162.8,127.51,,Rollback,159.04,0.951
230,32,,2024-01-01,2024-01-17,148.09,148.09,,Regular,148.82,1.052
231,32,,2024-01-18,2024-03-19,148.09,109.4,,Rollback,149.23,0.905
232,32,,2024-03-20,2024-05-05,148.09,148.09,,Regular,165.62,1.077
233,32,,2024-05-06,2024-06-26,148.09,117.3,,EDLP,139.08,1.107
234,32,,2024-06-27,2024-08-27,148.09,108.61,,Rollback,134.85,0.977
235,32,,2024-08-28,2024-10-10,148.09,127.02,,Rollback,153.4,0.925
236,32,,2024-10-11,2024-11-18,148.09,106.94,,EDLP,134.14,0.9
237,32,,2024-11-19,2024-12-31,148.09,148.09,,Regular,162.61,1.087
238,33,,2024-01-01,2024-03-20,6.97,6.97,,Regular,7.69,1.001
239,33,,2024-03-21,2024-04-06,6.97,5.35,,Rollback,6.91,1.013
240,33,,2024-04-07,2024-06-24,6.97,6.97,,Regular,7.72,0.946
241,33,,2024-06-25,2024-07-26,6.97,6.97,,Regular,7.72,0.895
242,33,,2024-07-27,2024-09-22,6.97,6.97,,Regular,7.47,0.894
243,33,,2024-09-23,2024-11-13,6.97,6.97,,Regular,7.87,0.93
244,33,,2024-11-14,2024-12-31,6.97,6.97,,Regular,7.19,1.021
245,34,,2024-01-01,2024-01-30,200.59,200.59,,Regular,191.66,0.914
246,34,,2024-01-31,2024-02-27,200.59,200.59,,Regular,216.2,0.989
247,34,,2024-02-28,2024-05-11,200.59,151.08,,Rollback,207.83,1.026
248,34,,2024-05-12,2024-06-20,200.59,200.59,,Regular,185.12,1.043
249,34,,2024-06-21,2024-09-06,200.59,200.59,,Regular,200.84,0.958
250,34,,2024-09-07,2024-10-19,200.59,200.59,,Regular,200.92,0.888
251,34,,2024-10-20,2024-11-12,200.59,144.52,,EDLP,211.22,1.001
252,34,,2024-11-13,2024-12-31,200.59,185.78,,EDLP,228.71,1.086
253,35,,2024-01-01,2024-03-25,295.8,242.23,,Rollback,266.84,1.099
254,35,,2024-03-26,2024-05-05,295.8,207.26,,Rollback,268.39,0.906
255,35,,2024-05-06,2024-07-12,295.8,295.8,,Regular,275.68,1.023
256,35,,2024-07-13,2024-07-28,295.8,295.8,,Regular,294.12,0.993
257,35,,2024-07-29,2024-10-14,295.8,295.8,,Regular,287.2,1.115
258,35,,2024-10-15,2024-11-13,295.8,213.87,,EDLP,334.01,1.092
259,35,,2024-11-14,2024-12-25,295.8,295.8,,Regular,311.31,0.963
260,35,,2024-12-26,2024-12-31,295.8,295.8,,Regular,310.86,1.074
261,36,,2024-01-01,2024-03-22,215.9,174.07,,Rollback,200.19,0.95
262,36,,2024-03-23,2024-05-05,215.9,215.9,,Regular,220.07,1.081
263,36,,2024-05-06,2024-08-03,215.9,215.9,,Regular,248.12,0.927
264,36,,2024-08-04,2024-09-07,215.9,172.37,,EDLP,221.61,0.898
265,36,,2024-09-08,2024-11-18,215.9,215.9,,Regular,212.54,0.898
266,36,,2024-11-19,2024-12-31,215.9,167.57,,EDLP,240.58,0.951
267,37,,2024-01-01,2024-03-21,205.99,205.99,,Regular,233.83,0.89
268,37,,2024-03-22,2024-05-21,205.99,155.62,,Rollback,202.77,0.998
269,37,,2024-05-22,2024-07-25,205.99,205.99,,Regular,235.15,1.059
270,37,,2024-07-26,2024-10-14,205.99,189.69,,Rollback,192.02,1.067
271,37,,2024-10-15,2024-10-31,205.99,147.08,,EDLP,230.44,0.893
272,37,,2024-11-01,2024-12-11,205.99,205.99,,Regular,205.88,1.026
273,37,,2024-12-12,2024-12-29,205.99,205.99,,Regular,220.66,0.897
274,37,,2024-12-30,2024-12-31,205.99,205.99,,Regular,194.43,0.932
275,38,,2024-01-01,2024-02-27,150.87,150.87,,Regular,166.61,1.002
276,38,,2024-02-28,2024-04-05,150.87,150.87,,Regular,139.89,1.03
277,38,,2024-04-06,2024-06-21,150.87,150.87,,Regular,156.96,1.097
278,38,,2024-06-22,2024-08-01,150.87,111.97,,EDLP,146.74,1.111
279,38,,2024-08-02,2024-08-30,150.87,150.87,,Regular,169.59,0.881
280,38,,2024-08-31,2024-11-20,150.87,113.9,,EDLP,148.71,0.937
281,38,,2024-11-21,2024-12-31,150.87,123.39,,Rollback,151.15,0.931
282,39,,2024-01-01,2024-03-02,8.39,7.71,,Rollback,7.77,0.969
283,39,,2024-03-03,2024-03-19,8.39,7.87,,Rollback,8.32,1.015
284,39,,2024-03-20,2024-04-11,8.39,7.37,,Rollback,7.93,0.884
285,39,,2024-04-12,2024-06-22,8.39,6.75,,EDLP,7.9,1.061
286,39,,2024-06-23,2024-09-18,8.39,6.66,,Rollback,9.16,1.017
287,39,,2024-09-19,2024-11-20,8.39,6.59,4.2,Clearance,9.29,1.034
288,39,,2024-11-21,2024-12-31,8.39,6.55,,Rollback,9.15,1.085
289,40,,2024-01-01,2024-01-26,161.46,141.46,80.73,Clearance,166.92,0.968
290,40,,2024-01-27,2024-03-30,161.46,130.43,,Rollback,151.24,1.016
291,40,,2024-03-31,2024-05-21,161.46,161.46,,Regular,165.51,0.954
292,40,,2024-05-22,2024-06-29,161.46,117.44,,EDLP,149.69,1.081
293,40,,2024-06-30,2024-08-11,161.46,161.46,,Regular,151.02,1.113
294,40,,2024-08-12,2024-10-16,161.46,161.46,,Regular,184.09,0.893
295,40,,2024-10-17,2024-11-02,161.46,134.3,,EDLP,161.38,0.908
296,40,,2024-11-03,2024-12-31,161.46,152.16,,EDLP,163.15,1.06
297,41,,2024-01-01,2024-02-23,183.04,183.04,,Regular,210.25,0.935
298,41,,2024-02-24,2024-04-06,183.04,183.04,,Regular,195.05,1.098
299,41,,2024-04-07,2024-05-22,183.04,150.08,91.52,Clearance,194.81,1.015
300,41,,2024-05-23,2024-06-08,183.04,129.0,,Rollback,202.63,1.095
301,41,,2024-06-09,2024-08-14,183.04,168.5,91.52,Clearance,171.25,1.047
302,41,,2024-08-15,2024-10-23,183.04,183.04,,Regular,189.87,1.084
303,41,,2024-10-24,2024-11-25,183.04,183.04,,Regular,199.66,1.011
304,41,,2024-11-26,2024-12-28,183.04,183.04,,Regular,176.91,1.068
305,41,,2024-12-29,2024-12-31,183.04,183.04,,Regular,180.51,1.031
306,42,,2024-01-01,2024-02-11,191.11,191.11,,Regular,195.02,0.982
307,42,,2024-02-12,2024-03-15,191.11,142.99,,Rollback,186.99,0.961
308,42,,2024-03-16,2024-04-14,191.11,191.11,,Regular,181.17,0.944
309,42,,2024-04-15,2024-07-07,191.11,191.11,,Regular,200.07,1.066
310,42,,2024-07-08,2024-09-25,191.11,191.11,,Regular,214.95,1.085
311,42,,2024-09-26,2024-10-31,191.11,191.11,,Regular,182.69,0.882
312,42,,2024-11-01,2024-12-31,191.11,191.11,,Regular,190.66,1.092
313,43,,2024-01-01,2024-01-23,214.74,197.73,,EDLP,245.86,0.973
314,43,,2024-01-24,2024-03-03,214.74,214.74,,Regular,229.14,1.075
315,43,,2024-03-04,2024-04-29,214.74,159.8,,Rollback,194.63,1.107
316,43,,2024-04-30,2024-07-01,214.74,214.74,,Regular,226.12,0.947
317,43,,2024-07-02,2024-08-22,214.74,200.08,,Rollback,232.87,0.893
318,43,,2024-08-23,2024-10-28,214.74,157.68,,Rollback,221.28,1.089
319,43,,2024-10-29,2024-12-31,214.74,170.34,,Rollback,195.97,0.968
320,44,,2024-01-01,2024-02-19,95.68,95.68,,Regular,107.54,0.986
321,44,,2024-02-20,2024-05-20,95.68,95.68,,Regular,89.99,1.051
322,44,,2024-05-21,2024-07-31,95.68,73.53,47.84,Clearance,104.36,0.979
323,44,,2024-08-01,2024-08-31,95.68,95.68,,Regular,94.35,1.013
324,44,,2024-09-01,2024-09-26,95.68,79.13,,Rollback,101.07,0.994
325,44,,2024-09-27,2024-11-29,95.68,67.41,47.84,Clearance,99.64,1.104
326,44,,2024-11-30,2024-12-22,95.68,84.59,,Rollback,95.61,1.006
327,44,,2024-12-23,2024-12-31,95.68,95.68,,Regular,109.32,0.928
328,45,,2024-01-01,2024-03-13,130.5,130.5,,Regular,148.03,1.109
329,45,,2024-03-14,2024-05-07,130.5,130.5,,Regular,147.81,0.929
330,45,,2024-05-08,2024-07-12,130.5,130.5,,Regular,135.22,0.899
331,45,,2024-07-13,2024-07-28,130.5,130.5,,Regular,149.95,1.098
332,45,,2024-07-29,2024-08-25,130.5,130.5,,Regular,122.78,0.971
333,45,,2024-08-26,2024-10-07,130.5,116.21,,Rollback,134.2,1.041
334,45,,2024-10-08,2024-11-07,130.5,130.5,,Regular,135.27,1.114
335,45,,2024-11-08,2024-12-31,130.5,130.5,,Regular,124.57,0.898
336,46,,2024-01-01,2024-03-24,77.51,77.51,,Regular,74.89,0.892
337,46,,2024-03-25,2024-04-29,77.51,67.38,38.76,Clearance,72.49,0.975
338,46,,2024-04-30,2024-07-18,77.51,77.51,,Regular,85.6,0.983
339,46,,2024-07-19,2024-09-07,77.51,69.05,,EDLP,73.73,0.94
340,46,,2024-09-08,2024-10-05,77.51,77.51,,Regular,80.11,1.103
341,46,,2024-10-06,2024-12-18,77.51,63.95,,Rollback,79.71,1.1
