po_id,po_number,vendor_id,dc_id,item_id,order_date,expected_delivery_date,po_status,po_type,ordered_units,ordered_cases,unit_cost,total_cost,payment_terms
57,PO00000057,V4440,DC001,192,2024-05-31,2024-06-09,Open,Direct Import,580,48,137.1,79518.0,Net 60
58,PO00000058,V2619,DC009,977,2024-12-03,2024-12-21,Confirmed,Rush,1235,102,120.23,148484.05,Net 60
59,PO00000059,V2757,DC013,316,2024-09-13,2024-09-26,Open,Rush,607,50,175.03,106243.21,2/10 Net 30
60,PO00000060,V2991,DC025,457,2024-02-08,2024-02-21,Received,Regular,803,66,13.14,10551.42,Net 45
61,PO00000061,V2818,DC003,703,2024-03-28,2024-04-04,Received,Regular,550,45,94.3,51865.0,Net 60
62,PO00000062,V2372,DC019,806,2024-01-11,2024-01-23,Confirmed,Regular,807,67,65.64,52971.48,Net 60
63,PO00000063,V3044,DC004,724,2024-09-14,2024-10-02,Cancelled,Regular,943,78,163.9,154557.7,Net 30
64,PO00000064,V2328,DC011,90,2024-02-24,2024-03-03,Received,Regular,307,25,31.9,9793.3,Net 45
65,PO00000065,V3451,DC018,928,2024-05-01,2024-05-22,Received,Regular,414,34,9.78,4048.92,Net 30
66,PO00000066,V2259,DC023,693,2024-08-05,2024-08-08,Cancelled,Regular,119,9,178.53,21245.07,Net 45
67,PO00000067,V4360,DC009,63,2024-12-16,2024-12-29,Received,Cross-Dock,1017,84,186.88,190056.96,Net 60
68,PO00000068,V1646,DC024,510,2024-08-25,2024-09-02,Received,Cross-Dock,203,16,63.09,12807.27,Net 45
69,PO00000069,V4797,DC010,764,2024-05-23,2024-06-06,Shipped,Cross-Dock,470,39,22.48,10565.6,Net 45
70,PO00000070,V3508,DC019,454,2024-09-18,2024-09-29,Received,Regular,355,29,150.7,53498.5,2/10 Net 30
71,PO00000071,V2013,DC016,197,2024-10-17,2024-10-30,Shipped,Regular,956,79,29.68,28374.08,Net 30
72,PO00000072,V2587,DC023,711,2024-02-13,2024-03-02,Open,Direct Import,41,3,178.19,7305.79,Net 30
73,PO00000073,V3951,DC019,983,2024-01-13,2024-02-03,Received,Direct Import,1363,113,103.85,141547.55,Net 60
74,PO00000074,V2013,DC005,194,2024-07-04,2024-07-20,Confirmed,Regular,1187,98,147.33,174880.71,2/10 Net 30
75,PO00000075,V3496,DC022,395,2024-08-15,2024-08-18,Confirmed,Regular,676,56,98.75,66755.0,Net 45
76,PO00000076,V1135,DC016,424,2024-03-27,2024-04-10,Received,Regular,334,27,36.57,12214.38,Net 45
77,PO00000077,V3938,DC020,804,2024-11-02,2024-11-06,Received,Regular,168,14,116.19,19519.92,Net 60
78,PO00000078,V4436,DC013,335,2024-01-08,2024-01-12,Received,Regular,381,31,43.49,16569.69,Net 30
79,PO00000079,V4717,DC009,835,2024-12-04,2024-12-08,Shipped,Regular,367,30,112.42,41258.14,Net 60
80,PO00000080,V3345,DC003,196,2024-10-08,2024-10-26,Confirmed,Direct Import,512,42,195.81,100254.72,Net 60
81,PO00000081,V3587,DC003,337,2024-06-30,2024-07-12,Received,Regular,1185,98,76.52,90676.2,Net 30
82,PO00000082,V3503,DC025,439,2024-10-02,2024-10-08,Open,Regular,1388,115,164.24,227965.12,Net 45
83,PO00000083,V1771,DC004,99,2024-09-05,2024-09-16,Shipped,Direct Import,701,58,181.86,127483.86,Net 45
84,PO00000084,V3567,DC015,36,2024-09-27,2024-10-11,Received,Regular,320,26,153.28,49049.6,Net 30
85,PO00000085,V3983,DC019,371,2024-06-17,2024-06-24,Shipped,Regular,1033,86,137.23,141758.59,2/10 Net 30
86,PO00000086,V4912,DC012,808,2024-12-24,2025-01-13,Cancelled,Regular,1000,83,152.64,152640.0,Net 45
87,PO00000087,V1799,DC012,637,2024-04-06,2024-04-19,Received,Direct Import,241,20,146.99,35424.59,Net 30
88,PO00000088,V2547,DC001,622,2024-07-23,2024-08-09,Received,Regular,44,3,190.23,8370.12,Net 45
89,PO00000089,V4000,DC021,216,2024-06-14,2024-06-30,Confirmed,Regular,141,11,199.56,28137.96,2/10 Net 30
90,PO00000090,V2949,DC008,368,2024-06-12,2024-06-26,Received,Regular,327,27,30.03,9819.81,Net 45
91,PO00000091,V3411,DC011,780,2024-03-07,2024-03-12,Received,Regular,675,56,52.22,35248.5,Net 30
92,PO00000092,V3482,DC021,656,2024-02-15,2024-02-23,Open,Cross-Dock,763,63,182.2,139018.6,2/10 Net 30
93,PO00000093,V3792,DC020,180,2024-07-04,2024-07-24,Open,Rush,473,39,118.65,56121.45,Net 60
94,PO00000094,V4272,DC009,506,2024-07-10,2024-07-28,Received,Regular,845,70,7.44,6286.8,Net 60
95,PO00000095,V2011,DC013,957,2024-08-13,2024-08-18,Received,Regular,338,28,172.06,58156.28,2/10 Net 30
96,PO00000096,V3617,DC004,127,2024-03-03,2024-03-14,Open,Direct Import,131,10,153.51,20109.81,Net 60
97,PO00000097,V2217,DC020,496,2024-10-14,2024-10-22,Received,Regular,1113,92,43.21,48092.73,2/10 Net 30
98,PO00000098,V3150,DC009,677,2024-03-08,2024-03-23,Received,Regular,1343,111,172.94,232258.42,Net 60
99,PO00000099,V4440,DC013,192,2024-12-16,2024-12-20,Shipped,Regular,967,80,137.1,132575.7,Net 45
100,PO00000100,V2803,DC024,796,2024-06-10,2024-07-01,Confirmed,Direct Import,1099,91,7.66,8418.34,Net 30
101,PO00000101,V4301,DC014,396,2024-08-24,2024-08-29,Shipped,Rush,236,19,9.58,2260.88,2/10 Net 30
102,PO00000102,V1919,DC003,575,2024-02-22,2024-03-08,Shipped,Regular,1282,106,151.92,194761.44,Net 30
103,PO00000103,V3122,DC006,331,2024-12-07,2024-12-27,Shipped,Direct Import,1085,90,91.71,99505.35,Net 60
104,PO00000104,V2953,DC022,995,2024-03-03,2024-03-14,Received,Regular,309,25,176.11,54417.99,Net 60
105,PO00000105,V4300,DC020,504,2024-08-19,2024-08-31,Shipped,Regular,781,65,166.55,130075.55,Net 60
106,PO00000106,V3916,DC005,880,2024-03-25,2024-04-04,Shipped,Regular,279,23,13.21,3685.59,Net 30
107,PO00000107,V3646,DC024,859,2024-06-28,2024-07-08,Received,Regular,844,70,198.75,167745.0,Net 45
108,PO00000108,V2945,DC002,135,2024-10-12,2024-10-28,Received,Regular,194,16,98.22,19054.68,Net 45
109,PO00000109,V4974,DC016,691,2024-06-15,2024-06-26,Open,Cross-Dock,1101,91,49.43,54422.43,Net 30
110,PO00000110,V3044,DC001,486,2024-05-12,2024-05-23,Received,Direct Import,346,28,46.96,16248.16,Net 30
111,PO00000111,V2328,DC022,90,2024-03-16,2024-03-31,Shipped,Regular,81,6,31.9,2583.9,Net 60
112,PO00000112,V2298,DC014,809,2024-11-22,2024-12-12,Confirmed,Regular,1221,101,132.01,161184.21,Net 45
113,PO00000113,V3949,DC017,842,2024-11-09,2024-11-28,Cancelled,Regular,613,51,187.27,114796.51,Net 30
114,PO00000114,V4178,DC001,6,2024-04-13,2024-04-22,Confirmed,Regular,1154,96,137.08,158190.32,Net 30
115,PO00000115,V3714,DC006,306,2024-07-18,2024-08-02,Received,Regular,690,57,79.66,54965.4,Net 30
116,PO00000116,V2630,DC013,208,2024-10-09,2024-10-13,Confirmed,Regular,183,15,184.55,33772.65,Net 30
117,PO00000117,V4342,DC005,747,2024-04-12,2024-04-29,Received,Direct Import,1056,88,144.96,153077.76,Net 60
118,PO00000118,V1655,DC020,118,2024-10-15,2024-11-04,Received,Rush,350,29,102.86,36001.0,Net 60
119,PO00000119,V1104,DC011,935,2024-06-19,2024-06-29,Received,Cross-Dock,157,13,156.5,24570.5,Net 30
120,PO00000120,V2245,DC013,56,2024-05-31,2024-06-08,Open,Regular,1058,88,88.11,93220.38,2/10 Net 30
121,PO00000121,V2583,DC021,101,2024-10-24,2024-11-10,Open,Regular,1149,95,66.27,76144.23,Net 60
122,PO00000122,V1584,DC023,313,2024-11-20,2024-12-09,Shipped,Rush,415,34,44.26,18367.9,Net 45
123,PO00000123,V4089,DC015,464,2024-05-04,2024-05-17,Received,Regular,1073,89,179.25,192335.25,Net 45
124,PO00000124,V3596,DC008,500,2024-03-30,2024-04-16,Received,Regular,1328,110,172.11,228562.08,2/10 Net 30
125,PO00000125,V2908,DC006,220,2024-12-11,2024-12-25,Received,Regular,562,46,31.5,17703.0,Net 45
126,PO00000126,V2694,DC025,176,2024-03-17,2024-04-01,Open,Rush,906,75,172.81,156565.86,2/10 Net 30
127,PO00000127,V1907,DC025,48,2024-11-16,2024-11-25,Received,Regular,915,76,158.69,145201.35,Net 30
128,PO00000128,V1442,DC001,83,2024-08-07,2024-08-25,Received,Direct Import,81,6,169.54,13732.74,Net 60
129,PO00000129,V3108,DC015,494,2024-07-25,2024-08-09,Open,Rush,654,54,131.72,86144.88,Net 60
130,PO00000130,V1648,DC005,730,2024-10-29,2024-11-12,Open,Regular,1286,107,80.92,104063.12,2/10 Net 30
131,PO00000131,V3172,DC010,281,2024-04-18,2024-04-25,Confirmed,Regular,457,38,27.36,12503.52,Net 60
132,PO00000132,V2134,DC025,205,2024-11-28,2024-12-12,Received,Regular,864,72,63.24,54639.36,Net 60
133,PO00000133,V4986,DC023,883,2024-04-06,2024-04-24,Received,Regular,755,62,199.17,150373.35,Net 60
134,PO00000134,V2011,DC021,957,2024-01-04,2024-01-14,Confirmed,Cross-Dock,51,4,172.06,8775.06,2/10 Net 30
135,PO00000135,V3623,DC024,255,2024-05-10,2024-05-29,Received,Rush,247,20,13.24,3270.28,Net 60
136,PO00000136,V4716,DC007,309,2024-06-17,2024-06-24,Received,Direct Import,1101,91,103.57,114030.57,Net 30
137,PO00000137,V1102,DC006,463,2024-07-04,2024-07-23,Received,Direct Import,212,17,106.96,22675.52,Net 45
138,PO00000138,V3298,DC009,369,2024-08-10,2024-08-29,Received,Direct Import,90,7,79.37,7143.3,2/10 Net 30
139,PO00000139,V2653,DC006,927,2024-05-21,2024-05-24,Shipped,Regular,826,68,6.48,5352.48,Net 60
140,PO00000140,V4634,DC003,522,2024-11-01,2024-11-17,Received,Regular,284,23,153.77,43670.68,Net 60
141,PO00000141,V4208,DC025,744,2024-05-21,2024-06-06,Shipped,Regular,1040,86,4.74,4929.6,2/10 Net 30
142,PO00000142,V4131,DC007,407,2024-07-04,2024-07-17,Shipped,Regular,667,55,16.17,10785.39,Net 60
143,PO00000143,V2470,DC018,657,2024-01-17,2024-01-30,Received,Regular,778,64,120.63,93850.14,2/10 Net 30
144,PO00000144,V2573,DC013,684,2024-08-19,2024-08-28,Confirmed,Cross-Dock,931,77,33.52,31207.12,Net 60
145,PO00000145,V1013,DC018,824,2024-04-29,2024-05-12,Cancelled,Regular,572,47,171.5,98098.0,2/10 Net 30
146,PO00000146,V3496,DC002,907,2024-11-17,2024-11-26,Received,Regular,949,79,21.03,19957.47,Net 45
147,PO00000147,V1475,DC023,210,2024-12-24,2024-12-30,Shipped,Direct Import,226,18,49.27,11135.02,Net 45
148,PO00000148,V4301,DC011,396,2024-01-25,2024-02-13,Received,Rush,488,40,9.58,4675.04,2/10 Net 30
149,PO00000149,V2024,DC004,768,2024-05-16,2024-05-22,Shipped,Regular,882,73,28.27,24934.14,2/10 Net 30
150,PO00000150,V4099,DC023,905,2024-05-07,2024-05-24,Received,Regular,1440,120,62.11,89438.4,Net 60
151,PO00000151,V4950,DC002,279,2024-09-09,2024-09-28,Received,Direct Import,358,29,68.6,24558.8,Net 60
152,PO00000152,V3978,DC021,347,2024-04-20,2024-05-02,Received,Rush,1089,90,54.2,59023.8,2/10 Net 30
153,PO00000153,V2935,DC021,420,2024-08-06,2024-08-16,Received,Regular,627,52,178.04,111631.08,Net 30
154,PO00000154,V4628,DC015,590,2024-03-02,2024-03-08,Open,Regular,1204,100,170.37,205125.48,Net 30
155,PO00000155,V1014,DC005,389,2024-10-17,2024-11-07,Shipped,Regular,785,65,179.76,141111.6,2/10 Net 30
156,PO00000156,V4300,DC011,504,2024-06-16,2024-07-07,Cancelled,Rush,1210,100,166.55,201525.5,Net 30
157,PO00000157,V3194,DC001,167,2024-05-09,2024-05-30,Open,Regular,1317,109,3.84,5057.28,Net 45
158,PO00000158,V2518,DC015,321,2024-05-20,2024-06-08,Received,Regular,835,69,18.08,15096.8,Net 60
159,PO00000159,V2570,DC016,639,2024-02-01,2024-02-20,Shipped,Regular,474,39,185.84,88088.16,Net 30
160,PO00000160,V4751,DC005,330,2024-03-29,2024-04-16,Open,Regular,1017,84,98.42,100093.14,Net 30
161,PO00000161,V1497,DC007,746,2024-04-06,2024-04-14,Open,Regular,397,33,169.81,67414.57,Net 30
162,PO00000162,V2304,DC023,998,2024-09-13,2024-09-28,Received,Regular,395,32,180.9,71455.5,Net 30
163,PO00000163,V2024,DC012,768,2024-06-09,2024-06-29,Open,Regular,698,58,28.27,19732.46,Net 45
164,PO00000164,V4208,DC009,744,2024-12-30,2025-01-19,Received,Rush,690,57,4.74,3270.6,2/10 Net 30
165,PO00000165,V3959,DC009,816,2024-02-18,2024-02-28,Confirmed,Regular,218,18,64.43,14045.74,2/10 Net 30
166,PO00000166,V4301,DC017,396,2024-04-07,2024-04-26,Shipped,Regular,690,57,9.58,6610.2,Net 30
167,PO00000167,V4858,DC021,231,2024-02-29,2024-03-20,Cancelled,Regular,837,69,192.13,160812.81,2/10 Net 30
168,PO00000168,V3245,DC023,344,2024-09-02,2024-09-22,Shipped,Cross-Dock,211,17,119.6,25235.6,2/10 Net 30
169,PO00000169,V4169,DC011,827,2024-04-06,2024-04-14,Shipped,Regular,1114,92,139.55,155458.7,Net 60
170,PO00000170,V1648,DC018,730,2024-03-20,2024-03-31,Received,Direct Import,338,28,80.92,27350.96,Net 30
171,PO00000171,V2824,DC003,466,2024-05-06,2024-05-09,Received,Rush,723,60,5.0,3615.0,Net 60
172,PO00000172,V1624,DC008,302,2024-06-08,2024-06-29,Received,Regular,85,7,132.05,11224.25,2/10 Net 30
173,PO00000173,V4953,DC023,233,2024-10-29,2024-11-16,Received,Direct Import,102,8,78.62,8019.24,Net 60
174,PO00000174,V2247,DC012,414,2024-10-01,2024-10-16,Received,Cross-Dock,58,4,114.27,6627.66,Net 30
175,PO00000175,V3774,DC007,610,2024-01-13,2024-01-16,Confirmed,Direct Import,1146,95,15.98,18313.08,Net 60
176,PO00000176,V4529,DC014,624,2024-02-06,2024-02-18,Shipped,Regular,280,23,183.27,51315.6,Net 45
177,PO00000177,V2530,DC014,149,2024-10-15,2024-10-25,Shipped,Regular,1409,117,91.27,128599.43,Net 30
178,PO00000178,V1056,DC013,61,2024-11-02,2024-11-13,Shipped,Regular,66,5,142.1,9378.6,Net 30
179,PO00000179,V2321,DC012,474,2024-05-25,2024-06-06,Confirmed,Regular,870,72,119.95,104356.5,Net 45
180,PO00000180,V1771,DC010,229,2024-05-21,2024-06-07,Received,Direct Import,736,61,112.94,83123.84,Net 60
181,PO00000181,V3555,DC019,726,2024-10-04,2024-10-11,Received,Direct Import,1345,112,21.18,28487.1,Net 30
182,PO00000182,V4735,DC008,616,2024-10-05,2024-10-23,Confirmed,Regular,1255,104,13.97,17532.35,2/10 Net 30
183,PO00000183,V2392,DC019,868,2024-05-13,2024-05-27,Cancelled,Regular,302,25,153.68,46411.36,Net 60
184,PO00000184,V2455,DC006,581,2024-08-05,2024-08-13,Received,Regular,45,3,25.63,1153.35,Net 30
185,PO00000185,V4176,DC008,162,2024-08-16,2024-08-31,Shipped,Cross-Dock,1181,98,183.07,216205.67,Net 60
186,PO00000186,V3009,DC024,760,2024-06-09,2024-06-24,Received,Direct Import,96,8,160.88,15444.48,Net 60
187,PO00000187,V4861,DC020,960,2024-05-27,2024-05-31,Received,Regular,508,42,98.42,49997.36,Net 30
188,PO00000188,V1812,DC012,864,2024-03-27,2024-04-12,Confirmed,Rush,316,26,193.06,61006.96,2/10 Net 30
189,PO00000189,V3496,DC015,907,2024-11-30,2024-12-18,Received,Direct Import,278,23,21.03,5846.34,Net 60
190,PO00000190,V1455,DC019,890,2024-06-11,2024-06-27,Received,Regular,224,18,194.57,43583.68,Net 60
191,PO00000191,V1139,DC005,813,2024-04-03,2024-04-08,Open,Regular,497,41,148.7,73903.9,Net 30
192,PO00000192,V1796,DC003,608,2024-06-13,2024-07-04,Open,Regular,1077,89,69.06,74377.62,Net 60
193,PO00000193,V2518,DC003,321,2024-04-29,2024-05-08,Confirmed,Regular,318,26,18.08,5749.44,Net 45
194,PO00000194,V4926,DC020,332,2024-04-16,2024-04-22,Shipped,Regular,906,75,52.94,47963.64,Net 45
195,PO00000195,V2981,DC004,319,2024-01-19,2024-02-05,Open,Regular,330,27,36.15,11929.5,Net 30
196,PO00000196,V1323,DC005,116,2024-12-02,2024-12-17,Shipped,Regular,1376,114,160.33,220614.08,2/10 Net 30
197,PO00000197,V4816,DC020,787,2024-06-21,2024-06-29,Open,Regular,587,48,115.28,67669.36,2/10 Net 30
198,PO00000198,V1679,DC006,628,2024-06-11,2024-06-16,Received,Regular,1230,102,182.03,223896.9,Net 30
199,PO00000199,V4616,DC007,865,2024-06-05,2024-06-21,Received,Regular,1022,85,0.67,684.74,Net 45
200,PO00000200,V4950,DC023,279,2024-05-07,2024-05-23,Confirmed,Rush,966,80,68.6,66267.6,Net 30
201,PO00000201,V1877,DC011,252,2024-06-04,2024-06-13,Received,Direct Import,503,41,170.84,85932.52,Net 60
202,PO00000202,V3041,DC024,60,2024-11-04,2024-11-08,Shipped,Regular,1011,84,103.93,105073.23,2/10 Net 30
203,PO00000203,V3535,DC019,455,2024-11-03,2024-11-07,Received,Regular,781,65,22.64,17681.84,Net 45
204,PO00000204,V1253,DC003,642,2024-05-02,2024-05-07,Received,Direct Import,1037,86,115.59,119866.83,Net 30
205,PO00000205,V2294,DC024,97,2024-08-06,2024-08-21,Shipped,Regular,1168,97,64.98,75896.64,Net 30
206,PO00000206,V2247,DC012,414,2024-07-08,2024-07-25,Shipped,Regular,933,77,114.27,106613.91,2/10 Net 30
207,PO00000207,V2927,DC013,451,2024-11-25,2024-12-12,Shipped,Regular,1010,84,196.05,198010.5,2/10 Net 30
208,PO00000208,V4300,DC022,504,2024-03-30,2024-04-19,Received,Regular,665,55,166.55,110755.75,Net 60
209,PO00000209,V1573,DC003,172,2024-03-24,2024-04-03,Shipped,Cross-Dock,925,77,66.68,61679.0,Net 45
210,PO00000210,V4538,DC011,15,2024-01-28,2024-02-07,Received,Regular,1182,98,71.18,84134.76,Net 60
211,PO00000211,V4440,DC018,192,2024-03-24,2024-03-30,Confirmed,Regular,1348,112,137.1,184810.8,Net 60
212,PO00000212,V2448,DC004,821,2024-05-14,2024-05-22,Confirmed,Cross-Dock,338,28,146.46,49503.48,2/10 Net 30
213,PO00000213,V1340,DC001,997,2024-07-16,2024-07-20,Received,Rush,818,68,142.43,116507.74,Net 45
214,PO00000214,V2298,DC025,809,2024-09-26,2024-10-15,Received,Regular,1202,100,132.01,158676.02,2/10 Net 30
215,PO00000215,V1500,DC016,350,2024-07-25,2024-07-29,Received,Regular,174,14,149.07,25938.18,Net 30
216,PO00000216,V3970,DC007,892,2024-01-18,2024-01-21,Shipped,Regular,1383,115,162.43,224640.69,Net 60
217,PO00000217,V2619,DC025,558,2024-08-24,2024-09-13,Confirmed,Regular,606,50,82.22,49825.32,2/10 Net 30
218,PO00000218,V1656,DC003,268,2024-08-29,2024-09-04,Received,Regular,1242,103,71.91,89312.22,2/10 Net 30
219,PO00000219,V2247,DC003,414,2024-04-28,2024-05-11,Received,Direct Import,711,59,114.27,81245.97,Net 60
220,PO00000220,V2797,DC013,955,2024-11-08,2024-11-13,Received,Regular,1170,97,171.58,200748.6,Net 30
221,PO00000221,V1026,DC003,543,2024-11-05,2024-11-19,Open,Cross-Dock,1035,86,193.94,200727.9,Net 45
222,PO00000222,V4835,DC012,198,2024-09-01,2024-09-05,Confirmed,Regular,425,35,103.36,43928.0,2/10 Net 30
223,PO00000223,V2624,DC019,43,2024-07-06,2024-07-12,Received,Regular,828,69,135.63,112301.64,Net 30
224,PO00000224,V2865,DC020,64,2024-05-08,2024-05-27,Shipped,Direct Import,423,35,110.61,46788.03,Net 45
225,PO00000225,V2411,DC001,370,2024-07-14,2024-07-27,Received,Regular,1409,117,73.37,103378.33,Net 30
226,PO00000226,V3841,DC005,247,2024-08-09,2024-08-12,Open,Direct Import,367,30,29.2,10716.4,Net 45
227,PO00000227,V2636,DC012,183,2024-08-08,2024-08-15,Shipped,Regular,876,73,196.73,172335.48,Net 30
228,PO00000228,V2792,DC018,609,2024-05-03,2024-05-16,Received,Regular,275,22,131.58,36184.5,Net 45
229,PO00000229,V2238,DC001,770,2024-03-02,2024-03-19,Received,Rush,1267,105,151.29,191684.43,Net 45
230,PO00000230,V4525,DC011,207,2024-04-08,2024-04-12,Received,Regular,755,62,186.82,141049.1,Net 60
