forecast_id,forecast_date,store_id,item_id,dc_id,forecast_week,forecast_units,forecast_cases,ci_low,ci_high,actual_units,forecast_bias,mape,model_version
79,2024-01-07,8,840,DC010,1,16,1,12,19,18,2,11.11,v1.1
80,2024-01-07,8,65,DC003,1,22,1,17,26,23,1,4.35,v2.8
81,2024-01-07,8,732,DC003,1,23,1,18,27,23,0,0.0,v3.9
82,2024-01-07,8,787,DC012,1,26,2,20,31,23,-3,13.04,v2.5
83,2024-01-07,8,499,DC008,1,25,2,20,30,24,-1,4.17,v1.5
84,2024-01-07,8,191,DC003,1,22,1,17,26,26,4,15.38,v3.9
85,2024-01-07,8,471,DC021,1,15,1,12,18,16,1,6.25,v2.1
86,2024-01-07,8,352,DC009,1,17,1,13,20,16,-1,6.25,v3.1
87,2024-01-07,8,52,DC023,1,12,1,9,14,10,-2,20.0,v3.6
88,2024-01-07,8,326,DC015,1,14,1,11,16,13,-1,7.69,v2.3
89,2024-01-07,8,296,DC025,1,17,1,13,20,14,-3,21.43,v2.2
90,2024-01-07,8,525,DC019,1,20,1,16,24,16,-4,25.0,v3.6
91,2024-01-07,8,553,DC004,1,18,1,14,21,19,1,5.26,v2.3
92,2024-01-07,8,723,DC005,1,23,1,18,27,19,-4,21.05,v1.3
93,2024-01-07,8,530,DC019,1,19,1,15,22,20,1,5.0,v1.3
94,2024-01-07,8,740,DC020,1,25,2,20,30,25,0,0.0,v2.5
95,2024-01-07,8,70,DC014,1,26,2,20,31,27,1,3.7,v3.8
96,2024-01-07,8,919,DC017,1,18,1,14,21,15,-3,20.0,v1.9
97,2024-01-07,8,308,DC011,1,22,1,17,26,19,-3,15.79,v2.2
98,2024-01-07,8,377,DC025,1,20,1,16,24,18,-2,11.11,v3.1
99,2024-01-07,8,702,DC016,1,20,1,16,24,18,-2,11.11,v3.8
100,2024-01-07,8,659,DC021,1,20,1,16,24,18,-2,11.11,v2.1
101,2024-01-07,34,867,DC010,1,24,2,19,28,26,2,7.69,v3.7
102,2024-01-07,34,370,DC001,1,15,1,12,18,17,2,11.76,v3.6
103,2024-01-07,34,602,DC003,1,18,1,14,21,14,-4,28.57,v3.9
104,2024-01-07,34,670,DC018,1,22,1,17,26,18,-4,22.22,v1.2
105,2024-01-07,34,404,DC014,1,20,1,16,24,16,-4,25.0,v1.2
106,2024-01-07,34,49,DC022,1,16,1,12,19,16,0,0.0,v1.9
107,2024-01-07,34,952,DC024,1,21,1,16,25,21,0,0.0,v2.2
108,2024-01-07,34,693,DC023,1,19,1,15,22,17,-2,11.76,v3.5
109,2024-01-07,34,783,DC006,1,20,1,16,24,19,-1,5.26,v1.9
110,2024-01-07,34,459,DC004,1,22,1,17,26,20,-2,10.0,v1.9
111,2024-01-07,34,116,DC024,1,19,1,15,22,18,-1,5.56,v3.4
112,2024-01-07,34,236,DC021,1,17,1,13,20,14,-3,21.43,v1.8
113,2024-01-07,34,124,DC022,1,22,1,17,26,19,-3,15.79,v1.5
114,2024-01-07,34,82,DC021,1,24,2,19,28,22,-2,9.09,v2.2
115,2024-01-07,34,342,DC021,1,21,1,16,25,20,-1,5.0,v2.9
116,2024-01-07,34,20,DC014,1,21,1,16,25,20,-1,5.0,v1.7
117,2024-01-07,34,624,DC013,1,19,1,15,22,20,1,5.0,v1.2
118,2024-01-07,34,986,DC003,1,22,1,17,26,17,-5,29.41,v2.4
119,2024-01-07,34,262,DC003,1,20,1,16,24,23,3,13.04,v2.9
120,2024-01-07,34,807,DC015,1,19,1,15,22,17,-2,11.76,v1.1
121,2024-01-07,34,222,DC004,1,28,2,22,33,25,-3,12.0,v1.2
122,2024-01-07,34,122,DC019,1,20,1,16,24,20,0,0.0,v1.3
123,2024-01-07,34,327,DC016,1,14,1,11,16,15,1,6.67,v3.6
124,2024-01-07,34,368,DC016,1,24,2,19,28,19,-5,26.32,v3.5
125,2024-01-07,34,775,DC019,1,20,1,16,24,21,1,4.76,v3.4
126,2024-01-07,34,545,DC007,1,16,1,12,19,12,-4,33.33,v3.8
127,2024-01-07,34,970,DC016,1,11,1,8,13,9,-2,22.22,v2.5
128,2024-01-07,34,563,DC013,1,20,1,16,24,19,-1,5.26,v2.7
129,2024-01-07,34,840,DC016,1,22,1,17,26,19,-3,15.79,v3.1
130,2024-01-07,34,65,DC005,1,14,1,11,16,16,2,12.5,v1.1
131,2024-01-07,34,732,DC004,1,17,1,13,20,16,-1,6.25,v3.3
132,2024-01-07,34,787,DC023,1,27,2,21,32,22,-5,22.73,v3.1
133,2024-01-07,34,499,DC025,1,17,1,13,20,19,2,10.53,v2.9
134,2024-01-07,34,191,DC011,1,17,1,13,20,15,-2,13.33,v2.7
135,2024-01-07,34,471,DC005,1,22,1,17,26,19,-3,15.79,v2.8
136,2024-01-07,34,352,DC001,1,16,1,12,19,12,-4,33.33,v1.5
137,2024-01-07,34,52,DC025,1,17,1,13,20,17,0,0.0,v2.9
138,2024-01-07,34,326,DC006,1,13,1,10,15,11,-2,18.18,v3.0
139,2024-01-07,34,296,DC014,1,24,2,19,28,26,2,7.69,v1.2
140,2024-01-07,34,525,DC013,1,16,1,12,19,13,-3,23.08,v2.6
141,2024-01-07,34,553,DC025,1,20,1,16,24,19,-1,5.26,v1.0
142,2024-01-07,34,723,DC015,1,22,1,17,26,20,-2,10.0,v3.3
143,2024-01-07,34,530,DC007,1,21,1,16,25,23,2,8.7,v1.4
144,2024-01-07,34,740,DC003,1,18,1,14,21,16,-2,12.5,v3.1
145,2024-01-07,34,70,DC009,1,22,1,17,26,20,-2,10.0,v2.2
146,2024-01-07,34,919,DC010,1,15,1,12,18,17,2,11.76,v3.8
147,2024-01-07,34,308,DC016,1,20,1,16,24,21,1,4.76,v2.2
148,2024-01-07,34,377,DC008,1,20,1,16,24,17,-3,17.65,v1.4
149,2024-01-07,34,702,DC023,1,23,1,18,27,24,1,4.17,v3.4
150,2024-01-07,34,659,DC013,1,19,1,15,22,19,0,0.0,v2.9
151,2024-01-07,3,867,DC011,1,19,1,15,22,18,-1,5.56,v3.1
152,2024-01-07,3,370,DC003,1,22,1,17,26,23,1,4.35,v2.4
153,2024-01-07,3,602,DC011,1,21,1,16,25,21,0,0.0,v1.5
154,2024-01-07,3,670,DC010,1,24,2,19,28,20,-4,20.0,v1.0
155,2024-01-07,3,404,DC004,1,22,1,17,26,20,-2,10.0,v2.3
156,2024-01-07,3,49,DC009,1,23,1,18,27,21,-2,9.52,v1.4
157,2024-01-07,3,952,DC005,1,15,1,12,18,14,-1,7.14,v1.4
158,2024-01-07,3,693,DC001,1,16,1,12,19,16,0,0.0,v2.7
159,2024-01-07,3,783,DC006,1,27,2,21,32,32,5,15.62,v1.8
160,2024-01-07,3,459,DC006,1,21,1,16,25,22,1,4.55,v1.8
161,2024-01-07,3,116,DC024,1,16,1,12,19,18,2,11.11,v1.8
162,2024-01-07,3,236,DC008,1,12,1,9,14,11,-1,9.09,v2.6
163,2024-01-07,3,124,DC006,1,24,2,19,28,23,-1,4.35,v2.7
164,2024-01-07,3,82,DC024,1,17,1,13,20,17,0,0.0,v2.2
165,2024-01-07,3,342,DC018,1,22,1,17,26,22,0,0.0,v2.1
166,2024-01-07,3,20,DC014,1,21,1,16,25,18,-3,16.67,v3.9
167,2024-01-07,3,624,DC021,1,15,1,12,18,17,2,11.76,v2.9
168,2024-01-07,3,986,DC012,1,17,1,13,20,19,2,10.53,v2.3
169,2024-01-07,3,262,DC008,1,16,1,12,19,17,1,5.88,v1.4
170,2024-01-07,3,807,DC004,1,20,1,16,24,20,0,0.0,v3.2
171,2024-01-07,3,222,DC005,1,12,1,9,14,14,2,14.29,v3.9
172,2024-01-07,3,122,DC015,1,20,1,16,24,21,1,4.76,v2.2
173,2024-01-07,3,327,DC014,1,26,2,20,31,22,-4,18.18,v2.4
174,2024-01-07,3,368,DC007,1,19,1,15,22,21,2,9.52,v2.0
175,2024-01-07,3,775,DC010,1,16,1,12,19,13,-3,23.08,v3.0
176,2024-01-07,3,545,DC007,1,25,2,20,30,29,4,13.79,v1.6
177,2024-01-07,3,970,DC009,1,21,1,16,25,17,-4,23.53,v1.3
178,2024-01-07,3,563,DC019,1,17,1,13,20,15,-2,13.33,v2.1
179,2024-01-07,3,840,DC025,1,18,1,14,21,14,-4,28.57,v2.0
180,2024-01-07,3,65,DC019,1,15,1,12,18,16,1,6.25,v1.8
181,2024-01-07,3,732,DC005,1,22,1,17,26,20,-2,10.0,v2.9
182,2024-01-07,3,787,DC025,1,21,1,16,25,17,-4,23.53,v3.8
183,2024-01-07,3,499,DC024,1,22,1,17,26,23,1,4.35,v3.4
184,2024-01-07,3,191,DC006,1,14,1,11,16,15,1,6.67,v2.3
185,2024-01-07,3,471,DC006,1,20,1,16,24,22,2,9.09,v2.3
186,2024-01-07,3,352,DC002,1,24,2,19,28,19,-5,26.32,v2.6
187,2024-01-07,3,52,DC020,1,14,1,11,16,13,-1,7.69,v3.7
188,2024-01-07,3,326,DC004,1,24,2,19,28,27,3,11.11,v3.9
189,2024-01-07,3,296,DC025,1,21,1,16,25,23,2,8.7,v2.4
190,2024-01-07,3,525,DC003,1,19,1,15,22,15,-4,26.67,v3.0
191,2024-01-07,3,553,DC023,1,19,1,15,22,22,3,13.64,v3.2
192,2024-01-07,3,723,DC025,1,26,2,20,31,23,-3,13.04,v3.2
193,2024-01-07,3,530,DC013,1,26,2,20,31,20,-6,30.0,v1.8
194,2024-01-07,3,740,DC023,1,21,1,16,25,21,0,0.0,v2.7
195,2024-01-07,3,70,DC011,1,19,1,15,22,19,0,0.0,v3.2
196,2024-01-07,3,919,DC021,1,20,1,16,24,20,0,0.0,v2.3
197,2024-01-07,3,308,DC008,1,13,1,10,15,13,0,0.0,v3.6
198,2024-01-07,3,377,DC008,1,24,2,19,28,27,3,11.11,v2.9
199,2024-01-07,3,702,DC025,1,23,1,18,27,25,2,8.0,v1.7
200,2024-01-07,3,659,DC007,1,23,1,18,27,23,0,0.0,v2.1
201,2024-01-07,6,867,DC015,1,19,1,15,22,17,-2,11.76,v2.3
202,2024-01-07,6,370,DC019,1,25,2,20,30,24,-1,4.17,v2.4
203,2024-01-07,6,602,DC013,1,18,1,14,21,20,2,10.0,v3.9
204,2024-01-07,6,670,DC008,1,25,2,20,30,26,1,3.85,v2.7
205,2024-01-07,6,404,DC024,1,26,2,20,31,22,-4,18.18,v2.1
206,2024-01-07,6,49,DC005,1,19,1,15,22,18,-1,5.56,v3.8
207,2024-01-07,6,952,DC001,1,13,1,10,15,12,-1,8.33,v2.1
208,2024-01-07,6,693,DC007,1,23,1,18,27,24,1,4.17,v2.1
209,2024-01-07,6,783,DC024,1,17,1,13,20,13,-4,30.77,v3.3
210,2024-01-07,6,459,DC025,1,13,1,10,15,13,0,0.0,v1.0
211,2024-01-07,6,116,DC016,1,14,1,11,16,15,1,6.67,v2.8
212,2024-01-07,6,236,DC001,1,20,1,16,24,22,2,9.09,v1.3
213,2024-01-07,6,124,DC025,1,21,1,16,25,21,0,0.0,v3.1
214,2024-01-07,6,82,DC014,1,21,1,16,25,17,-4,23.53,v1.4
215,2024-01-07,6,342,DC019,1,20,1,16,24,23,3,13.04,v1.1
216,2024-01-07,6,20,DC011,1,20,1,16,24,17,-3,17.65,v1.0
217,2024-01-07,6,624,DC012,1,16,1,12,19,18,2,11.11,v3.3
218,2024-01-07,6,986,DC022,1,22,1,17,26,23,1,4.35,v3.9
219,2024-01-07,6,262,DC023,1,14,1,11,16,11,-3,27.27,v2.1
220,2024-01-07,6,807,DC020,1,22,1,17,26,17,-5,29.41,v2.3
221,2024-01-07,6,222,DC006,1,14,1,11,16,11,-3,27.27,v1.1
222,2024-01-07,6,122,DC024,1,13,1,10,15,10,-3,30.0,v3.6
223,2024-01-07,6,327,DC007,1,23,1,18,27,25,2,8.0,v1.0
224,2024-01-07,6,368,DC013,1,28,2,22,33,30,2,6.67,v1.3
225,2024-01-07,6,775,DC022,1,18,1,14,21,16,-2,12.5,v1.2
226,2024-01-07,6,545,DC004,1,17,1,13,20,19,2,10.53,v2.4
227,2024-01-07,6,970,DC010,1,16,1,12,19,17,1,5.88,v3.6
228,2024-01-07,6,563,DC024,1,22,1,17,26,22,0,0.0,v1.2
229,2024-01-07,6,840,DC002,1,17,1,13,20,18,1,5.56,v2.7
230,2024-01-07,6,65,DC019,1,21,1,16,25,24,3,12.5,v3.1
231,2024-01-07,6,732,DC002,1,20,1,16,24,22,2,9.09,v3.1
232,2024-01-07,6,787,DC013,1,23,1,18,27,23,0,0.0,v1.0
233,2024-01-07,6,499,DC011,1,21,1,16,25,24,3,12.5,v3.1
234,2024-01-07,6,191,DC002,1,23,1,18,27,27,4,14.81,v2.2
235,2024-01-07,6,471,DC008,1,27,2,21,32,25,-2,8.0,v3.1
236,2024-01-07,6,352,DC025,1,20,1,16,24,23,3,13.04,v3.6
237,2024-01-07,6,52,DC024,1,22,1,17,26,21,-1,4.76,v1.8
238,2024-01-07,6,326,DC015,1,17,1,13,20,19,2,10.53,v2.7
239,2024-01-07,6,296,DC002,1,21,1,16,25,22,1,4.55,v1.0
240,2024-01-07,6,525,DC021,1,19,1,15,22,20,1,5.0,v1.0
241,2024-01-07,6,553,DC017,1,21,1,16,25,22,1,4.55,v1.0
242,2024-01-07,6,723,DC015,1,18,1,14,21,20,2,10.0,v2.8
243,2024-01-07,6,530,DC008,1,22,1,17,26,18,-4,22.22,v2.0
244,2024-01-07,6,740,DC007,1,29,2,23,34,34,5,14.71,v2.6
245,2024-01-07,6,70,DC009,1,20,1,16,24,17,-3,17.65,v1.2
246,2024-01-07,6,919,DC021,1,11,1,8,13,10,-1,10.0,v2.6
247,2024-01-07,6,308,DC023,1,16,1,12,19,17,1,5.88,v2.7
248,2024-01-07,6,377,DC004,1,15,1,12,18,14,-1,7.14,v2.8
249,2024-01-07,6,702,DC020,1,21,1,16,25,17,-4,23.53,v1.7
250,2024-01-07,6,659,DC025,1,17,1,13,20,16,-1,6.25,v2.8
251,2024-01-07,14,867,DC004,1,20,1,16,24,16,-4,25.0,v3.2
252,2024-01-07,14,370,DC007,1,17,1,13,20,16,-1,6.25,v2.1
253,2024-01-07,14,602,DC016,1,21,1,16,25,21,0,0.0,v2.4
254,2024-01-07,14,670,DC024,1,26,2,20,31,23,-3,13.04,v2.3
255,2024-01-07,14,404,DC020,1,14,1,11,16,13,-1,7.69,v3.3
256,2024-01-07,14,49,DC019,1,21,1,16,25,19,-2,10.53,v3.6
257,2024-01-07,14,952,DC008,1,22,1,17,26,17,-5,29.41,v1.1
258,2024-01-07,14,693,DC007,1,23,1,18,27,21,-2,9.52,v1.5
259,2024-01-07,14,783,DC004,1,21,1,16,25,23,2,8.7,v3.1
260,2024-01-07,14,459,DC006,1,17,1,13,20,17,0,0.0,v1.3
261,2024-01-07,14,116,DC007,1,19,1,15,22,22,3,13.64,v1.4
262,2024-01-07,14,236,DC021,1,20,1,16,24,23,3,13.04,v3.4
263,2024-01-07,14,124,DC021,1,14,1,11,16,13,-1,7.69,v3.6
264,2024-01-07,14,82,DC019,1,15,1,12,18,16,1,6.25,v3.8
265,2024-01-07,14,342,DC005,1,22,1,17,26,18,-4,22.22,v2.4
266,2024-01-07,14,20,DC018,1,28,2,22,33,25,-3,12.0,v3.0
267,2024-01-07,14,624,DC006,1,24,2,19,28,25,1,4.0,v3.1
268,2024-01-07,14,986,DC005,1,16,1,12,19,15,-1,6.67,v3.2
269,2024-01-07,14,262,DC009,1,26,2,20,31,25,-1,4.0,v1.8
270,2024-01-07,14,807,DC007,1,23,1,18,27,26,3,11.54,v1.6
271,2024-01-07,14,222,DC004,1,15,1,12,18,16,1,6.25,v2.8
272,2024-01-07,14,122,DC018,1,18,1,14,21,16,-2,12.5,v1.7
273,2024-01-07,14,327,DC020,1,27,2,21,32,28,1,3.57,v1.5
274,2024-01-07,14,368,DC014,1,19,1,15,22,21,2,9.52,v2.1
275,2024-01-07,14,775,DC015,1,22,1,17,26,25,3,12.0,v3.3
276,2024-01-07,14,545,DC004,1,18,1,14,21,15,-3,20.0,v3.8
277,2024-01-07,14,970,DC023,1,15,1,12,18,17,2,11.76,v2.8
278,2024-01-07,14,563,DC017,1,19,1,15,22,22,3,13.64,v2.2
279,2024-01-07,14,840,DC022,1,20,1,16,24,20,0,0.0,v1.4
280,2024-01-07,14,65,DC014,1,23,1,18,27,19,-4,21.05,v3.6
281,2024-01-07,14,732,DC023,1,24,2,19,28,23,-1,4.35,v1.2
282,2024-01-07,14,787,DC009,1,30,2,24,36,25,-5,20.0,v3.0
283,2024-01-07,14,499,DC001,1,18,1,14,21,20,2,10.0,v3.5
284,2024-01-07,14,191,DC002,1,16,1,12,19,17,1,5.88,v2.8
285,2024-01-07,14,471,DC002,1,17,1,13,20,13,-4,30.77,v2.4
286,2024-01-07,14,352,DC017,1,20,1,16,24,18,-2,11.11,v2.8
287,2024-01-07,14,52,DC001,1,23,1,18,27,27,4,14.81,v2.8
288,2024-01-07,14,326,DC007,1,15,1,12,18,14,-1,7.14,v1.2
289,2024-01-07,14,296,DC009,1,22,1,17,26,21,-1,4.76,v2.5
290,2024-01-07,14,525,DC019,1,23,1,18,27,21,-2,9.52,v2.9
291,2024-01-07,14,553,DC001,1,21,1,16,25,19,-2,10.53,v2.0
292,2024-01-07,14,723,DC022,1,18,1,14,21,16,-2,12.5,v1.5
293,2024-01-07,14,530,DC019,1,18,1,14,21,16,-2,12.5,v2.6
294,2024-01-07,14,740,DC024,1,24,2,19,28,26,2,7.69,v3.5
295,2024-01-07,14,70,DC025,1,23,1,18,27,22,-1,4.55,v3.1
296,2024-01-07,14,919,DC010,1,16,1,12,19,15,-1,6.67,v1.0
297,2024-01-07,14,308,DC010,1,27,2,21,32,25,-2,8.0,v1.8
298,2024-01-07,14,377,DC024,1,17,1,13,20,15,-2,13.33,v2.2
299,2024-01-07,14,702,DC007,1,23,1,18,27,25,2,8.0,v2.4
300,2024-01-07,14,659,DC011,1,24,2,19,28,22,-2,9.09,v1.5
301,2024-01-07,22,867,DC005,1,21,1,16,25,23,2,8.7,v1.6
302,2024-01-07,22,370,DC019,1,14,1,11,16,15,1,6.67,v1.5
303,2024-01-07,22,602,DC018,1,20,1,16,24,21,1,4.76,v3.9
304,2024-01-07,22,670,DC022,1,16,1,12,19,14,-2,14.29,v1.2
305,2024-01-07,22,404,DC025,1,14,1,11,16,11,-3,27.27,v1.0
306,2024-01-07,22,49,DC018,1,29,2,23,34,23,-6,26.09,v1.3
307,2024-01-07,22,952,DC009,1,19,1,15,22,21,2,9.52,v3.1
308,2024-01-07,22,693,DC019,1,18,1,14,21,19,1,5.26,v1.4
309,2024-01-07,22,783,DC024,1,20,1,16,24,19,-1,5.26,v1.5
310,2024-01-07,22,459,DC010,1,16,1,12,19,17,1,5.88,v2.4
311,2024-01-07,22,116,DC017,1,20,1,16,24,16,-4,25.0,v3.4
312,2024-01-07,22,236,DC015,1,18,1,14,21,18,0,0.0,v1.9
313,2024-01-07,22,124,DC004,1,25,2,20,30,22,-3,13.64,v1.5
314,2024-01-07,22,82,DC008,1,21,1,16,25,17,-4,23.53,v1.3
315,2024-01-07,22,342,DC011,1,29,2,23,34,23,-6,26.09,v1.5
316,2024-01-07,22,20,DC002,1,13,1,10,15,14,1,7.14,v3.0
317,2024-01-07,22,624,DC020,1,16,1,12,19,18,2,11.11,v2.7
318,2024-01-07,22,986,DC017,1,23,1,18,27,24,1,4.17,v2.3
319,2024-01-07,22,262,DC006,1,16,1,12,19,17,1,5.88,v1.7
320,2024-01-07,22,807,DC016,1,18,1,14,21,15,-3,20.0,v3.7
321,2024-01-07,22,222,DC007,1,24,2,19,28,26,2,7.69,v3.8
322,2024-01-07,22,122,DC024,1,16,1,12,19,18,2,11.11,v3.6
323,2024-01-07,22,327,DC015,1,25,2,20,30,23,-2,8.7,v3.6
324,2024-01-07,22,368,DC014,1,25,2,20,30,26,1,3.85,v1.8
325,2024-01-07,22,775,DC008,1,22,1,17,26,26,4,15.38,v2.5
326,2024-01-07,22,545,DC007,1,21,1,16,25,23,2,8.7,v1.7
327,2024-01-07,22,970,DC019,1,16,1,12,19,15,-1,6.67,v1.9
328,2024-01-07,22,563,DC010,1,20,1,16,24,20,0,0.0,v2.5
329,2024-01-07,22,840,DC021,1,24,2,19,28,24,0,0.0,v2.3
330,2024-01-07,22,65,DC024,1,21,1,16,25,22,1,4.55,v2.2
331,2024-01-07,22,732,DC013,1,13,1,10,15,12,-1,8.33,v3.1
332,2024-01-07,22,787,DC013,1,22,1,17,26,21,-1,4.76,v2.3
333,2024-01-07,22,499,DC015,1,21,1,16,25,20,-1,5.0,v1.4
334,2024-01-07,22,191,DC023,1,18,1,14,21,17,-1,5.88,v1.6
335,2024-01-07,22,471,DC007,1,32,2,25,38,28,-4,14.29,v3.1
336,2024-01-07,22,352,DC020,1,20,1,16,24,21,1,4.76,v2.3
337,2024-01-07,22,52,DC023,1,21,1,16,25,21,0,0.0,v3.5
338,2024-01-07,22,326,DC003,1,22,1,17,26,24,2,8.33,v2.8
339,2024-01-07,22,296,DC020,1,18,1,14,21,15,-3,20.0,v2.0
340,2024-01-07,22,525,DC024,1,18,1,14,21,16,-2,12.5,v2.3
341,2024-01-07,22,553,DC001,1,22,1,17,26,20,-2,10.0,v2.4
342,2024-01-07,22,723,DC015,1,21,1,16,25,17,-4,23.53,v3.0
