plan_id,store_id,item_id,category_id,department,effective_date,end_date,aisle,shelf_number,shelf_position,facing_count,shelf_capacity,min_display_qty,is_key_item,is_seasonal_slot,planogram_version
47,1,538,6,Pharmacy,2024-07-01,2024-12-31,A14,2,20,4,40,5,False,False,v3
48,1,42,1,Grocery,2024-01-01,2024-12-31,A13,2,18,4,13,9,False,False,v1
49,1,454,5,Sporting Goods,2024-07-01,2024-12-31,A24,1,19,3,29,3,False,False,v4
50,1,996,10,Office Supplies,2024-01-01,2024-12-31,A29,2,1,4,33,4,False,False,v5
51,1,714,8,Toys,2024-04-01,2024-12-31,A19,6,16,1,24,7,False,False,v4
52,1,35,1,Grocery,2024-10-01,2024-12-31,A05,3,8,2,13,7,False,False,v2
53,1,640,7,Automotive,2024-04-01,2024-12-31,A01,4,13,2,17,2,False,False,v5
54,1,36,1,Grocery,2024-10-01,2024-12-31,A08,1,7,4,12,12,False,False,v3
55,1,149,2,Electronics,2024-04-01,2024-12-31,A24,3,11,3,37,5,False,False,v3
56,1,456,5,Sporting Goods,2024-07-01,2024-12-31,A16,6,16,3,32,12,False,False,v4
57,1,886,9,Health & Beauty,2024-10-01,2024-12-31,A16,6,1,3,32,4,False,False,v4
58,1,678,7,Automotive,2024-07-01,2024-12-31,A25,2,11,4,7,2,False,True,v1
59,1,487,5,Sporting Goods,2024-07-01,2024-12-31,A05,4,7,3,29,5,False,False,v5
60,1,686,7,Automotive,2024-04-01,2024-12-31,A17,3,4,3,30,11,False,False,v5
61,1,308,4,Home & Garden,2024-04-01,2024-12-31,A26,5,20,4,16,5,True,False,v3
62,1,239,3,Apparel,2024-07-01,2024-12-31,A30,6,15,2,24,7,False,False,v2
63,1,396,4,Home & Garden,2024-01-01,2024-12-31,A23,6,19,4,24,6,True,False,v2
64,1,735,8,Toys,2024-07-01,2024-12-31,A18,4,17,3,39,2,True,False,v5
65,1,823,9,Health & Beauty,2024-01-01,2024-12-31,A18,4,13,4,16,4,False,False,v5
66,1,813,9,Health & Beauty,2024-01-01,2024-12-31,A08,4,3,4,45,8,False,False,v5
67,1,465,5,Sporting Goods,2024-07-01,2024-12-31,A03,6,8,1,43,10,True,False,v4
68,1,817,9,Health & Beauty,2024-07-01,2024-12-31,A13,3,5,3,9,7,False,False,v3
69,1,529,6,Pharmacy,2024-10-01,2024-12-31,A01,5,2,2,26,2,False,False,v2
70,1,18,1,Grocery,2024-07-01,2024-12-31,A18,5,11,4,38,12,False,False,v5
71,1,710,8,Toys,2024-10-01,2024-12-31,A01,5,17,1,30,8,False,True,v2
72,1,371,4,Home & Garden,2024-07-01,2024-12-31,A24,1,13,4,29,8,False,False,v5
73,1,242,3,Apparel,2024-04-01,2024-12-31,A08,1,8,1,33,3,False,False,v1
74,1,965,10,Office Supplies,2024-07-01,2024-12-31,A09,5,16,3,22,11,False,False,v4
75,1,458,5,Sporting Goods,2024-10-01,2024-12-31,A17,3,5,3,9,7,False,False,v2
76,1,66,1,Grocery,2024-01-01,2024-12-31,A21,5,12,1,9,6,True,False,v4
77,1,192,2,Electronics,2024-07-01,2024-12-31,A04,4,20,1,6,8,False,True,v3
78,1,839,9,Health & Beauty,2024-10-01,2024-12-31,A08,2,11,1,8,7,False,False,v4
79,1,332,4,Home & Garden,2024-01-01,2024-12-31,A28,6,13,1,21,11,True,False,v3
80,1,639,7,Automotive,2024-01-01,2024-12-31,A03,1,2,2,14,3,False,True,v3
81,1,256,3,Apparel,2024-10-01,2024-12-31,A17,6,18,3,40,5,False,False,v5
82,1,743,8,Toys,2024-10-01,2024-12-31,A16,3,20,1,8,5,False,False,v2
83,1,757,8,Toys,2024-04-01,2024-12-31,A04,1,18,3,33,12,False,False,v2
84,1,758,8,Toys,2024-04-01,2024-12-31,A24,1,12,4,36,12,False,False,v2
85,1,952,10,Office Supplies,2024-10-01,2024-12-31,A23,5,5,1,16,12,False,True,v4
86,1,993,10,Office Supplies,2024-07-01,2024-12-31,A01,2,11,4,45,7,False,False,v3
87,1,464,5,Sporting Goods,2024-07-01,2024-12-31,A01,6,19,3,36,4,False,False,v2
88,1,844,9,Health & Beauty,2024-04-01,2024-12-31,A25,2,4,3,40,11,False,False,v2
89,1,574,6,Pharmacy,2024-01-01,2024-12-31,A22,1,7,1,9,12,False,False,v1
90,1,528,6,Pharmacy,2024-07-01,2024-12-31,A14,1,2,2,25,5,False,False,v2
91,1,655,7,Automotive,2024-01-01,2024-12-31,A26,4,13,3,37,5,False,True,v4
92,1,190,2,Electronics,2024-04-01,2024-12-31,A19,6,10,3,27,5,False,False,v1
93,1,518,6,Pharmacy,2024-01-01,2024-12-31,A17,3,20,1,9,2,False,False,v2
94,1,957,10,Office Supplies,2024-10-01,2024-12-31,A08,3,4,3,29,7,True,False,v3
95,1,415,5,Sporting Goods,2024-07-01,2024-12-31,A15,5,14,3,31,8,False,False,v3
96,1,672,7,Automotive,2024-04-01,2024-12-31,A05,4,5,4,26,7,False,False,v1
97,1,560,6,Pharmacy,2024-07-01,2024-12-31,A23,5,9,1,20,5,False,False,v3
98,1,594,6,Pharmacy,2024-04-01,2024-12-31,A08,5,19,4,46,5,False,False,v1
99,1,259,3,Apparel,2024-10-01,2024-12-31,A06,5,9,1,43,7,False,False,v3
100,1,155,2,Electronics,2024-04-01,2024-12-31,A24,1,15,2,35,2,False,False,v4
101,1,336,4,Home & Garden,2024-04-01,2024-12-31,A11,3,13,2,44,6,True,False,v4
102,1,14,1,Grocery,2024-07-01,2024-12-31,A16,2,1,1,8,7,False,False,v1
103,1,912,10,Office Supplies,2024-07-01,2024-12-31,A24,3,2,3,8,2,False,False,v2
104,1,157,2,Electronics,2024-04-01,2024-12-31,A10,5,19,3,19,6,False,False,v1
105,1,429,5,Sporting Goods,2024-10-01,2024-12-31,A01,4,14,3,8,5,False,False,v4
106,1,825,9,Health & Beauty,2024-10-01,2024-12-31,A14,5,1,2,37,10,True,False,v3
107,1,268,3,Apparel,2024-01-01,2024-12-31,A19,2,3,4,26,9,False,False,v4
108,1,539,6,Pharmacy,2024-10-01,2024-12-31,A30,1,8,2,39,10,False,False,v3
109,1,237,3,Apparel,2024-07-01,2024-12-31,A10,1,20,3,35,7,False,False,v4
110,1,945,10,Office Supplies,2024-01-01,2024-12-31,A21,2,2,4,26,3,False,False,v5
111,1,480,5,Sporting Goods,2024-07-01,2024-12-31,A08,4,2,3,34,2,False,False,v4
112,1,786,8,Toys,2024-04-01,2024-12-31,A29,1,13,1,6,8,False,False,v3
113,1,951,10,Office Supplies,2024-01-01,2024-12-31,A17,3,4,1,30,11,False,False,v4
114,1,60,1,Grocery,2024-01-01,2024-12-31,A10,2,5,4,7,10,False,False,v2
115,1,869,9,Health & Beauty,2024-10-01,2024-12-31,A30,3,4,3,19,3,False,False,v5
116,1,176,2,Electronics,2024-07-01,2024-12-31,A26,3,8,2,32,2,False,False,v1
117,1,712,8,Toys,2024-01-01,2024-12-31,A09,2,10,2,46,11,False,True,v2
118,1,450,5,Sporting Goods,2024-10-01,2024-12-31,A25,5,10,1,24,6,False,True,v5
119,1,121,2,Electronics,2024-07-01,2024-12-31,A21,4,18,1,38,11,False,False,v2
120,1,795,8,Toys,2024-04-01,2024-12-31,A26,2,20,2,13,7,False,False,v4
121,1,181,2,Electronics,2024-01-01,2024-12-31,A23,1,19,2,33,6,False,False,v1
122,1,312,4,Home & Garden,2024-10-01,2024-12-31,A02,5,10,3,44,2,False,False,v4
123,1,4,1,Grocery,2024-01-01,2024-12-31,A09,1,12,1,23,8,False,False,v4
124,1,195,2,Electronics,2024-04-01,2024-12-31,A12,3,11,3,44,12,False,False,v4
125,1,438,5,Sporting Goods,2024-07-01,2024-12-31,A30,1,16,3,45,12,False,False,v1
126,1,684,7,Automotive,2024-04-01,2024-12-31,A15,4,13,4,43,11,False,False,v4
127,1,800,8,Toys,2024-10-01,2024-12-31,A09,6,4,2,8,6,False,False,v1
128,1,747,8,Toys,2024-04-01,2024-12-31,A01,5,16,3,47,8,True,False,v2
129,1,626,7,Automotive,2024-04-01,2024-12-31,A24,3,9,1,15,5,False,False,v5
130,1,693,7,Automotive,2024-04-01,2024-12-31,A30,6,18,3,20,2,False,False,v3
131,1,552,6,Pharmacy,2024-10-01,2024-12-31,A28,6,2,3,41,10,False,False,v5
132,1,249,3,Apparel,2024-04-01,2024-12-31,A26,1,6,3,41,3,False,False,v5
133,1,660,7,Automotive,2024-10-01,2024-12-31,A27,6,20,4,45,6,False,False,v2
134,1,3,1,Grocery,2024-10-01,2024-12-31,A04,4,17,4,20,6,False,True,v3
135,1,998,10,Office Supplies,2024-07-01,2024-12-31,A19,3,6,4,46,8,False,False,v5
136,1,861,9,Health & Beauty,2024-07-01,2024-12-31,A06,5,9,4,7,9,False,False,v5
137,1,777,8,Toys,2024-10-01,2024-12-31,A06,3,1,4,13,3,False,False,v2
138,1,858,9,Health & Beauty,2024-10-01,2024-12-31,A02,4,7,3,26,3,False,False,v2
139,1,359,4,Home & Garden,2024-04-01,2024-12-31,A04,2,14,2,26,9,False,False,v2
140,1,770,8,Toys,2024-10-01,2024-12-31,A19,1,5,4,8,10,False,False,v3
141,1,74,1,Grocery,2024-07-01,2024-12-31,A09,5,5,4,30,11,False,False,v4
142,1,118,2,Electronics,2024-10-01,2024-12-31,A09,3,5,4,45,12,True,True,v3
143,1,939,10,Office Supplies,2024-10-01,2024-12-31,A18,5,5,1,12,7,False,False,v4
144,1,536,6,Pharmacy,2024-01-01,2024-12-31,A08,2,3,2,18,9,True,False,v4
145,1,112,2,Electronics,2024-07-01,2024-12-31,A28,3,14,1,34,11,False,False,v3
146,1,510,6,Pharmacy,2024-10-01,2024-12-31,A17,6,3,4,27,12,False,False,v1
147,1,513,6,Pharmacy,2024-10-01,2024-12-31,A25,6,5,2,22,6,True,False,v5
148,1,917,10,Office Supplies,2024-01-01,2024-12-31,A07,1,13,3,40,7,False,False,v5
149,1,556,6,Pharmacy,2024-04-01,2024-12-31,A05,2,5,1,20,8,False,False,v3
150,1,553,6,Pharmacy,2024-10-01,2024-12-31,A17,4,4,3,43,3,False,False,v1
151,1,355,4,Home & Garden,2024-01-01,2024-12-31,A09,6,14,1,44,11,True,False,v4
152,1,971,10,Office Supplies,2024-10-01,2024-12-31,A25,4,6,2,6,5,False,False,v4
153,1,9,1,Grocery,2024-07-01,2024-12-31,A28,2,6,3,13,9,False,False,v4
154,1,582,6,Pharmacy,2024-04-01,2024-12-31,A28,2,14,3,36,6,True,False,v1
155,1,57,1,Grocery,2024-10-01,2024-12-31,A28,5,17,1,30,11,False,False,v5
156,1,577,6,Pharmacy,2024-07-01,2024-12-31,A27,4,16,4,31,12,False,False,v3
157,1,706,8,Toys,2024-10-01,2024-12-31,A05,4,20,1,13,3,False,False,v3
158,1,652,7,Automotive,2024-01-01,2024-12-31,A28,6,6,3,40,3,False,False,v1
159,1,85,1,Grocery,2024-10-01,2024-12-31,A20,4,5,2,48,3,False,False,v2
160,1,229,3,Apparel,2024-01-01,2024-12-31,A12,1,5,4,17,12,True,False,v4
161,1,160,2,Electronics,2024-07-01,2024-12-31,A18,4,5,1,40,9,False,False,v5
162,1,206,3,Apparel,2024-01-01,2024-12-31,A03,2,17,4,26,5,False,False,v3
163,1,126,2,Electronics,2024-07-01,2024-12-31,A17,1,7,2,46,6,True,False,v3
164,1,689,7,Automotive,2024-07-01,2024-12-31,A12,5,6,4,18,11,False,True,v1
165,1,888,9,Health & Beauty,2024-10-01,2024-12-31,A03,2,7,3,27,10,False,False,v3
166,1,474,5,Sporting Goods,2024-01-01,2024-12-31,A25,1,5,2,41,7,False,False,v3
167,1,245,3,Apparel,2024-01-01,2024-12-31,A21,4,19,3,48,4,False,False,v2
168,1,598,6,Pharmacy,2024-01-01,2024-12-31,A13,4,3,2,11,4,False,False,v3
169,1,798,8,Toys,2024-04-01,2024-12-31,A25,3,16,4,14,10,False,False,v5
170,1,196,2,Electronics,2024-04-01,2024-12-31,A23,5,15,2,33,8,False,False,v2
171,1,203,3,Apparel,2024-10-01,2024-12-31,A23,5,9,2,11,9,True,True,v1
172,1,82,1,Grocery,2024-01-01,2024-12-31,A20,4,3,1,37,12,True,False,v3
173,1,485,5,Sporting Goods,2024-07-01,2024-12-31,A18,3,19,4,47,4,False,False,v4
174,1,444,5,Sporting Goods,2024-10-01,2024-12-31,A02,5,7,1,43,2,False,False,v5
175,1,579,6,Pharmacy,2024-10-01,2024-12-31,A28,3,3,1,46,5,False,False,v3
176,1,202,3,Apparel,2024-01-01,2024-12-31,A11,6,5,1,44,5,False,False,v1
177,1,187,2,Electronics,2024-01-01,2024-12-31,A04,3,12,3,34,7,False,False,v3
178,1,517,6,Pharmacy,2024-01-01,2024-12-31,A03,3,4,3,21,2,False,True,v1
179,1,822,9,Health & Beauty,2024-07-01,2024-12-31,A29,3,9,2,43,2,True,True,v4
180,1,968,10,Office Supplies,2024-04-01,2024-12-31,A25,5,1,3,35,2,False,False,v4
181,1,217,3,Apparel,2024-07-01,2024-12-31,A07,4,4,4,17,12,False,False,v1
182,1,51,1,Grocery,2024-07-01,2024-12-31,A05,3,11,1,41,2,False,False,v1
183,1,784,8,Toys,2024-10-01,2024-12-31,A15,2,17,4,37,11,False,False,v5
184,1,673,7,Automotive,2024-07-01,2024-12-31,A23,4,2,2,8,6,True,False,v3
185,1,532,6,Pharmacy,2024-10-01,2024-12-31,A17,2,6,4,25,5,False,False,v4
186,1,315,4,Home & Garden,2024-01-01,2024-12-31,A03,3,19,3,12,10,True,False,v1
187,1,201,3,Apparel,2024-04-01,2024-12-31,A02,1,15,3,6,8,False,True,v1
188,1,224,3,Apparel,2024-01-01,2024-12-31,A30,3,20,3,39,7,False,False,v4
189,1,588,6,Pharmacy,2024-04-01,2024-12-31,A22,3,5,2,37,10,False,False,v5
190,1,984,10,Office Supplies,2024-01-01,2024-12-31,A27,1,18,1,34,7,False,False,v5
191,1,700,7,Automotive,2024-10-01,2024-12-31,A09,5,9,4,47,5,False,False,v2
192,1,827,9,Health & Beauty,2024-01-01,2024-12-31,A01,5,13,3,43,4,False,False,v5
193,1,234,3,Apparel,2024-07-01,2024-12-31,A29,4,18,4,21,11,False,False,v4
194,1,585,6,Pharmacy,2024-04-01,2024-12-31,A18,5,6,1,29,10,False,False,v3
195,1,975,10,Office Supplies,2024-10-01,2024-12-31,A07,6,3,2,7,6,False,False,v5
196,1,431,5,Sporting Goods,2024-07-01,2024-12-31,A23,2,19,1,47,6,False,False,v2
197,1,875,9,Health & Beauty,2024-01-01,2024-12-31,A08,1,15,4,12,5,False,True,v1
198,1,551,6,Pharmacy,2024-01-01,2024-12-31,A10,3,10,3,35,9,False,False,v2
199,1,609,7,Automotive,2024-01-01,2024-12-31,A08,4,19,2,14,4,False,False,v2
200,1,208,3,Apparel,2024-07-01,2024-12-31,A20,2,2,2,13,7,False,False,v3
201,1,383,4,Home & Garden,2024-04-01,2024-12-31,A01,3,1,3,38,5,False,True,v5
202,1,995,10,Office Supplies,2024-10-01,2024-12-31,A30,4,17,3,29,3,False,True,v5
203,1,983,10,Office Supplies,2024-10-01,2024-12-31,A09,1,12,1,21,6,True,False,v3
204,1,48,1,Grocery,2024-04-01,2024-12-31,A14,2,15,2,24,2,True,False,v1
205,1,522,6,Pharmacy,2024-07-01,2024-12-31,A12,5,5,2,15,9,True,False,v1
206,1,637,7,Automotive,2024-10-01,2024-12-31,A03,1,17,3,9,3,False,False,v3
207,1,20,1,Grocery,2024-04-01,2024-12-31,A05,6,18,1,19,7,True,False,v3
208,1,367,4,Home & Garden,2024-01-01,2024-12-31,A03,4,7,2,40,5,False,False,v3
209,1,341,4,Home & Garden,2024-10-01,2024-12-31,A14,6,18,1,35,5,False,False,v5
210,1,953,10,Office Supplies,2024-10-01,2024-12-31,A12,2,4,4,46,10,False,False,v5
211,1,676,7,Automotive,2024-04-01,2024-12-31,A30,3,11,1,28,9,False,False,v1
212,1,307,4,Home & Garden,2024-04-01,2024-12-31,A28,5,6,2,47,2,False,False,v4
213,1,836,9,Health & Beauty,2024-04-01,2024-12-31,A15,2,17,3,18,9,False,False,v3
214,1,430,5,Sporting Goods,2024-07-01,2024-12-31,A24,3,4,1,30,2,False,False,v5
215,1,824,9,Health & Beauty,2024-04-01,2024-12-31,A11,4,6,4,40,11,True,True,v2
216,1,305,4,Home & Garden,2024-01-01,2024-12-31,A10,3,16,4,26,6,True,False,v5
217,1,356,4,Home & Garden,2024-07-01,2024-12-31,A09,4,1,3,42,4,True,False,v3
218,1,178,2,Electronics,2024-01-01,2024-12-31,A22,2,12,2,24,8,False,False,v3
219,1,946,10,Office Supplies,2024-01-01,2024-12-31,A19,3,16,1,16,9,True,False,v5
220,1,61,1,Grocery,2024-10-01,2024-12-31,A10,1,3,4,14,6,False,False,v4
221,1,310,4,Home & Garden,2024-04-01,2024-12-31,A03,1,8,4,12,8,True,False,v4
222,1,893,9,Health & Beauty,2024-10-01,2024-12-31,A22,4,7,4,34,4,True,False,v2
223,1,302,4,Home & Garden,2024-10-01,2024-12-31,A15,2,15,3,26,10,False,False,v1
224,1,921,10,Office Supplies,2024-10-01,2024-12-31,A25,6,18,3,9,4,False,False,v1
225,1,595,6,Pharmacy,2024-10-01,2024-12-31,A08,4,10,1,15,2,False,False,v4
226,1,762,8,Toys,2024-07-01,2024-12-31,A27,6,16,4,14,8,False,True,v3
227,1,108,2,Electronics,2024-04-01,2024-12-31,A26,6,3,3,45,12,False,False,v3
228,1,748,8,Toys,2024-04-01,2024-12-31,A26,4,8,2,27,8,False,False,v3
229,1,989,10,Office Supplies,2024-07-01,2024-12-31,A14,4,11,2,24,9,False,False,v1
230,1,807,9,Health & Beauty,2024-07-01,2024-12-31,A07,1,2,3,10,10,False,False,v1
231,1,100,1,Grocery,2024-10-01,2024-12-31,A21,4,13,3,42,7,True,False,v1
232,1,251,3,Apparel,2024-10-01,2024-12-31,A28,5,20,3,25,9,False,False,v3
233,1,834,9,Health & Beauty,2024-07-01,2024-12-31,A07,3,18,2,17,8,True,False,v1
234,1,475,5,Sporting Goods,2024-01-01,2024-12-31,A18,3,7,3,26,2,False,False,v4
235,1,704,8,Toys,2024-07-01,2024-12-31,A09,3,14,1,44,7,False,False,v5
236,1,942,10,Office Supplies,2024-04-01,2024-12-31,A27,1,19,4,27,8,False,False,v2
237,1,384,4,Home & Garden,2024-04-01,2024-12-31,A08,6,4,3,10,12,False,False,v1
238,1,681,7,Automotive,2024-01-01,2024-12-31,A24,3,16,1,42,7,True,False,v4
239,1,182,2,Electronics,2024-07-01,2024-12-31,A22,3,14,2,43,6,False,False,v1
240,1,13,1,Grocery,2024-07-01,2024-12-31,A23,1,4,1,41,5,False,False,v5
241,1,614,7,Automotive,2024-01-01,2024-12-31,A13,6,7,4,22,8,False,False,v3
242,1,86,1,Grocery,2024-04-01,2024-12-31,A22,4,16,1,12,11,False,False,v1
243,1,321,4,Home & Garden,2024-10-01,2024-12-31,A22,1,5,1,41,6,False,False,v3
244,1,650,7,Automotive,2024-01-01,2024-12-31,A02,5,4,1,28,6,False,False,v1
245,1,711,8,Toys,2024-07-01,2024-12-31,A15,1,11,2,46,5,False,False,v4
246,1,386,4,Home & Garden,2024-01-01,2024-12-31,A06,2,14,2,29,6,False,False,v2
247,1,891,9,Health & Beauty,2024-01-01,2024-12-31,A30,5,5,3,32,10,False,False,v2
248,1,440,5,Sporting Goods,2024-04-01,2024-12-31,A13,6,11,2,28,3,False,False,v2
249,1,136,2,Electronics,2024-01-01,2024-12-31,A08,4,14,2,20,2,False,False,v3
250,1,568,6,Pharmacy,2024-10-01,2024-12-31,A16,5,15,1,39,5,True,False,v5
251,1,299,3,Apparel,2024-01-01,2024-12-31,A17,6,4,4,18,2,False,False,v4
252,1,161,2,Electronics,2024-10-01,2024-12-31,A05,4,20,4,47,2,False,False,v4
253,1,269,3,Apparel,2024-04-01,2024-12-31,A24,3,18,3,24,2,False,False,v2
254,1,659,7,Automotive,2024-01-01,2024-12-31,A11,2,8,3,28,7,False,False,v4
255,1,997,10,Office Supplies,2024-10-01,2024-12-31,A25,3,2,1,13,5,False,False,v4
256,1,642,7,Automotive,2024-01-01,2024-12-31,A19,6,1,3,35,12,True,False,v1
257,1,907,10,Office Supplies,2024-07-01,2024-12-31,A22,3,12,3,22,3,True,True,v3
258,1,806,9,Health & Beauty,2024-10-01,2024-12-31,A28,4,7,3,16,4,False,False,v3
259,1,894,9,Health & Beauty,2024-01-01,2024-12-31,A30,1,16,1,22,12,True,False,v2
260,1,390,4,Home & Garden,2024-07-01,2024-12-31,A27,1,11,3,10,7,False,False,v2
261,1,122,2,Electronics,2024-04-01,2024-12-31,A27,5,7,3,25,5,False,False,v4
262,1,838,9,Health & Beauty,2024-07-01,2024-12-31,A18,3,2,1,27,10,False,False,v2
263,1,188,2,Electronics,2024-10-01,2024-12-31,A28,5,6,3,33,2,False,False,v1
264,1,17,1,Grocery,2024-04-01,2024-12-31,A30,4,18,2,46,8,False,False,v2
265,1,774,8,Toys,2024-04-01,2024-12-31,A15,5,7,1,27,8,False,False,v5
266,1,494,5,Sporting Goods,2024-10-01,2024-12-31,A08,2,16,2,35,8,True,False,v5
267,1,342,4,Home & Garden,2024-10-01,2024-12-31,A03,5,2,2,9,4,False,False,v4
268,1,427,5,Sporting Goods,2024-04-01,2024-12-31,A21,1,18,1,30,5,False,False,v5
269,1,468,5,Sporting Goods,2024-01-01,2024-12-31,A10,5,6,2,33,5,True,False,v3
270,1,107,2,Electronics,2024-04-01,2024-12-31,A09,1,6,2,22,12,False,False,v5
271,1,409,5,Sporting Goods,2024-10-01,2024-12-31,A14,4,11,1,47,7,False,False,v4
272,1,24,1,Grocery,2024-04-01,2024-12-31,A25,4,13,3,15,4,False,False,v5
273,1,832,9,Health & Beauty,2024-07-01,2024-12-31,A06,4,6,3,42,2,True,False,v5
274,1,70,1,Grocery,2024-01-01,2024-12-31,A13,3,9,4,35,3,True,False,v1
275,1,901,10,Office Supplies,2024-07-01,2024-12-31,A06,1,14,2,26,2,True,True,v3
276,1,677,7,Automotive,2024-10-01,2024-12-31,A20,4,12,1,28,7,False,False,v4
277,1,802,9,Health & Beauty,2024-04-01,2024-12-31,A08,1,6,1,33,3,False,False,v5
278,1,600,6,Pharmacy,2024-07-01,2024-12-31,A02,6,5,3,35,8,False,False,v4
279,1,644,7,Automotive,2024-10-01,2024-12-31,A24,4,16,2,11,8,False,False,v2
280,1,340,4,Home & Garden,2024-10-01,2024-12-31,A13,5,12,3,40,12,True,False,v2
281,1,702,8,Toys,2024-07-01,2024-12-31,A09,2,4,3,9,6,False,False,v5
282,1,874,9,Health & Beauty,2024-10-01,2024-12-31,A24,4,9,2,13,2,True,True,v2
283,1,75,1,Grocery,2024-10-01,2024-12-31,A23,4,18,3,12,5,False,False,v3
284,1,219,3,Apparel,2024-07-01,2024-12-31,A26,2,5,1,46,3,False,False,v2
285,1,526,6,Pharmacy,2024-10-01,2024-12-31,A18,1,4,2,30,7,False,False,v4
286,1,266,3,Apparel,2024-04-01,2024-12-31,A07,4,8,4,15,9,False,False,v5
287,1,892,9,Health & Beauty,2024-01-01,2024-12-31,A03,5,8,2,25,11,False,False,v3
