promo_id,fiscal_week,week_start_date,sku_id,brand_id,retailer_id,promo_type,planned_discount_pct,actual_discount_pct,planned_stores,compliant_stores,compliance_pct,volume_lift_factor,incremental_units,promo_spend_dollars,is_holiday_promo,occasion
32,7,2024-02-12,SK001,B01,R06,Feature + Display,9.0,8.0,2280,1529,67.1,1.64,442,52221.35,False,
33,16,2024-04-15,SK001,B01,R06,Feature + Display,20.0,19.0,2280,1263,55.4,1.79,255,379998.48,False,
34,3,2024-01-15,SK001,B01,R06,Feature + Display,9.0,9.0,2280,1222,53.6,1.36,1512,68604.52,False,
35,24,2024-06-10,SK001,B01,R06,Feature,27.0,24.0,2280,1552,68.1,1.28,699,359405.75,False,
36,14,2024-04-01,SK001,B01,R06,Feature + Display,32.0,33.0,2280,1178,51.7,1.68,255,535183.49,True,Easter
37,39,2024-09-23,SK001,B01,R06,Feature + Display,16.0,17.0,2280,1406,61.7,1.94,1442,140167.1,False,
38,17,2024-04-22,SK001,B01,R06,Feature + Display,19.0,16.0,2280,1523,66.8,1.47,289,222651.8,False,
39,23,2024-06-03,SK001,B01,R07,TPR,8.0,7.0,2000,1250,62.5,1.3,1216,135728.0,False,
40,39,2024-09-23,SK001,B01,R07,TPR,22.0,23.0,2000,1092,54.6,1.02,73,316166.4,False,
41,1,2024-01-01,SK001,B01,R07,Feature + Display,27.0,23.0,2000,1056,52.8,1.82,1917,156286.8,False,
42,52,2024-12-23,SK001,B01,R07,TPR + Feature,28.0,28.0,2000,1404,70.2,1.42,309,380038.4,True,New Year's Eve
43,31,2024-07-29,SK001,B01,R07,TPR,22.0,22.0,2000,1390,69.5,1.13,98,371056.4,False,
44,22,2024-05-27,SK001,B01,R08,TPR,19.0,16.0,340,229,67.5,1.07,800,44484.85,True,Memorial Day
45,5,2024-01-29,SK001,B01,R08,Feature + Display,26.0,25.0,340,200,58.9,1.8,885,63079.59,False,
46,21,2024-05-20,SK001,B01,R08,Feature + Display,15.0,16.0,340,230,67.7,1.46,903,37919.01,False,
47,17,2024-04-22,SK001,B01,R08,TPR,31.0,30.0,340,222,65.4,1.03,416,11044.87,False,
48,27,2024-07-01,SK001,B01,R08,Feature + Display,13.0,13.0,340,213,62.9,1.74,24,20291.34,True,July 4th
49,28,2024-07-08,SK001,B01,R08,Feature,21.0,19.0,340,210,61.8,1.32,919,20308.3,False,
50,16,2024-04-15,SK001,B01,R08,TPR,25.0,23.0,340,219,64.5,1.26,450,21631.65,False,
51,45,2024-11-04,SK001,B01,R08,Display,12.0,10.0,340,245,72.3,1.43,634,40514.81,False,
52,48,2024-11-25,SK001,B01,R09,Feature,15.0,14.0,19000,13566,71.4,1.19,469,625746.0,True,Black Friday
53,22,2024-05-27,SK001,B01,R09,TPR,12.0,11.0,19000,13604,71.6,1.38,781,1410772.8,True,Memorial Day
54,46,2024-11-11,SK001,B01,R09,Feature,25.0,24.0,19000,11590,61.0,1.17,660,3555375.0,False,
55,35,2024-08-26,SK001,B01,R09,TPR,16.0,14.0,19000,12654,66.6,1.26,519,2063065.6,True,Back to School
56,27,2024-07-01,SK001,B01,R09,Feature,19.0,18.0,19000,13034,68.6,1.54,103,2828182.3,True,July 4th
57,35,2024-08-26,SK001,B01,R10,TPR + Feature,16.0,15.0,500,337,67.4,1.42,480,15568.8,True,Back to School
58,26,2024-06-24,SK001,B01,R10,Feature + Display,12.0,13.0,500,347,69.5,1.64,632,45508.8,False,
59,51,2024-12-16,SK001,B01,R10,TPR + Feature,26.0,23.0,500,362,72.4,1.25,375,48652.5,False,
60,10,2024-03-04,SK001,B01,R10,Feature,29.0,25.0,500,351,70.2,1.49,360,56436.9,False,
61,43,2024-10-21,SK001,B01,R10,Display,17.0,15.0,500,297,59.4,1.52,224,48777.25,False,
62,5,2024-01-29,SK001,B01,R10,Display,24.0,25.0,500,333,66.7,1.52,418,114969.6,False,
63,21,2024-05-20,SK001,B01,R10,Display,27.0,27.0,500,377,75.5,1.06,182,41766.3,False,
64,38,2024-09-16,SK001,B01,R10,Feature + Display,19.0,16.0,500,338,67.7,1.79,773,50723.35,False,
65,2,2024-01-08,SK001,B01,R10,Feature + Display,31.0,29.0,500,356,71.3,1.88,214,31711.45,False,
66,25,2024-06-17,SK001,B01,R10,TPR,21.0,22.0,500,305,61.0,1.17,511,96406.8,False,
67,39,2024-09-23,SK002,B01,R01,TPR + Feature,30.0,31.0,4600,2589,56.3,1.62,5213,485801.4,False,
68,28,2024-07-08,SK002,B01,R01,Display,23.0,21.0,4600,3063,66.6,1.39,1819,236695.76,False,
69,4,2024-01-22,SK002,B01,R01,TPR + Feature,12.0,10.0,4600,2916,63.4,1.8,1067,168895.44,True,Super Bowl
70,44,2024-10-28,SK002,B01,R01,Display,16.0,15.0,4600,3105,67.5,1.38,6359,472180.8,True,Halloween
71,27,2024-07-01,SK002,B01,R01,Feature,29.0,28.0,4600,2778,60.4,1.54,2234,245776.16,True,July 4th
72,14,2024-04-01,SK002,B01,R01,TPR + Feature,19.0,19.0,4600,2796,60.8,1.3,2718,57509.2,True,Easter
73,18,2024-04-29,SK002,B01,R01,Feature,23.0,20.0,4600,2764,60.1,1.66,2498,668317.44,True,Cinco de Mayo
74,5,2024-01-29,SK002,B01,R01,TPR,16.0,16.0,4600,3077,66.9,1.43,3656,280887.04,False,
75,24,2024-06-10,SK002,B01,R02,TPR,18.0,18.0,2800,1752,62.6,1.4,4491,132652.8,False,
76,26,2024-06-24,SK002,B01,R02,TPR + Feature,31.0,32.0,2800,2041,72.9,1.47,1862,168487.48,False,
77,34,2024-08-19,SK002,B01,R02,TPR + Feature,24.0,24.0,2800,1948,69.6,1.3,3626,269727.36,False,
78,38,2024-09-16,SK002,B01,R02,Feature,12.0,12.0,2800,1943,69.4,1.5,2093,138180.0,False,
79,28,2024-07-08,SK002,B01,R02,TPR,25.0,24.0,2800,1792,64.0,1.05,1165,428358.0,False,
80,45,2024-11-04,SK002,B01,R03,TPR,29.0,29.0,1900,1335,70.3,1.15,334,360745.21,False,
81,21,2024-05-20,SK002,B01,R03,TPR,12.0,12.0,1900,1033,54.4,1.04,2107,142522.8,False,
82,2,2024-01-08,SK002,B01,R03,Feature,28.0,28.0,1900,1157,60.9,1.19,2163,281795.08,False,
83,38,2024-09-16,SK002,B01,R03,Feature + Display,28.0,29.0,1900,1238,65.2,1.92,3644,323801.8,False,
84,51,2024-12-16,SK002,B01,R03,TPR,10.0,10.0,1900,1164,61.3,1.08,1732,20628.3,False,
85,33,2024-08-12,SK002,B01,R03,TPR,14.0,14.0,1900,1122,59.1,1.18,890,131271.0,False,
86,4,2024-01-22,SK002,B01,R03,Feature + Display,27.0,24.0,1900,1407,74.1,1.34,2869,195781.32,True,Super Bowl
87,19,2024-05-06,SK002,B01,R03,TPR + Feature,15.0,13.0,1900,1225,64.5,1.67,2261,75949.65,False,
88,41,2024-10-07,SK002,B01,R03,Feature + Display,19.0,17.0,1900,1210,63.7,1.88,286,161525.84,False,
89,48,2024-11-25,SK002,B01,R03,TPR,26.0,27.0,1900,1356,71.4,1.03,1587,321801.48,True,Black Friday
90,27,2024-07-01,SK002,B01,R03,Feature,30.0,26.0,1900,1210,63.7,1.17,1218,255040.8,True,July 4th
91,47,2024-11-18,SK002,B01,R03,Display,31.0,30.0,1900,1540,81.1,1.06,1612,342992.37,True,Thanksgiving
92,1,2024-01-01,SK002,B01,R03,TPR,25.0,23.0,1900,1255,66.1,1.05,894,151586.75,False,
93,35,2024-08-26,SK002,B01,R04,TPR,27.0,26.0,575,313,54.6,1.08,1579,90406.73,True,Back to School
94,43,2024-10-21,SK002,B01,R04,Display,11.0,10.0,575,424,73.9,1.38,1093,25179.19,False,
95,16,2024-04-15,SK002,B01,R04,TPR + Feature,13.0,11.0,575,382,66.6,1.84,403,19920.13,False,
96,27,2024-07-01,SK002,B01,R04,Display,29.0,26.0,575,498,86.7,1.5,760,77902.26,True,July 4th
97,2,2024-01-08,SK002,B01,R04,TPR,20.0,20.0,575,370,64.5,1.37,2020,53347.35,False,
98,20,2024-05-13,SK002,B01,R04,Feature + Display,21.0,22.0,575,362,63.1,1.38,571,30986.86,False,
99,21,2024-05-20,SK002,B01,R05,Display,20.0,21.0,1330,828,62.3,1.23,125,70886.34,False,
100,13,2024-03-25,SK002,B01,R05,Display,29.0,30.0,1330,867,65.2,1.39,1360,204301.43,False,
101,11,2024-03-11,SK002,B01,R05,Display,25.0,22.0,1330,933,70.2,1.09,35,48132.7,False,
102,4,2024-01-22,SK002,B01,R05,Feature,31.0,32.0,1330,816,61.4,1.24,318,233312.32,True,Super Bowl
103,18,2024-04-29,SK002,B01,R05,TPR + Feature,12.0,11.0,1330,710,53.4,1.75,2330,60384.66,True,Cinco de Mayo
104,35,2024-08-26,SK002,B01,R06,Feature,27.0,26.0,2280,1593,69.9,1.51,1366,174177.86,True,Back to School
105,42,2024-10-14,SK002,B01,R06,Feature + Display,15.0,15.0,2280,1404,61.6,1.33,1671,154149.66,False,
106,52,2024-12-23,SK002,B01,R06,Display,19.0,18.0,2280,1454,63.8,1.1,1110,139672.34,True,New Year's Eve
107,22,2024-05-27,SK002,B01,R06,Feature + Display,20.0,21.0,2280,1411,61.9,1.54,1549,60009.6,True,Memorial Day
108,45,2024-11-04,SK002,B01,R06,Feature,19.0,17.0,2280,1561,68.5,1.21,1192,168176.9,False,
109,49,2024-12-02,SK002,B01,R06,Feature,16.0,14.0,2280,1698,74.5,1.61,845,210033.6,False,
110,46,2024-11-11,SK002,B01,R06,Display,31.0,28.0,2280,1554,68.2,1.44,1604,262767.04,False,
111,44,2024-10-28,SK002,B01,R06,TPR,29.0,29.0,2280,1475,64.7,1.19,94,317600.81,True,Halloween
112,8,2024-02-19,SK002,B01,R07,TPR,15.0,15.0,2000,1310,65.5,1.31,436,140154.0,False,
113,46,2024-11-11,SK002,B01,R07,Feature,20.0,21.0,2000,1364,68.2,1.53,188,255304.0,False,
114,15,2024-04-08,SK002,B01,R07,Feature,11.0,10.0,2000,1592,79.6,1.65,1827,77446.6,False,
115,37,2024-09-09,SK002,B01,R07,Display,13.0,11.0,2000,1146,57.3,1.15,331,95804.8,True,Labor Day
116,2,2024-01-08,SK002,B01,R07,Feature + Display,29.0,26.0,2000,1588,79.4,1.67,1646,238525.0,False,
117,43,2024-10-21,SK002,B01,R07,TPR,31.0,28.0,2000,1414,70.7,1.28,592,283532.2,False,
118,52,2024-12-23,SK002,B01,R07,Feature + Display,25.0,22.0,2000,1136,56.8,1.91,297,253330.0,True,New Year's Eve
119,49,2024-12-02,SK002,B01,R07,Feature,28.0,25.0,2000,1162,58.1,1.34,588,77380.8,False,
120,47,2024-11-18,SK002,B01,R07,Display,32.0,32.0,2000,1294,64.7,1.06,1057,82118.4,True,Thanksgiving
121,1,2024-01-01,SK002,B01,R07,Display,16.0,15.0,2000,1480,74.0,1.23,346,96857.6,False,
122,40,2024-09-30,SK002,B01,R07,Feature,23.0,21.0,2000,1154,57.7,1.59,610,202795.6,False,
123,32,2024-08-05,SK002,B01,R08,Feature,16.0,15.0,340,200,59.1,1.56,343,20224.29,False,
124,28,2024-07-08,SK002,B01,R08,TPR,10.0,9.0,340,211,62.3,1.17,867,13311.34,False,
125,33,2024-08-12,SK002,B01,R08,Feature,29.0,25.0,340,218,64.2,1.19,290,38602.89,False,
126,48,2024-11-25,SK002,B01,R08,Feature + Display,26.0,27.0,340,223,65.7,1.56,405,35191.16,True,Black Friday
127,26,2024-06-24,SK002,B01,R09,TPR + Feature,30.0,26.0,19000,12730,67.0,1.69,537,2831703.0,False,
128,37,2024-09-09,SK002,B01,R09,TPR,18.0,18.0,19000,11571,60.9,1.33,682,1012662.0,True,Labor Day
129,7,2024-02-12,SK002,B01,R09,TPR + Feature,15.0,14.0,19000,10545,55.5,1.52,356,1172062.5,False,
130,29,2024-07-15,SK002,B01,R09,TPR,16.0,15.0,19000,13642,71.8,1.05,538,1770283.2,False,
131,35,2024-08-26,SK002,B01,R09,TPR,22.0,22.0,19000,10146,53.4,1.24,841,2612918.0,True,Back to School
132,5,2024-01-29,SK002,B01,R09,TPR,20.0,20.0,19000,12160,64.0,1.05,393,1400224.0,False,
133,43,2024-10-21,SK002,B01,R09,Feature + Display,25.0,23.0,19000,11647,61.3,1.91,1199,781375.0,False,
134,44,2024-10-28,SK002,B01,R09,Display,22.0,19.0,19000,12502,65.8,1.07,347,2282865.2,True,Halloween
135,28,2024-07-08,SK002,B01,R09,TPR,16.0,16.0,19000,11609,61.1,1.39,926,470075.2,False,
136,48,2024-11-25,SK002,B01,R10,TPR,28.0,27.0,500,322,64.6,1.04,354,25333.0,True,Black Friday
137,9,2024-02-26,SK002,B01,R10,TPR,23.0,24.0,500,288,57.7,1.26,235,59022.6,True,Valentine's Day
138,37,2024-09-09,SK002,B01,R10,Feature + Display,10.0,10.0,500,338,67.7,1.32,6,11350.5,True,Labor Day
139,34,2024-08-19,SK002,B01,R10,TPR + Feature,21.0,20.0,500,340,68.1,1.36,182,56308.35,False,
140,22,2024-05-27,SK002,B01,R10,Feature + Display,16.0,14.0,500,335,67.1,1.86,285,11844.0,True,Memorial Day
141,27,2024-07-01,SK002,B01,R10,TPR,10.0,10.0,500,302,60.5,1.43,626,24346.0,True,July 4th
142,15,2024-04-08,SK002,B01,R10,Feature + Display,26.0,25.0,500,315,63.1,1.68,772,73136.7,False,
143,28,2024-07-08,SK002,B01,R10,TPR,31.0,27.0,500,314,62.8,1.41,484,46915.4,False,
144,35,2024-08-26,SK002,B01,R10,TPR,14.0,14.0,500,239,47.9,1.26,214,11054.4,True,Back to School
145,19,2024-05-06,SK002,B01,R10,Feature + Display,29.0,28.0,500,377,75.5,1.83,761,52475.5,False,
146,38,2024-09-16,SK003,B01,R01,Feature,10.0,10.0,4600,2934,63.8,1.43,5250,53833.8,False,
147,9,2024-02-26,SK003,B01,R01,TPR,9.0,9.0,4600,3224,70.1,1.49,6405,164937.6,True,Valentine's Day
148,39,2024-09-23,SK003,B01,R01,Display,18.0,17.0,4600,3077,66.9,1.13,1766,408220.56,False,
149,6,2024-02-05,SK003,B01,R01,Feature,8.0,8.0,4600,2470,53.7,1.24,4214,32071.2,False,
150,51,2024-12-16,SK003,B01,R01,TPR + Feature,13.0,13.0,4600,3261,70.9,1.5,1779,257600.46,False,
151,26,2024-06-24,SK003,B01,R01,Display,28.0,26.0,4600,2852,62.0,1.4,4879,333540.48,False,
152,17,2024-04-22,SK003,B01,R01,TPR + Feature,24.0,25.0,4600,2622,57.0,1.84,8257,277644.96,False,
153,43,2024-10-21,SK003,B01,R01,TPR,19.0,19.0,4600,2493,54.2,1.22,1411,430899.48,False,
154,41,2024-10-07,SK003,B01,R02,Feature + Display,23.0,22.0,2800,2007,71.7,1.65,1300,107438.52,False,
155,10,2024-03-04,SK003,B01,R02,Display,11.0,11.0,2800,1786,63.8,1.45,930,90496.56,False,
156,32,2024-08-05,SK003,B01,R02,Feature,27.0,24.0,2800,1794,64.1,1.14,2001,288013.32,False,
157,4,2024-01-22,SK003,B01,R02,TPR + Feature,27.0,28.0,2800,1607,57.4,1.74,2015,259776.72,True,Super Bowl
158,35,2024-08-26,SK003,B01,R02,TPR,29.0,26.0,2800,1965,70.2,1.31,274,111203.4,True,Back to School
159,34,2024-08-19,SK003,B01,R02,TPR + Feature,8.0,8.0,2800,2332,83.3,1.72,2440,104301.12,False,
160,19,2024-05-06,SK003,B01,R02,TPR + Feature,27.0,26.0,2800,2200,78.6,1.57,2632,293660.64,False,
161,4,2024-01-22,SK003,B01,R03,TPR + Feature,20.0,21.0,1900,1111,58.5,1.54,1376,176939.4,True,Super Bowl
162,37,2024-09-09,SK003,B01,R03,Feature + Display,18.0,18.0,1900,1312,69.1,1.97,841,80048.52,True,Labor Day
163,11,2024-03-11,SK003,B01,R03,TPR,30.0,29.0,1900,1140,60.0,1.23,1654,154703.7,False,
164,6,2024-02-05,SK003,B01,R03,TPR,14.0,13.0,1900,1263,66.5,1.41,1795,35766.36,False,
165,14,2024-04-01,SK003,B01,R03,TPR,32.0,33.0,1900,1373,72.3,1.38,1447,201351.36,True,Easter
166,52,2024-12-23,SK003,B01,R04,Feature + Display,17.0,15.0,575,382,66.6,1.66,1421,5598.14,True,New Year's Eve
167,17,2024-04-22,SK003,B01,R04,TPR + Feature,23.0,22.0,575,411,71.6,1.46,1916,13501.4,False,
168,14,2024-04-01,SK003,B01,R04,Feature,16.0,16.0,575,393,68.5,1.43,2397,25886.04,True,Easter
169,27,2024-07-01,SK003,B01,R04,TPR,11.0,11.0,575,369,64.2,1.43,1272,5197.25,True,July 4th
170,33,2024-08-12,SK003,B01,R04,Feature + Display,18.0,16.0,575,406,70.7,1.74,1211,32214.38,False,
171,31,2024-07-29,SK003,B01,R04,Feature + Display,16.0,14.0,575,372,64.7,1.44,1056,26344.2,False,
172,15,2024-04-08,SK003,B01,R04,TPR + Feature,17.0,16.0,575,303,52.7,1.63,480,17768.02,False,
173,10,2024-03-04,SK003,B01,R04,TPR + Feature,19.0,20.0,575,397,69.1,1.49,1292,31283.74,False,
174,24,2024-06-10,SK003,B01,R05,TPR,21.0,19.0,1330,1022,76.9,1.38,1202,132136.83,False,
175,38,2024-09-16,SK003,B01,R05,TPR,28.0,28.0,1330,788,59.3,1.29,685,114982.22,False,
176,2,2024-01-08,SK003,B01,R05,TPR,29.0,27.0,1330,911,68.5,1.29,1412,140217.38,False,
177,27,2024-07-01,SK003,B01,R05,Display,8.0,7.0,1330,754,56.7,1.14,1037,32322.19,True,July 4th
178,37,2024-09-09,SK003,B01,R05,Display,18.0,16.0,1330,993,74.7,1.51,602,36362.47,True,Labor Day
179,15,2024-04-08,SK003,B01,R05,TPR,10.0,9.0,1330,498,37.5,1.16,360,53649.54,False,
180,35,2024-08-26,SK003,B01,R05,Feature,20.0,20.0,1330,883,66.4,1.47,1244,105312.06,True,Back to School
181,26,2024-06-24,SK003,B01,R05,TPR,23.0,20.0,1330,932,70.1,1.26,437,124917.32,False,
182,5,2024-01-29,SK003,B01,R06,TPR,21.0,21.0,2280,1342,58.9,1.04,1015,45304.06,False,
183,27,2024-07-01,SK003,B01,R06,TPR,19.0,20.0,2280,1627,71.4,1.12,615,96001.45,True,July 4th
184,40,2024-09-30,SK003,B01,R06,TPR,21.0,21.0,2280,1513,66.4,1.49,306,234865.76,False,
185,4,2024-01-22,SK003,B01,R06,Feature,22.0,20.0,2280,1411,61.9,1.37,101,246049.85,True,Super Bowl
186,47,2024-11-18,SK003,B01,R06,Display,31.0,27.0,2280,1639,71.9,1.2,1566,214711.7,True,Thanksgiving
187,23,2024-06-03,SK003,B01,R07,Feature,22.0,19.0,2000,1240,62.0,1.5,1216,200494.8,False,
188,27,2024-07-01,SK003,B01,R07,TPR,11.0,11.0,2000,1386,69.3,1.0,586,48206.4,True,July 4th
189,32,2024-08-05,SK003,B01,R07,TPR,30.0,28.0,2000,852,42.6,1.02,692,268920.0,False,
190,10,2024-03-04,SK003,B01,R07,TPR,12.0,11.0,2000,1268,63.4,1.06,767,65138.4,False,
191,47,2024-11-18,SK003,B01,R07,TPR + Feature,17.0,18.0,2000,1504,75.2,1.52,1124,16932.0,True,Thanksgiving
192,29,2024-07-15,SK003,B01,R08,Display,29.0,26.0,340,222,65.3,1.2,105,11539.16,False,
193,28,2024-07-08,SK003,B01,R08,TPR,12.0,12.0,340,200,59.0,1.35,526,3758.9,False,
194,16,2024-04-15,SK003,B01,R08,Feature + Display,23.0,21.0,340,218,64.4,1.5,878,15772.16,False,
195,35,2024-08-26,SK003,B01,R08,TPR,8.0,7.0,340,178,52.6,1.21,480,12597.41,True,Back to School
196,51,2024-12-16,SK003,B01,R08,TPR + Feature,30.0,31.0,340,193,57.0,1.68,535,24890.04,False,
197,32,2024-08-05,SK003,B01,R08,Feature + Display,30.0,30.0,340,203,59.8,1.34,47,16508.7,False,
198,28,2024-07-08,SK003,B01,R09,TPR,17.0,18.0,19000,13186,69.4,1.17,670,828398.1,False,
199,25,2024-06-17,SK003,B01,R09,Display,27.0,24.0,19000,11533,60.7,1.1,292,1852186.5,False,
200,31,2024-07-29,SK003,B01,R09,TPR,22.0,22.0,19000,12863,67.7,1.15,246,1280208.6,False,
201,29,2024-07-15,SK003,B01,R09,Feature + Display,25.0,24.0,19000,12179,64.1,1.38,100,1454782.5,False,
202,3,2024-01-15,SK003,B01,R09,Feature + Display,28.0,29.0,19000,6270,33.0,1.62,204,529872.0,False,
203,35,2024-08-26,SK003,B01,R09,Feature,21.0,21.0,19000,12939,68.1,1.68,463,1162406.7,True,Back to School
204,14,2024-04-01,SK003,B01,R09,TPR,11.0,10.0,19000,13053,68.7,1.05,486,712961.7,True,Easter
205,22,2024-05-27,SK003,B01,R09,Feature + Display,20.0,20.0,19000,13319,70.1,1.35,535,728574.0,True,Memorial Day
206,40,2024-09-30,SK003,B01,R09,TPR + Feature,11.0,11.0,19000,14136,74.4,1.36,504,921125.7,False,
207,43,2024-10-21,SK003,B01,R09,TPR,15.0,15.0,19000,12502,65.8,1.35,280,425790.0,False,
208,33,2024-08-12,SK003,B01,R10,TPR + Feature,25.0,23.0,500,362,72.5,1.6,72,32992.5,False,
209,12,2024-03-18,SK003,B01,R10,TPR,25.0,25.0,500,292,58.5,1.24,63,58826.25,False,
210,20,2024-05-13,SK003,B01,R10,Feature,16.0,16.0,500,267,53.5,1.59,177,14143.2,False,
211,39,2024-09-23,SK003,B01,R10,TPR + Feature,17.0,17.0,500,341,68.2,1.39,559,32170.8,False,
212,6,2024-02-05,SK003,B01,R10,Feature,17.0,16.0,500,356,71.3,1.23,82,24128.1,False,
213,30,2024-07-22,SK003,B01,R10,TPR,28.0,24.0,500,385,77.1,1.49,63,33465.6,False,
214,37,2024-09-09,SK003,B01,R10,TPR,21.0,20.0,500,259,51.9,1.25,134,7059.15,True,Labor Day
215,50,2024-12-09,SK003,B01,R10,Feature + Display,10.0,10.0,500,333,66.7,1.35,342,24775.5,True,Christmas
216,24,2024-06-10,SK003,B01,R10,Feature + Display,28.0,25.0,500,404,80.9,1.33,177,23356.2,False,
217,21,2024-05-20,SK003,B01,R10,Feature + Display,29.0,25.0,500,365,73.0,1.57,229,63544.8,False,
218,12,2024-03-18,SK004,B01,R01,Feature,14.0,13.0,4600,3316,72.1,1.2,3349,431338.32,False,
219,19,2024-05-06,SK004,B01,R01,Feature,9.0,9.0,4600,3243,70.5,1.51,3913,440934.84,False,
220,9,2024-02-26,SK004,B01,R01,Feature,16.0,14.0,4600,2773,60.3,1.39,2410,650543.04,True,Valentine's Day
221,5,2024-01-29,SK004,B01,R01,Feature + Display,21.0,21.0,4600,2658,57.8,1.59,5239,700040.88,False,
222,26,2024-06-24,SK004,B01,R01,TPR + Feature,25.0,25.0,4600,2484,54.0,1.4,4498,492453.0,False,
223,36,2024-09-02,SK004,B01,R01,TPR + Feature,18.0,16.0,4600,3289,71.5,1.38,509,95460.12,False,
224,42,2024-10-14,SK004,B01,R01,TPR,12.0,11.0,4600,2852,62.0,1.06,1408,93944.88,False,
225,23,2024-06-03,SK004,B01,R01,Feature,12.0,11.0,4600,3114,67.7,1.33,5814,184859.28,False,
226,39,2024-09-23,SK004,B01,R01,TPR,19.0,19.0,4600,3164,68.8,1.4,1100,398255.58,False,
227,39,2024-09-23,SK004,B01,R02,TPR,27.0,23.0,2800,1716,61.3,1.1,2444,244875.96,False,
228,35,2024-08-26,SK004,B01,R02,TPR,12.0,12.0,2800,1750,62.5,1.5,2720,158639.04,True,Back to School
229,32,2024-08-05,SK004,B01,R02,Display,22.0,22.0,2800,1752,62.6,1.12,2723,466693.92,False,
230,8,2024-02-19,SK004,B01,R02,Feature,26.0,23.0,2800,2287,81.7,1.42,3651,575527.68,False,
