ms_id,fiscal_week,week_start_date,brand_id,brand_name,business_unit,retailer_id,entity_type,dollar_share_pct,unit_share_pct,dollar_sales,category_size_dollars,yoy_share_chg
94,2,2024-01-08,,Juicy Juice,Beverages,R06,Competitor,13.3,13.2,2.49,18.69,-1.52
95,2,2024-01-08,,Honest Kids,Beverages,R06,Competitor,15.2,16.1,2.84,18.69,0.66
96,2,2024-01-08,,Private Label,Beverages,R06,Competitor,10.6,11.2,1.98,18.69,-0.23
97,2,2024-01-08,B13,Capri Sun,Beverages,R07,KHC Brand,17.1,18.2,2.7,15.81,0.9
98,2,2024-01-08,B18,Kool-Aid,Beverages,R07,KHC Brand,25.8,28.3,4.08,15.81,-0.65
99,2,2024-01-08,,Mott's,Beverages,R07,Competitor,11.6,10.9,1.83,15.81,-0.0
100,2,2024-01-08,,Juicy Juice,Beverages,R07,Competitor,12.1,11.1,1.91,15.81,0.49
101,2,2024-01-08,,Honest Kids,Beverages,R07,Competitor,14.0,13.3,2.21,15.81,1.08
102,2,2024-01-08,,Private Label,Beverages,R07,Competitor,17.6,16.2,2.78,15.81,1.04
103,2,2024-01-08,B13,Capri Sun,Beverages,R08,KHC Brand,19.1,19.3,1.9,9.97,-0.76
104,2,2024-01-08,B18,Kool-Aid,Beverages,R08,KHC Brand,21.8,19.9,2.17,9.97,0.48
105,2,2024-01-08,,Mott's,Beverages,R08,Competitor,16.1,16.5,1.61,9.97,0.01
106,2,2024-01-08,,Juicy Juice,Beverages,R08,Competitor,12.1,11.3,1.21,9.97,-0.84
107,2,2024-01-08,,Honest Kids,Beverages,R08,Competitor,14.9,13.8,1.49,9.97,-0.69
108,2,2024-01-08,,Private Label,Beverages,R08,Competitor,13.2,13.7,1.32,9.97,-0.97
109,2,2024-01-08,B13,Capri Sun,Beverages,R09,KHC Brand,18.3,16.9,1.77,9.65,-0.17
110,2,2024-01-08,B18,Kool-Aid,Beverages,R09,KHC Brand,22.8,21.3,2.2,9.65,0.01
111,2,2024-01-08,,Mott's,Beverages,R09,Competitor,15.2,15.3,1.47,9.65,0.08
112,2,2024-01-08,,Juicy Juice,Beverages,R09,Competitor,12.8,12.1,1.23,9.65,-0.45
113,2,2024-01-08,,Honest Kids,Beverages,R09,Competitor,14.8,14.4,1.43,9.65,-0.1
114,2,2024-01-08,,Private Label,Beverages,R09,Competitor,12.1,11.4,1.17,9.65,-0.47
115,2,2024-01-08,B13,Capri Sun,Beverages,R10,KHC Brand,19.4,18.8,1.25,6.43,-0.48
116,2,2024-01-08,B18,Kool-Aid,Beverages,R10,KHC Brand,24.5,24.2,1.57,6.43,0.01
117,2,2024-01-08,,Mott's,Beverages,R10,Competitor,13.1,12.7,0.84,6.43,0.81
118,2,2024-01-08,,Juicy Juice,Beverages,R10,Competitor,13.4,14.1,0.86,6.43,-0.37
119,2,2024-01-08,,Honest Kids,Beverages,R10,Competitor,13.1,14.0,0.84,6.43,0.98
120,2,2024-01-08,,Private Label,Beverages,R10,Competitor,16.8,16.1,1.08,6.43,0.72
121,3,2024-01-15,B13,Capri Sun,Beverages,R01,KHC Brand,19.8,21.0,12.43,62.76,-0.71
122,3,2024-01-15,B18,Kool-Aid,Beverages,R01,KHC Brand,23.3,24.0,14.62,62.76,-0.62
123,3,2024-01-15,,Mott's,Beverages,R01,Competitor,16.3,15.5,10.23,62.76,1.67
124,3,2024-01-15,,Juicy Juice,Beverages,R01,Competitor,15.6,16.8,9.79,62.76,1.14
125,3,2024-01-15,,Honest Kids,Beverages,R01,Competitor,15.1,14.4,9.48,62.76,0.05
126,3,2024-01-15,,Private Label,Beverages,R01,Competitor,13.1,12.7,8.22,62.76,0.29
127,3,2024-01-15,B13,Capri Sun,Beverages,R02,KHC Brand,19.9,19.9,8.81,44.3,0.84
128,3,2024-01-15,B18,Kool-Aid,Beverages,R02,KHC Brand,24.2,26.5,10.72,44.3,0.16
129,3,2024-01-15,,Mott's,Beverages,R02,Competitor,13.9,14.7,6.16,44.3,-0.65
130,3,2024-01-15,,Juicy Juice,Beverages,R02,Competitor,15.7,17.2,6.95,44.3,-1.72
131,3,2024-01-15,,Honest Kids,Beverages,R02,Competitor,10.6,9.7,4.7,44.3,-0.64
132,3,2024-01-15,,Private Label,Beverages,R02,Competitor,11.4,11.4,5.05,44.3,0.67
133,3,2024-01-15,B13,Capri Sun,Beverages,R03,KHC Brand,17.8,19.4,4.59,25.79,0.7
134,3,2024-01-15,B18,Kool-Aid,Beverages,R03,KHC Brand,26.0,27.6,6.71,25.79,0.05
135,3,2024-01-15,,Mott's,Beverages,R03,Competitor,14.7,13.5,3.79,25.79,0.78
136,3,2024-01-15,,Juicy Juice,Beverages,R03,Competitor,16.0,16.6,4.13,25.79,-1.86
137,3,2024-01-15,,Honest Kids,Beverages,R03,Competitor,13.2,13.6,3.4,25.79,0.21
138,3,2024-01-15,,Private Label,Beverages,R03,Competitor,14.5,14.6,3.74,25.79,-0.99
139,3,2024-01-15,B13,Capri Sun,Beverages,R04,KHC Brand,15.9,15.8,3.88,24.38,0.49
140,3,2024-01-15,B18,Kool-Aid,Beverages,R04,KHC Brand,22.7,24.6,5.53,24.38,-0.11
141,3,2024-01-15,,Mott's,Beverages,R04,Competitor,15.6,14.7,3.8,24.38,-0.33
142,3,2024-01-15,,Juicy Juice,Beverages,R04,Competitor,13.5,14.4,3.29,24.38,-0.27
143,3,2024-01-15,,Honest Kids,Beverages,R04,Competitor,14.3,14.7,3.49,24.38,1.12
144,3,2024-01-15,,Private Label,Beverages,R04,Competitor,15.8,16.9,3.85,24.38,1.85
145,3,2024-01-15,B13,Capri Sun,Beverages,R05,KHC Brand,16.5,16.0,3.32,20.11,-0.24
146,3,2024-01-15,B18,Kool-Aid,Beverages,R05,KHC Brand,23.5,24.2,4.73,20.11,-0.62
147,3,2024-01-15,,Mott's,Beverages,R05,Competitor,14.3,14.2,2.88,20.11,-0.58
148,3,2024-01-15,,Juicy Juice,Beverages,R05,Competitor,13.0,13.9,2.61,20.11,1.24
149,3,2024-01-15,,Honest Kids,Beverages,R05,Competitor,14.8,15.9,2.98,20.11,0.54
150,3,2024-01-15,,Private Label,Beverages,R05,Competitor,17.0,16.6,3.42,20.11,0.94
151,3,2024-01-15,B13,Capri Sun,Beverages,R06,KHC Brand,17.0,15.5,2.95,17.34,1.01
152,3,2024-01-15,B18,Kool-Aid,Beverages,R06,KHC Brand,23.9,22.6,4.14,17.34,1.63
153,3,2024-01-15,,Mott's,Beverages,R06,Competitor,15.8,15.3,2.74,17.34,-1.12
154,3,2024-01-15,,Juicy Juice,Beverages,R06,Competitor,17.3,18.7,3.0,17.34,0.73
155,3,2024-01-15,,Honest Kids,Beverages,R06,Competitor,12.2,11.4,2.12,17.34,0.4
156,3,2024-01-15,,Private Label,Beverages,R06,Competitor,18.0,16.7,3.12,17.34,0.18
157,3,2024-01-15,B13,Capri Sun,Beverages,R07,KHC Brand,17.0,17.0,2.37,13.97,0.81
158,3,2024-01-15,B18,Kool-Aid,Beverages,R07,KHC Brand,25.0,27.5,3.49,13.97,-0.18
159,3,2024-01-15,,Mott's,Beverages,R07,Competitor,13.6,12.7,1.9,13.97,0.33
160,3,2024-01-15,,Juicy Juice,Beverages,R07,Competitor,12.7,12.7,1.77,13.97,-0.04
161,3,2024-01-15,,Honest Kids,Beverages,R07,Competitor,16.9,15.5,2.36,13.97,1.02
162,3,2024-01-15,,Private Label,Beverages,R07,Competitor,13.4,14.1,1.87,13.97,-1.47
163,3,2024-01-15,B13,Capri Sun,Beverages,R08,KHC Brand,17.4,18.3,1.79,10.31,0.65
164,3,2024-01-15,B18,Kool-Aid,Beverages,R08,KHC Brand,22.9,22.5,2.36,10.31,0.87
165,3,2024-01-15,,Mott's,Beverages,R08,Competitor,13.4,12.4,1.38,10.31,-0.65
166,3,2024-01-15,,Juicy Juice,Beverages,R08,Competitor,14.6,13.9,1.5,10.31,0.56
167,3,2024-01-15,,Honest Kids,Beverages,R08,Competitor,11.8,11.8,1.22,10.31,0.02
168,3,2024-01-15,,Private Label,Beverages,R08,Competitor,15.4,15.6,1.59,10.31,-0.99
169,3,2024-01-15,B13,Capri Sun,Beverages,R09,KHC Brand,19.0,17.5,1.68,8.85,-0.14
170,3,2024-01-15,B18,Kool-Aid,Beverages,R09,KHC Brand,22.3,20.2,1.97,8.85,-0.06
171,3,2024-01-15,,Mott's,Beverages,R09,Competitor,12.6,12.0,1.11,8.85,-0.71
172,3,2024-01-15,,Juicy Juice,Beverages,R09,Competitor,16.4,14.8,1.45,8.85,-0.45
173,3,2024-01-15,,Honest Kids,Beverages,R09,Competitor,16.4,17.8,1.45,8.85,-0.33
174,3,2024-01-15,,Private Label,Beverages,R09,Competitor,12.7,11.6,1.12,8.85,0.18
175,3,2024-01-15,B13,Capri Sun,Beverages,R10,KHC Brand,19.3,20.6,1.17,6.04,-0.98
176,3,2024-01-15,B18,Kool-Aid,Beverages,R10,KHC Brand,25.7,27.8,1.55,6.04,1.22
177,3,2024-01-15,,Mott's,Beverages,R10,Competitor,15.0,14.6,0.91,6.04,-0.14
178,3,2024-01-15,,Juicy Juice,Beverages,R10,Competitor,17.8,19.2,1.08,6.04,0.23
179,3,2024-01-15,,Honest Kids,Beverages,R10,Competitor,14.1,13.1,0.85,6.04,1.16
180,3,2024-01-15,,Private Label,Beverages,R10,Competitor,17.0,17.8,1.03,6.04,-1.35
181,4,2024-01-22,B13,Capri Sun,Beverages,R01,KHC Brand,17.7,18.9,10.93,61.75,0.47
182,4,2024-01-22,B18,Kool-Aid,Beverages,R01,KHC Brand,25.8,24.0,15.93,61.75,-0.93
183,4,2024-01-22,,Mott's,Beverages,R01,Competitor,15.9,16.5,9.82,61.75,-0.52
184,4,2024-01-22,,Juicy Juice,Beverages,R01,Competitor,15.6,14.1,9.63,61.75,-0.65
185,4,2024-01-22,,Honest Kids,Beverages,R01,Competitor,9.5,8.7,5.87,61.75,-1.62
186,4,2024-01-22,,Private Label,Beverages,R01,Competitor,11.9,11.3,7.35,61.75,-0.67
187,4,2024-01-22,B13,Capri Sun,Beverages,R02,KHC Brand,18.5,20.3,7.32,39.56,-0.41
188,4,2024-01-22,B18,Kool-Aid,Beverages,R02,KHC Brand,23.9,26.2,9.46,39.56,-0.4
189,4,2024-01-22,,Mott's,Beverages,R02,Competitor,14.4,14.5,5.7,39.56,0.54
190,4,2024-01-22,,Juicy Juice,Beverages,R02,Competitor,14.4,14.7,5.7,39.56,0.23
191,4,2024-01-22,,Honest Kids,Beverages,R02,Competitor,15.8,17.4,6.25,39.56,-0.33
192,4,2024-01-22,,Private Label,Beverages,R02,Competitor,10.8,9.9,4.27,39.56,0.0
193,4,2024-01-22,B13,Capri Sun,Beverages,R03,KHC Brand,17.5,19.2,4.88,27.87,0.69
194,4,2024-01-22,B18,Kool-Aid,Beverages,R03,KHC Brand,26.0,24.3,7.24,27.87,-0.21
195,4,2024-01-22,,Mott's,Beverages,R03,Competitor,14.5,15.5,4.04,27.87,0.33
196,4,2024-01-22,,Juicy Juice,Beverages,R03,Competitor,12.5,12.7,3.48,27.87,-0.19
197,4,2024-01-22,,Honest Kids,Beverages,R03,Competitor,11.0,11.3,3.07,27.87,0.64
198,4,2024-01-22,,Private Label,Beverages,R03,Competitor,17.5,17.4,4.88,27.87,-0.12
199,4,2024-01-22,B13,Capri Sun,Beverages,R04,KHC Brand,17.4,17.9,3.97,22.82,0.21
200,4,2024-01-22,B18,Kool-Aid,Beverages,R04,KHC Brand,22.1,21.5,5.04,22.82,-0.35
201,4,2024-01-22,,Mott's,Beverages,R04,Competitor,14.3,15.4,3.26,22.82,-0.62
202,4,2024-01-22,,Juicy Juice,Beverages,R04,Competitor,15.6,16.2,3.56,22.82,0.15
203,4,2024-01-22,,Honest Kids,Beverages,R04,Competitor,15.2,15.0,3.47,22.82,0.52
204,4,2024-01-22,,Private Label,Beverages,R04,Competitor,15.9,17.2,3.63,22.82,-0.6
205,4,2024-01-22,B13,Capri Sun,Beverages,R05,KHC Brand,18.3,16.5,3.18,17.38,-0.06
206,4,2024-01-22,B18,Kool-Aid,Beverages,R05,KHC Brand,23.4,24.5,4.07,17.38,0.41
207,4,2024-01-22,,Mott's,Beverages,R05,Competitor,10.3,10.6,1.79,17.38,-0.17
208,4,2024-01-22,,Juicy Juice,Beverages,R05,Competitor,15.2,16.3,2.64,17.38,0.28
209,4,2024-01-22,,Honest Kids,Beverages,R05,Competitor,16.8,15.4,2.92,17.38,-0.31
210,4,2024-01-22,,Private Label,Beverages,R05,Competitor,16.2,15.3,2.81,17.38,0.29
211,4,2024-01-22,B13,Capri Sun,Beverages,R06,KHC Brand,18.9,19.3,3.46,18.3,-1.11
212,4,2024-01-22,B18,Kool-Aid,Beverages,R06,KHC Brand,25.6,27.1,4.69,18.3,0.08
213,4,2024-01-22,,Mott's,Beverages,R06,Competitor,13.4,14.2,2.45,18.3,-1.13
214,4,2024-01-22,,Juicy Juice,Beverages,R06,Competitor,9.0,8.9,1.65,18.3,1.32
215,4,2024-01-22,,Honest Kids,Beverages,R06,Competitor,14.5,13.2,2.65,18.3,-1.09
216,4,2024-01-22,,Private Label,Beverages,R06,Competitor,11.4,11.6,2.09,18.3,-0.42
217,4,2024-01-22,B13,Capri Sun,Beverages,R07,KHC Brand,19.7,19.3,3.0,15.21,0.5
218,4,2024-01-22,B18,Kool-Aid,Beverages,R07,KHC Brand,25.0,24.6,3.8,15.21,-0.71
219,4,2024-01-22,,Mott's,Beverages,R07,Competitor,13.5,12.7,2.05,15.21,-0.1
220,4,2024-01-22,,Juicy Juice,Beverages,R07,Competitor,13.7,14.4,2.08,15.21,0.24
221,4,2024-01-22,,Honest Kids,Beverages,R07,Competitor,17.0,16.3,2.59,15.21,-0.03
222,4,2024-01-22,,Private Label,Beverages,R07,Competitor,12.7,13.7,1.93,15.21,-1.36
223,4,2024-01-22,B13,Capri Sun,Beverages,R08,KHC Brand,18.8,18.4,1.72,9.16,-0.53
224,4,2024-01-22,B18,Kool-Aid,Beverages,R08,KHC Brand,24.6,23.6,2.25,9.16,0.29
225,4,2024-01-22,,Mott's,Beverages,R08,Competitor,17.3,17.4,1.59,9.16,-0.03
226,4,2024-01-22,,Juicy Juice,Beverages,R08,Competitor,15.1,14.9,1.38,9.16,-0.72
227,4,2024-01-22,,Honest Kids,Beverages,R08,Competitor,11.3,11.8,1.04,9.16,0.66
228,4,2024-01-22,,Private Label,Beverages,R08,Competitor,16.6,15.5,1.52,9.16,-0.46
229,4,2024-01-22,B13,Capri Sun,Beverages,R09,KHC Brand,15.6,16.5,1.34,8.62,1.09
230,4,2024-01-22,B18,Kool-Aid,Beverages,R09,KHC Brand,25.8,28.4,2.22,8.62,-0.09
231,4,2024-01-22,,Mott's,Beverages,R09,Competitor,16.8,18.1,1.45,8.62,-0.23
232,4,2024-01-22,,Juicy Juice,Beverages,R09,Competitor,15.1,16.6,1.3,8.62,-1.5
233,4,2024-01-22,,Honest Kids,Beverages,R09,Competitor,17.1,17.8,1.47,8.62,-1.6
234,4,2024-01-22,,Private Label,Beverages,R09,Competitor,18.1,19.8,1.56,8.62,1.26
235,4,2024-01-22,B13,Capri Sun,Beverages,R10,KHC Brand,14.7,13.3,0.86,5.85,1.25
236,4,2024-01-22,B18,Kool-Aid,Beverages,R10,KHC Brand,23.6,21.9,1.38,5.85,0.34
237,4,2024-01-22,,Mott's,Beverages,R10,Competitor,12.6,13.7,0.74,5.85,-0.46
238,4,2024-01-22,,Juicy Juice,Beverages,R10,Competitor,13.1,12.5,0.77,5.85,-0.83
239,4,2024-01-22,,Honest Kids,Beverages,R10,Competitor,17.9,16.2,1.05,5.85,0.6
240,4,2024-01-22,,Private Label,Beverages,R10,Competitor,17.1,17.8,1.0,5.85,-0.63
241,5,2024-01-29,B13,Capri Sun,Beverages,R01,KHC Brand,17.5,18.6,12.52,71.53,-1.32
242,5,2024-01-29,B18,Kool-Aid,Beverages,R01,KHC Brand,25.0,23.0,17.88,71.53,1.55
243,5,2024-01-29,,Mott's,Beverages,R01,Competitor,17.3,17.6,12.37,71.53,-0.18
244,5,2024-01-29,,Juicy Juice,Beverages,R01,Competitor,15.4,15.3,11.02,71.53,-0.0
245,5,2024-01-29,,Honest Kids,Beverages,R01,Competitor,16.2,17.7,11.59,71.53,1.19
246,5,2024-01-29,,Private Label,Beverages,R01,Competitor,13.2,13.3,9.44,71.53,-0.63
247,5,2024-01-29,B13,Capri Sun,Beverages,R02,KHC Brand,18.1,16.6,7.44,41.11,-0.03
248,5,2024-01-29,B18,Kool-Aid,Beverages,R02,KHC Brand,25.1,25.6,10.32,41.11,-0.05
249,5,2024-01-29,,Mott's,Beverages,R02,Competitor,12.5,13.5,5.14,41.11,-0.87
250,5,2024-01-29,,Juicy Juice,Beverages,R02,Competitor,11.8,13.0,4.85,41.11,-0.29
251,5,2024-01-29,,Honest Kids,Beverages,R02,Competitor,16.3,16.4,6.7,41.11,0.14
252,5,2024-01-29,,Private Label,Beverages,R02,Competitor,15.3,16.7,6.29,41.11,-1.07
253,5,2024-01-29,B13,Capri Sun,Beverages,R03,KHC Brand,16.7,15.3,5.24,31.36,0.14
254,5,2024-01-29,B18,Kool-Aid,Beverages,R03,KHC Brand,25.9,27.0,8.12,31.36,0.68
255,5,2024-01-29,,Mott's,Beverages,R03,Competitor,13.0,14.1,4.08,31.36,1.63
256,5,2024-01-29,,Juicy Juice,Beverages,R03,Competitor,10.3,10.5,3.23,31.36,-0.18
257,5,2024-01-29,,Honest Kids,Beverages,R03,Competitor,14.6,15.1,4.58,31.36,-0.37
258,5,2024-01-29,,Private Label,Beverages,R03,Competitor,15.4,16.2,4.83,31.36,-0.36
