sale_id,fiscal_week,week_start_date,sku_id,brand_id,retailer_id,units_sold,gross_sales,net_sales,cogs,gross_margin,is_on_promo,discount_pct,realized_price,yoy_index,prior_yr_net_sales
41,5,2024-01-29,SK001,B01,R01,23,114.77,101.66,41.86,59.8,True,11.5,4.42,1.02,99.67
42,5,2024-01-29,SK001,B01,R02,13,64.87,64.87,23.66,41.21,False,0.0,4.99,1.02,63.6
43,5,2024-01-29,SK001,B01,R03,8,39.92,39.92,14.56,25.36,False,0.0,4.99,1.02,39.14
44,5,2024-01-29,SK001,B01,R04,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
45,5,2024-01-29,SK001,B01,R05,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
46,5,2024-01-29,SK001,B01,R06,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
47,5,2024-01-29,SK001,B01,R07,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
48,5,2024-01-29,SK001,B01,R08,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
49,5,2024-01-29,SK001,B01,R09,3,14.97,13.41,5.46,7.95,True,10.4,4.47,1.02,13.15
50,5,2024-01-29,SK001,B01,R10,1,4.99,4.99,1.82,3.17,False,0.0,4.99,1.02,4.89
51,6,2024-02-05,SK001,B01,R01,21,104.79,104.79,38.22,66.57,False,0.0,4.99,1.02,102.74
52,6,2024-02-05,SK001,B01,R02,12,59.88,59.88,21.84,38.04,False,0.0,4.99,1.02,58.71
53,6,2024-02-05,SK001,B01,R03,7,34.93,28.84,12.74,16.1,True,17.5,4.12,1.02,28.27
54,6,2024-02-05,SK001,B01,R04,8,39.92,39.92,14.56,25.36,False,0.0,4.99,1.02,39.14
55,6,2024-02-05,SK001,B01,R05,6,29.94,23.22,10.92,12.3,True,22.5,3.87,1.02,22.76
56,6,2024-02-05,SK001,B01,R06,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
57,6,2024-02-05,SK001,B01,R07,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
58,6,2024-02-05,SK001,B01,R08,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
59,6,2024-02-05,SK001,B01,R09,3,14.97,11.46,5.46,6.0,True,23.5,3.82,1.02,11.24
60,6,2024-02-05,SK001,B01,R10,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
61,7,2024-02-12,SK001,B01,R01,18,89.82,73.98,32.76,41.22,True,17.7,4.11,1.02,72.53
62,7,2024-02-12,SK001,B01,R02,12,59.88,43.56,21.84,21.72,True,27.2,3.63,1.02,42.71
63,7,2024-02-12,SK001,B01,R03,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
64,7,2024-02-12,SK001,B01,R04,5,24.95,21.35,9.1,12.25,True,14.5,4.27,1.02,20.93
65,7,2024-02-12,SK001,B01,R05,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
66,7,2024-02-12,SK001,B01,R06,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
67,7,2024-02-12,SK001,B01,R07,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
68,7,2024-02-12,SK001,B01,R08,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
69,7,2024-02-12,SK001,B01,R09,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
70,7,2024-02-12,SK001,B01,R10,1,4.99,4.99,1.82,3.17,False,0.0,4.99,1.02,4.89
71,8,2024-02-19,SK001,B01,R01,21,104.79,104.79,38.22,66.57,False,0.0,4.99,1.02,102.74
72,8,2024-02-19,SK001,B01,R02,16,79.84,79.84,29.12,50.72,False,0.0,4.99,1.02,78.27
73,8,2024-02-19,SK001,B01,R03,8,39.92,39.92,14.56,25.36,False,0.0,4.99,1.02,39.14
74,8,2024-02-19,SK001,B01,R04,9,44.91,44.91,16.38,28.53,False,0.0,4.99,1.02,44.03
75,8,2024-02-19,SK001,B01,R05,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
76,8,2024-02-19,SK001,B01,R06,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
77,8,2024-02-19,SK001,B01,R07,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
78,8,2024-02-19,SK001,B01,R08,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
79,8,2024-02-19,SK001,B01,R09,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
80,8,2024-02-19,SK001,B01,R10,1,4.99,4.99,1.82,3.17,False,0.0,4.99,1.02,4.89
81,9,2024-02-26,SK001,B01,R01,27,134.73,134.73,49.14,85.59,False,0.0,4.99,1.02,132.09
82,9,2024-02-26,SK001,B01,R02,19,94.81,94.81,34.58,60.23,False,0.0,4.99,1.02,92.95
83,9,2024-02-26,SK001,B01,R03,15,74.85,74.85,27.3,47.55,False,0.0,4.99,1.02,73.38
84,9,2024-02-26,SK001,B01,R04,9,44.91,44.91,16.38,28.53,False,0.0,4.99,1.02,44.03
85,9,2024-02-26,SK001,B01,R05,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
86,9,2024-02-26,SK001,B01,R06,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
87,9,2024-02-26,SK001,B01,R07,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
88,9,2024-02-26,SK001,B01,R08,4,19.96,16.96,7.28,9.68,True,15.1,4.24,1.02,16.63
89,9,2024-02-26,SK001,B01,R09,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
90,9,2024-02-26,SK001,B01,R10,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
91,10,2024-03-04,SK001,B01,R01,20,99.8,99.8,36.4,63.4,False,0.0,4.99,1.02,97.84
92,10,2024-03-04,SK001,B01,R02,15,74.85,64.2,27.3,36.9,True,14.2,4.28,1.02,62.94
93,10,2024-03-04,SK001,B01,R03,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
94,10,2024-03-04,SK001,B01,R04,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
95,10,2024-03-04,SK001,B01,R05,5,24.95,20.65,9.1,11.55,True,17.3,4.13,1.02,20.25
96,10,2024-03-04,SK001,B01,R06,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
97,10,2024-03-04,SK001,B01,R07,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
98,10,2024-03-04,SK001,B01,R08,3,14.97,12.33,5.46,6.87,True,17.6,4.11,1.02,12.09
99,10,2024-03-04,SK001,B01,R09,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
100,10,2024-03-04,SK001,B01,R10,1,4.99,4.99,1.82,3.17,False,0.0,4.99,1.02,4.89
101,11,2024-03-11,SK001,B01,R01,15,74.85,74.85,27.3,47.55,False,0.0,4.99,1.02,73.38
102,11,2024-03-11,SK001,B01,R02,12,59.88,59.88,21.84,38.04,False,0.0,4.99,1.02,58.71
103,11,2024-03-11,SK001,B01,R03,8,39.92,39.92,14.56,25.36,False,0.0,4.99,1.02,39.14
104,11,2024-03-11,SK001,B01,R04,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
105,11,2024-03-11,SK001,B01,R05,5,24.95,20.9,9.1,11.8,True,16.3,4.18,1.02,20.49
106,11,2024-03-11,SK001,B01,R06,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
107,11,2024-03-11,SK001,B01,R07,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
108,11,2024-03-11,SK001,B01,R08,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
109,11,2024-03-11,SK001,B01,R09,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
110,11,2024-03-11,SK001,B01,R10,1,4.99,4.99,1.82,3.17,False,0.0,4.99,1.02,4.89
111,12,2024-03-18,SK001,B01,R01,13,64.87,64.87,23.66,41.21,False,0.0,4.99,1.02,63.6
112,12,2024-03-18,SK001,B01,R02,13,64.87,64.87,23.66,41.21,False,0.0,4.99,1.02,63.6
113,12,2024-03-18,SK001,B01,R03,8,39.92,39.92,14.56,25.36,False,0.0,4.99,1.02,39.14
114,12,2024-03-18,SK001,B01,R04,10,49.9,41.0,18.2,22.8,True,17.8,4.1,1.02,40.2
115,12,2024-03-18,SK001,B01,R05,5,24.95,20.95,9.1,11.85,True,16.1,4.19,1.02,20.54
116,12,2024-03-18,SK001,B01,R06,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
117,12,2024-03-18,SK001,B01,R07,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
118,12,2024-03-18,SK001,B01,R08,2,9.98,8.14,3.64,4.5,True,18.4,4.07,1.02,7.98
119,12,2024-03-18,SK001,B01,R09,3,14.97,11.79,5.46,6.33,True,21.2,3.93,1.02,11.56
120,12,2024-03-18,SK001,B01,R10,2,9.98,8.28,3.64,4.64,True,17.1,4.14,1.02,8.12
121,13,2024-03-25,SK001,B01,R01,23,114.77,114.77,41.86,72.91,False,0.0,4.99,1.02,112.52
122,13,2024-03-25,SK001,B01,R02,10,49.9,39.1,18.2,20.9,True,21.6,3.91,1.02,38.33
123,13,2024-03-25,SK001,B01,R03,10,49.9,40.8,18.2,22.6,True,18.3,4.08,1.02,40.0
124,13,2024-03-25,SK001,B01,R04,5,24.95,20.75,9.1,11.65,True,16.8,4.15,1.02,20.34
125,13,2024-03-25,SK001,B01,R05,6,29.94,25.2,10.92,14.28,True,15.9,4.2,1.02,24.71
126,13,2024-03-25,SK001,B01,R06,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
127,13,2024-03-25,SK001,B01,R07,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
128,13,2024-03-25,SK001,B01,R08,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
129,13,2024-03-25,SK001,B01,R09,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
130,13,2024-03-25,SK001,B01,R10,1,4.99,4.99,1.82,3.17,False,0.0,4.99,1.02,4.89
131,14,2024-04-01,SK001,B01,R01,24,119.76,107.52,43.68,63.84,True,10.3,4.48,1.02,105.41
132,14,2024-04-01,SK001,B01,R02,21,104.79,104.79,38.22,66.57,False,0.0,4.99,1.02,102.74
133,14,2024-04-01,SK001,B01,R03,11,54.89,54.89,20.02,34.87,False,0.0,4.99,1.02,53.81
134,14,2024-04-01,SK001,B01,R04,13,64.87,64.87,23.66,41.21,False,0.0,4.99,1.02,63.6
135,14,2024-04-01,SK001,B01,R05,8,39.92,39.92,14.56,25.36,False,0.0,4.99,1.02,39.14
136,14,2024-04-01,SK001,B01,R06,11,54.89,54.89,20.02,34.87,False,0.0,4.99,1.02,53.81
137,14,2024-04-01,SK001,B01,R07,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
138,14,2024-04-01,SK001,B01,R08,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
139,14,2024-04-01,SK001,B01,R09,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
140,14,2024-04-01,SK001,B01,R10,2,9.98,8.94,3.64,5.3,True,10.4,4.47,1.02,8.76
141,15,2024-04-08,SK001,B01,R01,24,119.76,105.12,43.68,61.44,True,12.3,4.38,1.02,103.06
142,15,2024-04-08,SK001,B01,R02,19,94.81,94.81,34.58,60.23,False,0.0,4.99,1.02,92.95
143,15,2024-04-08,SK001,B01,R03,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
144,15,2024-04-08,SK001,B01,R04,8,39.92,30.88,14.56,16.32,True,22.6,3.86,1.02,30.27
145,15,2024-04-08,SK001,B01,R05,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
146,15,2024-04-08,SK001,B01,R06,7,34.93,27.65,12.74,14.91,True,20.9,3.95,1.02,27.11
147,15,2024-04-08,SK001,B01,R07,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
148,15,2024-04-08,SK001,B01,R08,2,9.98,7.52,3.64,3.88,True,24.7,3.76,1.02,7.37
149,15,2024-04-08,SK001,B01,R09,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
150,15,2024-04-08,SK001,B01,R10,2,9.98,8.94,3.64,5.3,True,10.5,4.47,1.02,8.76
151,16,2024-04-15,SK001,B01,R01,25,124.75,124.75,45.5,79.25,False,0.0,4.99,1.02,122.3
152,16,2024-04-15,SK001,B01,R02,16,79.84,79.84,29.12,50.72,False,0.0,4.99,1.02,78.27
153,16,2024-04-15,SK001,B01,R03,9,44.91,44.91,16.38,28.53,False,0.0,4.99,1.02,44.03
154,16,2024-04-15,SK001,B01,R04,8,39.92,39.92,14.56,25.36,False,0.0,4.99,1.02,39.14
155,16,2024-04-15,SK001,B01,R05,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
156,16,2024-04-15,SK001,B01,R06,5,24.95,19.35,9.1,10.25,True,22.4,3.87,1.02,18.97
157,16,2024-04-15,SK001,B01,R07,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
158,16,2024-04-15,SK001,B01,R08,3,14.97,11.4,5.46,5.94,True,23.9,3.8,1.02,11.18
159,16,2024-04-15,SK001,B01,R09,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
160,16,2024-04-15,SK001,B01,R10,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
161,17,2024-04-22,SK001,B01,R01,19,94.81,68.59,34.58,34.01,True,27.7,3.61,1.02,67.25
162,17,2024-04-22,SK001,B01,R02,17,84.83,84.83,30.94,53.89,False,0.0,4.99,1.02,83.17
163,17,2024-04-22,SK001,B01,R03,12,59.88,59.88,21.84,38.04,False,0.0,4.99,1.02,58.71
164,17,2024-04-22,SK001,B01,R04,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
165,17,2024-04-22,SK001,B01,R05,8,39.92,39.92,14.56,25.36,False,0.0,4.99,1.02,39.14
166,17,2024-04-22,SK001,B01,R06,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
167,17,2024-04-22,SK001,B01,R07,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
168,17,2024-04-22,SK001,B01,R08,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
169,17,2024-04-22,SK001,B01,R09,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
170,17,2024-04-22,SK001,B01,R10,1,4.99,3.63,1.82,1.81,True,27.3,3.63,1.02,3.56
171,18,2024-04-29,SK001,B01,R01,28,139.72,139.72,50.96,88.76,False,0.0,4.99,1.02,136.98
172,18,2024-04-29,SK001,B01,R02,18,89.82,89.82,32.76,57.06,False,0.0,4.99,1.02,88.06
173,18,2024-04-29,SK001,B01,R03,14,69.86,69.86,25.48,44.38,False,0.0,4.99,1.02,68.49
174,18,2024-04-29,SK001,B01,R04,12,59.88,59.88,21.84,38.04,False,0.0,4.99,1.02,58.71
175,18,2024-04-29,SK001,B01,R05,10,49.9,49.9,18.2,31.7,False,0.0,4.99,1.02,48.92
176,18,2024-04-29,SK001,B01,R06,10,49.9,49.9,18.2,31.7,False,0.0,4.99,1.02,48.92
177,18,2024-04-29,SK001,B01,R07,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
178,18,2024-04-29,SK001,B01,R08,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
179,18,2024-04-29,SK001,B01,R09,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
180,18,2024-04-29,SK001,B01,R10,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
181,19,2024-05-06,SK001,B01,R01,26,129.74,129.74,47.32,82.42,False,0.0,4.99,1.02,127.2
182,19,2024-05-06,SK001,B01,R02,13,64.87,64.87,23.66,41.21,False,0.0,4.99,1.02,63.6
183,19,2024-05-06,SK001,B01,R03,8,39.92,39.92,14.56,25.36,False,0.0,4.99,1.02,39.14
184,19,2024-05-06,SK001,B01,R04,9,44.91,44.91,16.38,28.53,False,0.0,4.99,1.02,44.03
185,19,2024-05-06,SK001,B01,R05,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
186,19,2024-05-06,SK001,B01,R06,7,34.93,25.9,12.74,13.16,True,25.9,3.7,1.02,25.39
187,19,2024-05-06,SK001,B01,R07,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
188,19,2024-05-06,SK001,B01,R08,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
189,19,2024-05-06,SK001,B01,R09,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
190,19,2024-05-06,SK001,B01,R10,1,4.99,4.99,1.82,3.17,False,0.0,4.99,1.02,4.89
191,20,2024-05-13,SK001,B01,R01,22,109.78,82.06,40.04,42.02,True,25.3,3.73,1.02,80.45
192,20,2024-05-13,SK001,B01,R02,17,84.83,73.1,30.94,42.16,True,13.8,4.3,1.02,71.67
193,20,2024-05-13,SK001,B01,R03,10,49.9,49.9,18.2,31.7,False,0.0,4.99,1.02,48.92
194,20,2024-05-13,SK001,B01,R04,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
195,20,2024-05-13,SK001,B01,R05,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
196,20,2024-05-13,SK001,B01,R06,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
197,20,2024-05-13,SK001,B01,R07,4,19.96,19.96,7.28,12.68,False,0.0,4.99,1.02,19.57
198,20,2024-05-13,SK001,B01,R08,3,14.97,10.92,5.46,5.46,True,27.1,3.64,1.02,10.71
199,20,2024-05-13,SK001,B01,R09,3,14.97,11.52,5.46,6.06,True,23.0,3.84,1.02,11.29
200,20,2024-05-13,SK001,B01,R10,1,4.99,4.99,1.82,3.17,False,0.0,4.99,1.02,4.89
201,21,2024-05-20,SK001,B01,R01,25,124.75,124.75,45.5,79.25,False,0.0,4.99,1.02,122.3
202,21,2024-05-20,SK001,B01,R02,16,79.84,79.84,29.12,50.72,False,0.0,4.99,1.02,78.27
203,21,2024-05-20,SK001,B01,R03,12,59.88,59.88,21.84,38.04,False,0.0,4.99,1.02,58.71
204,21,2024-05-20,SK001,B01,R04,10,49.9,49.9,18.2,31.7,False,0.0,4.99,1.02,48.92
205,21,2024-05-20,SK001,B01,R05,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
206,21,2024-05-20,SK001,B01,R06,5,24.95,21.45,9.1,12.35,True,14.0,4.29,1.02,21.03
207,21,2024-05-20,SK001,B01,R07,5,24.95,24.95,9.1,15.85,False,0.0,4.99,1.02,24.46
208,21,2024-05-20,SK001,B01,R08,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
209,21,2024-05-20,SK001,B01,R09,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
210,21,2024-05-20,SK001,B01,R10,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
211,22,2024-05-27,SK001,B01,R01,37,184.63,184.63,67.34,117.29,False,0.0,4.99,1.02,181.01
212,22,2024-05-27,SK001,B01,R02,26,129.74,129.74,47.32,82.42,False,0.0,4.99,1.02,127.2
213,22,2024-05-27,SK001,B01,R03,16,79.84,79.84,29.12,50.72,False,0.0,4.99,1.02,78.27
214,22,2024-05-27,SK001,B01,R04,13,64.87,64.87,23.66,41.21,False,0.0,4.99,1.02,63.6
215,22,2024-05-27,SK001,B01,R05,9,44.91,44.91,16.38,28.53,False,0.0,4.99,1.02,44.03
216,22,2024-05-27,SK001,B01,R06,10,49.9,49.9,18.2,31.7,False,0.0,4.99,1.02,48.92
217,22,2024-05-27,SK001,B01,R07,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
218,22,2024-05-27,SK001,B01,R08,4,19.96,17.28,7.28,10.0,True,13.5,4.32,1.02,16.94
219,22,2024-05-27,SK001,B01,R09,4,19.96,16.04,7.28,8.76,True,19.6,4.01,1.02,15.73
220,22,2024-05-27,SK001,B01,R10,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
221,23,2024-06-03,SK001,B01,R01,33,164.67,141.9,60.06,81.84,True,13.9,4.3,1.02,139.12
222,23,2024-06-03,SK001,B01,R02,10,49.9,49.9,18.2,31.7,False,0.0,4.99,1.02,48.92
223,23,2024-06-03,SK001,B01,R03,11,54.89,54.89,20.02,34.87,False,0.0,4.99,1.02,53.81
224,23,2024-06-03,SK001,B01,R04,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
225,23,2024-06-03,SK001,B01,R05,6,29.94,29.94,10.92,19.02,False,0.0,4.99,1.02,29.35
226,23,2024-06-03,SK001,B01,R06,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
227,23,2024-06-03,SK001,B01,R07,5,24.95,21.6,9.1,12.5,True,13.5,4.32,1.02,21.18
228,23,2024-06-03,SK001,B01,R08,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
229,23,2024-06-03,SK001,B01,R09,2,9.98,8.96,3.64,5.32,True,10.3,4.48,1.02,8.78
230,23,2024-06-03,SK001,B01,R10,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
231,24,2024-06-10,SK001,B01,R01,20,99.8,99.8,36.4,63.4,False,0.0,4.99,1.02,97.84
232,24,2024-06-10,SK001,B01,R02,16,79.84,79.84,29.12,50.72,False,0.0,4.99,1.02,78.27
233,24,2024-06-10,SK001,B01,R03,10,49.9,49.9,18.2,31.7,False,0.0,4.99,1.02,48.92
234,24,2024-06-10,SK001,B01,R04,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
235,24,2024-06-10,SK001,B01,R05,9,44.91,33.39,16.38,17.01,True,25.6,3.71,1.02,32.74
236,24,2024-06-10,SK001,B01,R06,7,34.93,34.93,12.74,22.19,False,0.0,4.99,1.02,34.25
237,24,2024-06-10,SK001,B01,R07,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
238,24,2024-06-10,SK001,B01,R08,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
239,24,2024-06-10,SK001,B01,R09,3,14.97,14.97,5.46,9.51,False,0.0,4.99,1.02,14.68
240,24,2024-06-10,SK001,B01,R10,2,9.98,9.98,3.64,6.34,False,0.0,4.99,1.02,9.78
241,25,2024-06-17,SK001,B01,R01,20,99.8,89.0,36.4,52.6,True,10.9,4.45,1.02,87.25
242,25,2024-06-17,SK001,B01,R02,15,74.85,74.85,27.3,47.55,False,0.0,4.99,1.02,73.38
