dist_id,fiscal_week,week_start_date,sku_id,brand_id,retailer_id,acv_pct,tdp,velocity_per_tdp,store_count_dist,numeric_dist_pct,acv_gap_pct
76,8,2024-02-19,SK001,B01,R06,20.0,19.8,1.51,2188,20.7,75.0
77,8,2024-02-19,SK001,B01,R07,20.0,18.8,1.06,1920,23.5,75.0
78,8,2024-02-19,SK001,B01,R08,20.0,19.6,0.51,326,17.6,75.0
79,8,2024-02-19,SK001,B01,R09,20.0,18.3,0.55,18240,24.9,75.0
80,8,2024-02-19,SK001,B01,R10,20.0,21.5,0.23,480,18.5,75.0
81,9,2024-02-26,SK001,B01,R01,21.3,18.7,7.2,4416,17.8,73.7
82,9,2024-02-26,SK001,B01,R02,20.0,20.9,4.54,2688,17.9,75.0
83,9,2024-02-26,SK001,B01,R03,20.0,21.6,3.47,1824,17.8,75.0
84,9,2024-02-26,SK001,B01,R04,20.0,20.6,2.18,552,19.7,75.0
85,9,2024-02-26,SK001,B01,R05,20.0,17.1,1.75,1276,22.7,75.0
86,9,2024-02-26,SK001,B01,R06,20.0,19.1,1.57,2188,21.5,75.0
87,9,2024-02-26,SK001,B01,R07,20.0,17.4,2.01,1920,22.3,75.0
88,9,2024-02-26,SK001,B01,R08,20.0,20.0,0.85,326,21.1,75.0
89,9,2024-02-26,SK001,B01,R09,20.0,18.5,0.81,18240,18.2,75.0
90,9,2024-02-26,SK001,B01,R10,20.0,19.2,0.52,480,22.5,75.0
91,10,2024-03-04,SK001,B01,R01,21.7,22.0,4.54,4416,19.4,73.3
92,10,2024-03-04,SK001,B01,R02,20.0,18.6,3.45,2688,15.2,75.0
93,10,2024-03-04,SK001,B01,R03,20.0,19.4,1.8,1824,25.0,75.0
94,10,2024-03-04,SK001,B01,R04,20.0,20.6,1.45,552,16.2,75.0
95,10,2024-03-04,SK001,B01,R05,20.0,19.6,1.05,1276,15.7,75.0
96,10,2024-03-04,SK001,B01,R06,20.0,17.5,0.86,2188,15.7,75.0
97,10,2024-03-04,SK001,B01,R07,20.0,19.0,1.05,1920,21.4,75.0
98,10,2024-03-04,SK001,B01,R08,20.0,17.5,0.7,326,21.6,75.0
99,10,2024-03-04,SK001,B01,R09,20.0,17.4,0.57,18240,17.6,75.0
100,10,2024-03-04,SK001,B01,R10,20.0,20.8,0.24,480,24.7,75.0
101,11,2024-03-11,SK001,B01,R01,20.3,19.8,3.78,4416,17.5,74.7
102,11,2024-03-11,SK001,B01,R02,20.0,19.3,3.1,2688,24.7,75.0
103,11,2024-03-11,SK001,B01,R03,20.0,17.3,2.31,1824,15.6,75.0
104,11,2024-03-11,SK001,B01,R04,20.0,21.3,1.41,552,19.4,75.0
105,11,2024-03-11,SK001,B01,R05,20.0,20.1,1.04,1276,24.5,75.0
106,11,2024-03-11,SK001,B01,R06,20.0,20.6,1.21,2188,21.4,75.0
107,11,2024-03-11,SK001,B01,R07,20.0,21.7,1.38,1920,18.8,75.0
108,11,2024-03-11,SK001,B01,R08,20.0,18.1,0.83,326,19.4,75.0
109,11,2024-03-11,SK001,B01,R09,20.0,17.9,0.84,18240,17.6,75.0
110,11,2024-03-11,SK001,B01,R10,20.0,20.3,0.25,480,22.6,75.0
111,12,2024-03-18,SK001,B01,R01,26.0,28.5,2.28,4416,22.3,69.0
112,12,2024-03-18,SK001,B01,R02,20.0,18.7,3.47,2688,16.5,75.0
113,12,2024-03-18,SK001,B01,R03,20.0,21.8,1.83,1824,20.0,75.0
114,12,2024-03-18,SK001,B01,R04,20.0,19.6,2.09,552,17.6,75.0
115,12,2024-03-18,SK001,B01,R05,20.0,19.5,1.07,1276,19.8,75.0
116,12,2024-03-18,SK001,B01,R06,20.0,20.1,1.24,2188,22.9,75.0
117,12,2024-03-18,SK001,B01,R07,20.0,21.2,0.94,1920,17.4,75.0
118,12,2024-03-18,SK001,B01,R08,20.0,20.0,0.41,326,20.2,75.0
119,12,2024-03-18,SK001,B01,R09,20.0,19.5,0.6,18240,18.3,75.0
120,12,2024-03-18,SK001,B01,R10,20.0,20.5,0.4,480,21.5,75.0
121,13,2024-03-25,SK001,B01,R01,20.0,20.1,5.71,4416,21.2,75.0
122,13,2024-03-25,SK001,B01,R02,20.0,21.2,1.84,2688,17.0,75.0
123,13,2024-03-25,SK001,B01,R03,20.0,19.8,2.06,1824,16.1,75.0
124,13,2024-03-25,SK001,B01,R04,20.0,19.6,1.06,552,18.6,75.0
125,13,2024-03-25,SK001,B01,R05,20.0,18.3,1.38,1276,23.7,75.0
126,13,2024-03-25,SK001,B01,R06,20.0,21.0,1.66,2188,20.5,75.0
127,13,2024-03-25,SK001,B01,R07,20.0,18.1,0.83,1920,20.1,75.0
128,13,2024-03-25,SK001,B01,R08,20.0,18.8,0.53,326,24.7,75.0
129,13,2024-03-25,SK001,B01,R09,20.0,21.5,0.46,18240,16.5,75.0
130,13,2024-03-25,SK001,B01,R10,20.0,17.8,0.28,480,23.1,75.0
131,14,2024-04-01,SK001,B01,R01,25.4,26.3,4.09,4416,20.6,69.6
132,14,2024-04-01,SK001,B01,R02,20.0,19.1,5.49,2688,24.2,75.0
133,14,2024-04-01,SK001,B01,R03,20.0,17.5,3.14,1824,21.0,75.0
134,14,2024-04-01,SK001,B01,R04,20.0,19.9,3.26,552,16.7,75.0
135,14,2024-04-01,SK001,B01,R05,20.0,21.6,1.85,1276,19.5,75.0
136,14,2024-04-01,SK001,B01,R06,20.0,21.0,2.61,2188,23.3,75.0
137,14,2024-04-01,SK001,B01,R07,20.0,22.0,1.36,1920,24.6,75.0
138,14,2024-04-01,SK001,B01,R08,20.0,18.8,1.06,326,18.3,75.0
139,14,2024-04-01,SK001,B01,R09,20.0,18.1,1.38,18240,24.6,75.0
140,14,2024-04-01,SK001,B01,R10,20.0,17.4,0.51,480,21.5,75.0
141,15,2024-04-08,SK001,B01,R01,20.1,20.0,5.26,4416,22.8,74.9
142,15,2024-04-08,SK001,B01,R02,20.0,17.4,5.45,2688,21.7,75.0
143,15,2024-04-08,SK001,B01,R03,20.0,20.2,1.73,1824,23.2,75.0
144,15,2024-04-08,SK001,B01,R04,20.0,18.6,1.66,552,18.8,75.0
145,15,2024-04-08,SK001,B01,R05,20.0,17.3,2.02,1276,23.3,75.0
146,15,2024-04-08,SK001,B01,R06,20.0,20.7,1.34,2188,23.6,75.0
147,15,2024-04-08,SK001,B01,R07,20.0,18.9,1.06,1920,21.3,75.0
148,15,2024-04-08,SK001,B01,R08,20.0,17.7,0.42,326,23.0,75.0
149,15,2024-04-08,SK001,B01,R09,20.0,21.0,0.71,18240,22.9,75.0
150,15,2024-04-08,SK001,B01,R10,20.0,17.9,0.5,480,20.3,75.0
151,16,2024-04-15,SK001,B01,R01,21.0,19.5,6.4,4416,22.1,74.0
152,16,2024-04-15,SK001,B01,R02,20.0,19.8,4.03,2688,23.9,75.0
153,16,2024-04-15,SK001,B01,R03,20.0,21.1,2.13,1824,21.7,75.0
154,16,2024-04-15,SK001,B01,R04,20.0,20.8,1.92,552,23.8,75.0
155,16,2024-04-15,SK001,B01,R05,20.0,17.3,2.02,1276,15.0,75.0
156,16,2024-04-15,SK001,B01,R06,20.0,17.6,1.1,2188,16.3,75.0
157,16,2024-04-15,SK001,B01,R07,20.0,18.6,1.88,1920,20.1,75.0
158,16,2024-04-15,SK001,B01,R08,20.0,20.3,0.56,326,23.7,75.0
159,16,2024-04-15,SK001,B01,R09,20.0,20.9,0.48,18240,16.9,75.0
160,16,2024-04-15,SK001,B01,R10,20.0,20.1,0.5,480,15.0,75.0
161,17,2024-04-22,SK001,B01,R01,21.6,23.2,2.96,4416,25.5,73.4
162,17,2024-04-22,SK001,B01,R02,20.0,21.2,4.0,2688,18.8,75.0
163,17,2024-04-22,SK001,B01,R03,20.0,20.0,2.99,1824,16.7,75.0
164,17,2024-04-22,SK001,B01,R04,20.0,19.8,1.76,552,21.3,75.0
165,17,2024-04-22,SK001,B01,R05,20.0,21.5,1.86,1276,21.8,75.0
166,17,2024-04-22,SK001,B01,R06,20.0,20.5,1.46,2188,24.3,75.0
167,17,2024-04-22,SK001,B01,R07,20.0,19.5,1.54,1920,21.8,75.0
168,17,2024-04-22,SK001,B01,R08,20.0,21.0,0.95,326,22.7,75.0
169,17,2024-04-22,SK001,B01,R09,20.0,17.9,0.84,18240,24.1,75.0
170,17,2024-04-22,SK001,B01,R10,20.0,20.4,0.18,480,19.8,75.0
171,18,2024-04-29,SK001,B01,R01,23.4,21.0,6.65,4416,19.2,71.6
172,18,2024-04-29,SK001,B01,R02,20.0,21.4,4.2,2688,16.6,75.0
173,18,2024-04-29,SK001,B01,R03,20.0,18.3,3.82,1824,22.9,75.0
174,18,2024-04-29,SK001,B01,R04,20.0,19.7,3.04,552,16.3,75.0
175,18,2024-04-29,SK001,B01,R05,20.0,20.3,2.46,1276,19.4,75.0
176,18,2024-04-29,SK001,B01,R06,20.0,19.2,2.6,2188,16.9,75.0
177,18,2024-04-29,SK001,B01,R07,20.0,17.5,2.0,1920,23.6,75.0
178,18,2024-04-29,SK001,B01,R08,20.0,18.5,1.62,326,21.5,75.0
179,18,2024-04-29,SK001,B01,R09,20.0,18.3,1.09,18240,22.8,75.0
180,18,2024-04-29,SK001,B01,R10,20.0,17.6,1.13,480,22.1,75.0
181,19,2024-05-06,SK001,B01,R01,21.6,20.4,6.36,4416,19.3,73.4
182,19,2024-05-06,SK001,B01,R02,20.0,21.8,2.98,2688,20.7,75.0
183,19,2024-05-06,SK001,B01,R03,20.0,21.9,1.82,1824,22.6,75.0
184,19,2024-05-06,SK001,B01,R04,20.0,18.9,2.38,552,21.3,75.0
185,19,2024-05-06,SK001,B01,R05,20.0,20.3,1.47,1276,20.5,75.0
186,19,2024-05-06,SK001,B01,R06,20.0,17.0,1.52,2188,20.7,75.0
187,19,2024-05-06,SK001,B01,R07,20.0,21.7,1.15,1920,23.3,75.0
188,19,2024-05-06,SK001,B01,R08,20.0,20.8,0.72,326,19.5,75.0
189,19,2024-05-06,SK001,B01,R09,20.0,20.3,0.49,18240,23.4,75.0
190,19,2024-05-06,SK001,B01,R10,20.0,19.3,0.26,480,24.2,75.0
191,20,2024-05-13,SK001,B01,R01,20.0,20.3,4.04,4416,19.1,75.0
192,20,2024-05-13,SK001,B01,R02,20.0,18.7,3.91,2688,21.5,75.0
193,20,2024-05-13,SK001,B01,R03,20.0,17.3,2.88,1824,21.7,75.0
194,20,2024-05-13,SK001,B01,R04,20.0,21.5,1.39,552,16.6,75.0
195,20,2024-05-13,SK001,B01,R05,20.0,17.4,2.01,1276,24.1,75.0
196,20,2024-05-13,SK001,B01,R06,20.0,21.0,1.43,2188,24.4,75.0
197,20,2024-05-13,SK001,B01,R07,20.0,17.4,1.15,1920,20.3,75.0
198,20,2024-05-13,SK001,B01,R08,20.0,19.3,0.57,326,25.0,75.0
199,20,2024-05-13,SK001,B01,R09,20.0,19.4,0.59,18240,20.8,75.0
200,20,2024-05-13,SK001,B01,R10,20.0,18.4,0.27,480,23.3,75.0
201,21,2024-05-20,SK001,B01,R01,20.2,19.1,6.53,4416,19.5,74.8
202,21,2024-05-20,SK001,B01,R02,20.0,21.6,3.7,2688,21.2,75.0
203,21,2024-05-20,SK001,B01,R03,20.0,21.0,2.85,1824,22.3,75.0
204,21,2024-05-20,SK001,B01,R04,20.0,20.4,2.45,552,23.0,75.0
205,21,2024-05-20,SK001,B01,R05,20.0,21.8,1.14,1276,22.2,75.0
206,21,2024-05-20,SK001,B01,R06,20.0,17.3,1.24,2188,17.7,75.0
207,21,2024-05-20,SK001,B01,R07,20.0,18.4,1.36,1920,15.0,75.0
208,21,2024-05-20,SK001,B01,R08,20.0,17.4,0.86,326,24.9,75.0
209,21,2024-05-20,SK001,B01,R09,20.0,19.0,0.79,18240,18.7,75.0
210,21,2024-05-20,SK001,B01,R10,20.0,19.3,0.78,480,21.9,75.0
211,22,2024-05-27,SK001,B01,R01,20.0,19.3,9.57,4416,19.2,75.0
212,22,2024-05-27,SK001,B01,R02,20.0,20.2,6.42,2688,22.7,75.0
213,22,2024-05-27,SK001,B01,R03,20.0,21.6,3.7,1824,18.6,75.0
214,22,2024-05-27,SK001,B01,R04,20.0,19.3,3.36,552,16.9,75.0
215,22,2024-05-27,SK001,B01,R05,20.0,17.7,2.54,1276,21.4,75.0
216,22,2024-05-27,SK001,B01,R06,20.0,19.4,2.57,2188,18.0,75.0
217,22,2024-05-27,SK001,B01,R07,20.0,20.8,1.44,1920,18.4,75.0
218,22,2024-05-27,SK001,B01,R08,20.0,19.2,0.9,326,18.2,75.0
219,22,2024-05-27,SK001,B01,R09,20.0,17.1,0.94,18240,22.5,75.0
220,22,2024-05-27,SK001,B01,R10,20.0,20.6,0.73,480,17.4,75.0
221,23,2024-06-03,SK001,B01,R01,20.0,17.3,8.2,4416,22.8,75.0
222,23,2024-06-03,SK001,B01,R02,20.0,21.5,2.32,2688,19.3,75.0
223,23,2024-06-03,SK001,B01,R03,20.0,20.5,2.68,1824,16.2,75.0
224,23,2024-06-03,SK001,B01,R04,20.0,20.5,1.46,552,21.4,75.0
225,23,2024-06-03,SK001,B01,R05,20.0,21.3,1.41,1276,23.4,75.0
226,23,2024-06-03,SK001,B01,R06,20.0,21.2,1.65,2188,24.5,75.0
227,23,2024-06-03,SK001,B01,R07,20.0,18.7,1.16,1920,23.5,75.0
228,23,2024-06-03,SK001,B01,R08,20.0,21.5,0.46,326,17.2,75.0
229,23,2024-06-03,SK001,B01,R09,20.0,21.2,0.42,18240,15.1,75.0
230,23,2024-06-03,SK001,B01,R10,20.0,18.0,0.55,480,23.8,75.0
231,24,2024-06-10,SK001,B01,R01,22.5,20.8,4.8,4416,22.9,72.5
232,24,2024-06-10,SK001,B01,R02,20.0,17.0,4.7,2688,19.9,75.0
233,24,2024-06-10,SK001,B01,R03,20.0,19.6,2.55,1824,21.3,75.0
234,24,2024-06-10,SK001,B01,R04,20.0,21.2,1.65,552,16.5,75.0
235,24,2024-06-10,SK001,B01,R05,20.0,18.0,1.86,1276,24.3,75.0
236,24,2024-06-10,SK001,B01,R06,20.0,21.0,1.66,2188,18.8,75.0
237,24,2024-06-10,SK001,B01,R07,20.0,18.8,0.8,1920,15.6,75.0
238,24,2024-06-10,SK001,B01,R08,20.0,17.6,0.85,326,23.4,75.0
239,24,2024-06-10,SK001,B01,R09,20.0,19.2,0.78,18240,16.2,75.0
240,24,2024-06-10,SK001,B01,R10,20.0,20.0,0.5,480,17.2,75.0
241,25,2024-06-17,SK001,B01,R01,23.3,24.7,3.6,4416,22.9,71.7
242,25,2024-06-17,SK001,B01,R02,20.0,18.7,4.0,2688,15.6,75.0
243,25,2024-06-17,SK001,B01,R03,20.0,17.6,3.12,1824,19.6,75.0
244,25,2024-06-17,SK001,B01,R04,20.0,21.2,2.12,552,21.4,75.0
245,25,2024-06-17,SK001,B01,R05,20.0,20.4,1.22,1276,19.4,75.0
246,25,2024-06-17,SK001,B01,R06,20.0,19.2,1.02,2188,17.0,75.0
247,25,2024-06-17,SK001,B01,R07,20.0,20.0,1.09,1920,24.8,75.0
248,25,2024-06-17,SK001,B01,R08,20.0,19.1,0.78,326,15.3,75.0
249,25,2024-06-17,SK001,B01,R09,20.0,21.7,0.92,18240,18.9,75.0
250,25,2024-06-17,SK001,B01,R10,20.0,17.2,0.58,480,19.6,75.0
251,26,2024-06-24,SK001,B01,R01,20.0,20.1,3.4,4416,23.3,75.0
252,26,2024-06-24,SK001,B01,R02,20.0,21.3,3.98,2688,16.5,75.0
253,26,2024-06-24,SK001,B01,R03,20.0,21.3,3.28,1824,20.1,75.0
254,26,2024-06-24,SK001,B01,R04,20.0,17.1,2.92,552,21.7,75.0
255,26,2024-06-24,SK001,B01,R05,20.0,19.5,1.02,1276,20.2,75.0
256,26,2024-06-24,SK001,B01,R06,20.0,20.6,1.21,2188,19.5,75.0
257,26,2024-06-24,SK001,B01,R07,20.0,19.8,1.51,1920,20.1,75.0
258,26,2024-06-24,SK001,B01,R08,20.0,19.5,0.77,326,17.6,75.0
259,26,2024-06-24,SK001,B01,R09,20.0,18.1,0.83,18240,18.5,75.0
260,26,2024-06-24,SK001,B01,R10,20.0,19.0,0.53,480,20.3,75.0
261,27,2024-07-01,SK001,B01,R01,22.1,20.9,8.83,4416,24.0,72.9
262,27,2024-07-01,SK001,B01,R02,20.0,22.0,6.35,2688,19.5,75.0
263,27,2024-07-01,SK001,B01,R03,20.0,18.3,2.18,1824,20.0,75.0
264,27,2024-07-01,SK001,B01,R04,20.0,21.7,2.99,552,17.3,75.0
265,27,2024-07-01,SK001,B01,R05,20.0,21.4,2.41,1276,24.5,75.0
266,27,2024-07-01,SK001,B01,R06,20.0,19.8,2.27,2188,19.4,75.0
267,27,2024-07-01,SK001,B01,R07,20.0,21.5,2.62,1920,17.6,75.0
268,27,2024-07-01,SK001,B01,R08,20.0,21.1,1.06,326,20.9,75.0
269,27,2024-07-01,SK001,B01,R09,20.0,18.8,1.33,18240,16.2,75.0
270,27,2024-07-01,SK001,B01,R10,20.0,22.0,0.91,480,23.5,75.0
271,28,2024-07-08,SK001,B01,R01,20.7,21.7,9.2,4416,17.9,74.3
272,28,2024-07-08,SK001,B01,R02,20.0,19.3,3.88,2688,16.5,75.0
273,28,2024-07-08,SK001,B01,R03,20.0,20.3,3.93,1824,15.7,75.0
274,28,2024-07-08,SK001,B01,R04,20.0,18.6,2.95,552,19.5,75.0
275,28,2024-07-08,SK001,B01,R05,20.0,20.7,1.69,1276,24.7,75.0
276,28,2024-07-08,SK001,B01,R06,20.0,18.4,2.44,2188,20.4,75.0
277,28,2024-07-08,SK001,B01,R07,20.0,21.5,1.62,1920,16.8,75.0
278,28,2024-07-08,SK001,B01,R08,20.0,18.5,1.08,326,23.3,75.0
279,28,2024-07-08,SK001,B01,R09,20.0,18.5,1.08,18240,21.1,75.0
280,28,2024-07-08,SK001,B01,R10,20.0,21.1,0.47,480,23.0,75.0
281,29,2024-07-15,SK001,B01,R01,20.0,21.1,7.8,4416,21.4,75.0
282,29,2024-07-15,SK001,B01,R02,20.0,19.2,5.98,2688,19.2,75.0
283,29,2024-07-15,SK001,B01,R03,20.0,18.6,4.56,1824,20.7,75.0
284,29,2024-07-15,SK001,B01,R04,20.0,20.4,1.96,552,16.7,75.0
285,29,2024-07-15,SK001,B01,R05,20.0,21.1,2.84,1276,17.2,75.0
286,29,2024-07-15,SK001,B01,R06,20.0,17.5,1.43,2188,24.1,75.0
287,29,2024-07-15,SK001,B01,R07,20.0,19.0,1.6,1920,17.4,75.0
288,29,2024-07-15,SK001,B01,R08,20.0,21.9,1.14,326,15.9,75.0
289,29,2024-07-15,SK001,B01,R09,20.0,18.1,1.1,18240,23.8,75.0
290,29,2024-07-15,SK001,B01,R10,20.0,21.1,0.47,480,15.6,75.0
291,30,2024-07-22,SK001,B01,R01,20.0,17.5,8.84,4416,22.3,75.0
292,30,2024-07-22,SK001,B01,R02,20.0,20.5,3.4,2688,18.8,75.0
293,30,2024-07-22,SK001,B01,R03,20.0,19.9,3.01,1824,15.2,75.0
294,30,2024-07-22,SK001,B01,R04,20.0,18.4,3.53,552,19.4,75.0
295,30,2024-07-22,SK001,B01,R05,20.0,17.2,2.61,1276,19.3,75.0
296,30,2024-07-22,SK001,B01,R06,20.0,18.5,1.89,2188,21.0,75.0
297,30,2024-07-22,SK001,B01,R07,20.0,17.3,2.06,1920,18.5,75.0
298,30,2024-07-22,SK001,B01,R08,20.0,21.0,1.19,326,15.6,75.0
299,30,2024-07-22,SK001,B01,R09,20.0,17.5,1.43,18240,22.6,75.0
300,30,2024-07-22,SK001,B01,R10,20.0,20.1,0.74,480,24.1,75.0
301,31,2024-07-29,SK001,B01,R01,20.2,19.7,4.98,4416,20.8,74.8
302,31,2024-07-29,SK001,B01,R02,20.0,17.5,5.13,2688,23.7,75.0
303,31,2024-07-29,SK001,B01,R03,20.0,20.1,3.72,1824,15.7,75.0
304,31,2024-07-29,SK001,B01,R04,20.0,21.9,2.73,552,16.6,75.0
305,31,2024-07-29,SK001,B01,R05,20.0,20.9,2.15,1276,20.3,75.0
306,31,2024-07-29,SK001,B01,R06,20.0,17.3,2.31,2188,21.2,75.0
307,31,2024-07-29,SK001,B01,R07,20.0,21.2,2.12,1920,19.3,75.0
308,31,2024-07-29,SK001,B01,R08,20.0,20.4,0.75,326,21.4,75.0
309,31,2024-07-29,SK001,B01,R09,20.0,21.1,1.18,18240,20.2,75.0
310,31,2024-07-29,SK001,B01,R10,20.0,21.5,0.46,480,23.3,75.0
311,32,2024-08-05,SK001,B01,R01,20.0,18.5,8.36,4416,15.8,75.0
312,32,2024-08-05,SK001,B01,R02,20.0,21.5,4.43,2688,19.3,75.0
313,32,2024-08-05,SK001,B01,R03,20.0,20.6,3.63,1824,16.0,75.0
314,32,2024-08-05,SK001,B01,R04,20.0,19.4,3.34,552,19.7,75.0
315,32,2024-08-05,SK001,B01,R05,20.0,17.8,2.58,1276,21.1,75.0
316,32,2024-08-05,SK001,B01,R06,20.0,17.8,2.24,2188,15.0,75.0
