vd_id,fiscal_week,brand_id,retailer_id,current_net_sales,prior_yr_net_sales,total_change,pct_change,distribution_driver,velocity_driver,price_mix_driver,promo_driver,base_volume,incremental_volume,price_elasticity
75,8,B01,R05,96.22,94.33,1.89,2.0,0.67,1.11,0.42,-0.31,71.37,37.77,-1.85
76,8,B01,R06,94.58999999999999,92.74,1.85,2.0,-0.54,-0.2,0.31,2.28,60.05,37.01,-1.16
77,8,B01,R07,87.69,85.97,1.72,2.0,0.66,0.47,-0.39,0.98,58.83,26.62,-1.28
78,8,B01,R08,53.900000000000006,52.84,1.06,2.0,-0.17,-0.34,0.29,1.28,37.99,20.21,-1.11
79,8,B01,R09,51.330000000000005,50.32,1.01,2.0,0.15,-0.3,-0.24,1.4,34.54,18.09,-1.84
80,8,B01,R10,30.33,29.74,0.59,2.0,0.05,-0.01,0.03,0.52,19.65,7.61,-1.76
81,9,B01,R01,600.8,589.02,11.78,2.0,1.52,-1.88,-0.02,12.16,384.16,205.9,-1.64
82,9,B01,R02,379.82,372.37,7.45,2.0,3.51,0.98,0.5,2.46,233.83,109.93,-1.47
83,9,B01,R03,255.40999999999997,250.4,5.01,2.0,0.03,1.46,0.47,3.05,158.51,114.93,-1.16
84,9,B01,R04,231.69,227.15,4.54,2.0,-1.18,2.37,-0.25,3.6,132.92,84.98,-1.18
85,9,B01,R05,169.51,166.19,3.32,2.0,0.29,1.62,0.42,0.99,121.97,69.59,-1.05
86,9,B01,R06,150.66,147.71,2.95,2.0,0.85,0.46,-0.56,2.2,93.08,42.68,-2.23
87,9,B01,R07,128.20999999999998,125.7,2.51,2.0,0.25,-0.83,-0.41,3.5,94.45,38.65,-1.47
88,9,B01,R08,77.38000000000001,75.86,1.52,2.0,0.37,-0.13,0.0,1.28,53.84,21.81,-1.54
89,9,B01,R09,70.74000000000001,69.35,1.39,2.0,0.49,0.7,0.32,-0.12,49.82,18.06,-2.42
90,9,B01,R10,56.93,55.81,1.12,2.0,-0.33,0.44,-0.19,1.2,34.22,23.14,-1.09
91,10,B01,R01,463.25,454.17,9.08,2.0,-1.97,0.88,1.97,8.2,272.82,180.41,-1.9
92,10,B01,R02,270.36,265.06,5.3,2.0,-0.43,-0.24,-0.91,6.88,156.43,78.68,-2.23
93,10,B01,R03,172.99,169.6,3.39,2.0,1.56,0.03,0.98,0.82,103.54,44.49,-2.48
94,10,B01,R04,137.29,134.6,2.69,2.0,0.63,0.5,0.4,1.16,85.58,51.22,-2.19
95,10,B01,R05,121.31,118.93,2.38,2.0,-0.69,-0.48,0.38,3.17,66.84,50.51,-1.84
96,10,B01,R06,104.45,102.4,2.05,2.0,0.45,1.17,0.06,0.37,59.59,30.23,-1.79
97,10,B01,R07,81.46000000000001,79.86,1.6,2.0,0.2,0.85,-0.3,0.85,49.95,28.33,-1.56
98,10,B01,R08,57.78,56.65,1.13,2.0,-0.27,0.15,-0.23,1.48,33.45,25.14,-1.35
99,10,B01,R09,55.989999999999995,54.89,1.1,2.0,0.51,-0.15,0.05,0.69,39.39,15.19,-1.58
100,10,B01,R10,35.28,34.59,0.69,2.0,0.04,-0.09,0.04,0.7,24.13,11.93,-2.11
101,11,B01,R01,422.87,414.58,8.29,2.0,-2.02,-1.73,-0.14,12.18,246.14,119.35,-2.13
102,11,B01,R02,265.07,259.87,5.2,2.0,0.41,2.29,-0.5,3.0,159.43,95.33,-1.72
103,11,B01,R03,167.31,164.03,3.28,2.0,0.54,0.64,-0.45,2.55,102.85,63.01,-1.75
104,11,B01,R04,156.25,153.19,3.06,2.0,0.75,1.17,-0.41,1.55,98.46,52.64,-2.34
105,11,B01,R05,112.18,109.98,2.2,2.0,0.8,0.01,0.44,0.95,69.21,38.6,-1.94
106,11,B01,R06,106.98,104.88,2.1,2.0,0.15,-0.26,0.39,1.82,68.68,31.44,-2.39
107,11,B01,R07,78.84,77.29,1.55,2.0,0.05,-0.09,0.45,1.14,56.71,30.49,-1.26
108,11,B01,R08,54.88000000000001,53.8,1.08,2.0,0.32,0.4,0.29,0.07,40.77,18.67,-1.76
109,11,B01,R09,49.39,48.42,0.97,2.0,0.43,-0.12,-0.23,0.89,29.65,18.42,-2.1
110,11,B01,R10,35.95,35.25,0.7,2.0,-0.16,-0.19,-0.09,1.14,19.95,15.24,-1.94
111,12,B01,R01,307.97,301.93,6.04,2.0,2.14,1.45,0.39,2.06,215.55,120.33,-1.64
112,12,B01,R02,265.08,259.88,5.2,2.0,2.42,-0.17,0.21,2.74,183.47,81.01,-2.35
113,12,B01,R03,193.15000000000003,189.36,3.79,2.0,-0.28,2.12,0.3,1.65,129.45,75.31,-1.93
114,12,B01,R04,135.07999999999998,132.43,2.65,2.0,0.48,-0.08,-0.07,2.32,100.62,35.65,-1.82
115,12,B01,R05,112.85999999999999,110.65,2.21,2.0,-0.41,1.32,-0.15,1.45,71.1,44.9,-1.06
116,12,B01,R06,85.94,84.25,1.69,2.0,0.36,0.39,-0.13,1.07,59.68,21.97,-1.91
117,12,B01,R07,96.88,94.98,1.9,2.0,-0.26,0.63,-0.14,1.67,58.58,41.72,-2.08
118,12,B01,R08,55.99,54.89,1.1,2.0,-0.28,0.09,-0.12,1.41,39.66,20.02,-2.29
119,12,B01,R09,49.53999999999999,48.57,0.97,2.0,0.06,-0.31,-0.02,1.24,32.46,19.68,-1.54
120,12,B01,R10,30.729999999999997,30.13,0.6,2.0,-0.1,0.31,0.0,0.39,20.33,11.39,-2.35
121,13,B01,R01,460.46000000000004,451.43,9.03,2.0,-1.78,-2.72,2.32,11.21,260.63,132.77,-1.41
122,13,B01,R02,261.45,256.32,5.13,2.0,-0.91,1.34,0.77,3.93,160.76,65.45,-2.16
123,13,B01,R03,175.1,171.67,3.43,2.0,-0.18,0.06,-0.44,3.99,108.38,68.22,-1.91
124,13,B01,R04,103.65,101.62,2.03,2.0,0.54,-0.64,0.04,2.09,71.32,43.63,-1.93
125,13,B01,R05,101.6,99.61,1.99,2.0,0.61,0.78,-0.3,0.9,61.51,45.55,-1.55
126,13,B01,R06,127.98000000000002,125.47,2.51,2.0,-0.23,0.61,-0.02,2.15,76.89,42.28,-1.8
127,13,B01,R07,83.24,81.61,1.63,2.0,-0.11,0.22,-0.38,1.9,55.58,31.53,-1.85
128,13,B01,R08,57.870000000000005,56.74,1.13,2.0,-0.05,0.34,-0.24,1.08,33.14,20.48,-2.41
129,13,B01,R09,49.59,48.62,0.97,2.0,-0.05,-0.08,0.16,0.94,31.08,12.99,-1.31
130,13,B01,R10,32.22,31.59,0.63,2.0,0.28,-0.23,-0.17,0.75,20.43,11.79,-1.82
131,14,B01,R01,659.97,647.03,12.94,2.0,-2.2,4.01,-3.84,14.97,432.89,223.83,-1.24
132,14,B01,R02,441.06,432.41,8.65,2.0,-1.76,-3.22,2.29,11.34,252.4,193.64,-1.17
133,14,B01,R03,301.17,295.26,5.91,2.0,2.7,-2.22,0.58,4.85,169.21,90.09,-2.22
134,14,B01,R04,216.42,212.18,4.24,2.0,-1.25,0.44,0.76,4.29,127.7,86.9,-1.59
135,14,B01,R05,201.64,197.69,3.95,2.0,0.01,0.04,-0.33,4.23,115.15,85.09,-1.77
136,14,B01,R06,211.14000000000004,207.0,4.14,2.0,1.06,1.19,-0.1,1.99,136.18,91.95,-1.32
137,14,B01,R07,136.4,133.73,2.67,2.0,0.28,-0.22,-0.65,3.26,77.34,56.25,-1.69
138,14,B01,R08,90.27,88.5,1.77,2.0,-0.22,0.67,-0.07,1.39,53.71,39.19,-1.21
139,14,B01,R09,98.11,96.19,1.92,2.0,-0.36,0.19,-0.07,2.16,71.33,32.07,-1.36
140,14,B01,R10,49.839999999999996,48.86,0.98,2.0,-0.07,-0.27,0.07,1.25,33.5,19.02,-2.3
141,15,B01,R01,496.12,486.39,9.73,2.0,4.68,-2.37,-2.09,9.51,322.73,177.68,-1.67
142,15,B01,R02,337.93,331.3,6.63,2.0,1.79,-1.07,-1.72,7.63,220.53,123.22,-2.04
143,15,B01,R03,209.95999999999998,205.84,4.12,2.0,1.55,-0.64,-0.45,3.66,128.04,70.14,-1.52
144,15,B01,R04,152.43,149.44,2.99,2.0,1.12,0.62,-0.26,1.51,107.9,54.42,-1.49
145,15,B01,R05,137.0,134.31,2.69,2.0,0.43,-0.27,0.07,2.46,98.87,57.05,-1.63
146,15,B01,R06,141.59,138.81,2.78,2.0,0.69,1.18,0.27,0.64,80.36,46.53,-2.09
147,15,B01,R07,101.84000000000002,99.84,2.0,2.0,0.49,0.57,-0.0,0.94,64.35,44.99,-2.07
148,15,B01,R08,62.8,61.57,1.23,2.0,0.41,0.73,0.25,-0.16,35.88,25.35,-1.24
149,15,B01,R09,51.900000000000006,50.88,1.02,2.0,0.11,0.34,0.26,0.31,32.37,22.69,-1.27
150,15,B01,R10,35.08,34.39,0.69,2.0,0.34,0.38,-0.07,0.04,23.65,11.04,-1.42
151,16,B01,R01,546.96,536.24,10.72,2.0,-1.94,-0.06,-0.7,13.42,370.77,168.17,-1.14
152,16,B01,R02,315.88,309.69,6.19,2.0,2.66,3.53,-1.24,1.24,221.3,124.22,-1.68
153,16,B01,R03,162.12,158.94,3.18,2.0,-0.91,-0.38,-0.08,4.55,105.65,49.35,-1.63
154,16,B01,R04,178.87,175.36,3.51,2.0,1.63,0.75,0.83,0.3,129.12,75.2,-1.65
155,16,B01,R05,118.3,115.98,2.32,2.0,0.7,-0.07,0.2,1.49,68.43,33.99,-2.35
156,16,B01,R06,118.75,116.42,2.33,2.0,0.83,-0.43,-0.49,2.42,80.47,46.67,-2.18
157,16,B01,R07,111.04,108.86,2.18,2.0,0.2,0.18,0.03,1.77,72.77,38.25,-1.23
158,16,B01,R08,62.790000000000006,61.56,1.23,2.0,0.45,0.48,-0.2,0.5,36.48,16.33,-1.39
159,16,B01,R09,59.510000000000005,58.34,1.17,2.0,-0.33,-0.37,0.15,1.72,41.19,15.41,-2.08
160,16,B01,R10,43.040000000000006,42.2,0.84,2.0,-0.06,0.31,-0.2,0.79,26.04,12.09,-1.26
161,17,B01,R01,493.11,483.44,9.67,2.0,-2.31,-0.87,-0.02,12.87,313.06,215.69,-2.45
162,17,B01,R02,302.84000000000003,296.9,5.94,2.0,0.72,2.77,-0.91,3.36,211.61,123.52,-1.77
163,17,B01,R03,250.06,245.16,4.9,2.0,-0.92,-1.22,-1.04,8.08,168.48,101.83,-1.88
164,17,B01,R04,158.6,155.49,3.11,2.0,0.51,-0.43,0.47,2.56,114.36,47.33,-2.12
165,17,B01,R05,149.17000000000002,146.25,2.92,2.0,0.63,0.82,0.31,1.16,100.82,57.52,-2.34
166,17,B01,R06,129.09,126.56,2.53,2.0,-0.17,0.58,-0.29,2.41,77.27,33.47,-1.53
167,17,B01,R07,101.47,99.48,1.99,2.0,-0.52,0.88,-0.43,2.06,65.73,43.85,-1.76
168,17,B01,R08,67.15,65.83,1.32,2.0,0.01,-0.22,0.15,1.38,48.68,21.65,-2.44
169,17,B01,R09,58.55,57.4,1.15,2.0,0.45,-0.13,0.27,0.56,35.29,18.98,-2.47
170,17,B01,R10,40.04,39.25,0.79,2.0,-0.23,0.37,0.18,0.47,29.41,12.09,-2.32
171,18,B01,R01,636.23,623.75,12.48,2.0,0.98,4.9,3.07,3.53,379.65,256.65,-1.48
172,18,B01,R02,477.82,468.45,9.37,2.0,2.9,-2.8,-1.1,10.37,354.45,202.73,-2.38
173,18,B01,R03,262.77,257.62,5.15,2.0,2.05,0.07,-0.65,3.68,196.82,102.57,-1.71
174,18,B01,R04,259.11,254.03,5.08,2.0,-1.42,0.61,-0.08,5.97,167.61,115.64,-1.8
175,18,B01,R05,186.10999999999999,182.46,3.65,2.0,1.8,-1.05,0.05,2.85,120.48,48.39,-1.51
176,18,B01,R06,180.39,176.85,3.54,2.0,1.1,-0.66,0.7,2.4,106.31,56.84,-1.24
177,18,B01,R07,157.95,154.85,3.1,2.0,-0.74,-0.58,0.21,4.21,113.96,69.94,-1.08
178,18,B01,R08,92.4,90.59,1.81,2.0,-0.54,-0.68,0.13,2.9,62.62,35.97,-1.88
179,18,B01,R09,81.38,79.78,1.6,2.0,-0.21,-0.4,-0.2,2.41,57.99,21.8,-1.13
180,18,B01,R10,70.79,69.4,1.39,2.0,0.2,0.3,0.3,0.59,45.31,24.67,-1.52
181,19,B01,R01,514.68,504.59,10.09,2.0,0.25,-1.63,2.94,8.53,367.52,129.2,-1.49
182,19,B01,R02,314.29,308.13,6.16,2.0,-0.75,-1.69,1.05,7.55,195.67,121.58,-1.55
183,19,B01,R03,207.61,203.54,4.07,2.0,1.33,0.16,0.42,2.16,147.97,89.46,-2.49
184,19,B01,R04,174.88,171.45,3.43,2.0,1.69,1.18,-0.02,0.58,102.06,51.48,-1.91
185,19,B01,R05,127.85,125.34,2.51,2.0,-0.1,-0.12,0.62,2.11,73.64,41.53,-1.6
186,19,B01,R06,127.78,125.27,2.51,2.0,-0.72,-0.79,0.22,3.8,87.06,32.51,-1.42
187,19,B01,R07,98.35000000000001,96.42,1.93,2.0,0.2,0.89,0.12,0.72,60.83,33.2,-1.11
188,19,B01,R08,75.23,73.75,1.48,2.0,0.32,-0.57,0.26,1.47,50.89,29.43,-1.3
189,19,B01,R09,57.870000000000005,56.74,1.13,2.0,0.37,-0.08,-0.14,0.98,33.27,17.59,-1.73
190,19,B01,R10,39.11,38.34,0.77,2.0,-0.11,0.39,-0.19,0.68,28.72,11.0,-1.12
191,20,B01,R01,421.46000000000004,413.2,8.26,2.0,-1.24,-2.58,-1.95,14.03,252.79,177.21,-1.04
192,20,B01,R02,318.45,312.21,6.24,2.0,2.67,2.96,0.14,0.47,235.65,132.67,-2.33
193,20,B01,R03,184.94,181.31,3.63,2.0,-0.72,1.66,-0.3,2.99,109.27,82.72,-1.26
194,20,B01,R04,146.23,143.36,2.87,2.0,-0.54,-0.9,0.29,4.02,84.57,45.76,-2.15
195,20,B01,R05,134.5,131.86,2.64,2.0,-0.08,0.23,0.13,2.36,88.56,42.03,-1.16
196,20,B01,R06,137.78,135.08,2.7,2.0,0.78,0.21,0.16,1.55,100.91,35.99,-1.15
197,20,B01,R07,113.53999999999999,111.31,2.23,2.0,-0.66,-0.15,0.38,2.66,81.73,28.69,-1.45
198,20,B01,R08,62.61,61.38,1.23,2.0,0.12,-0.26,0.01,1.36,36.12,21.69,-2.11
199,20,B01,R09,65.43,64.15,1.28,2.0,0.2,0.01,-0.22,1.29,47.14,17.87,-1.19
200,20,B01,R10,37.61,36.87,0.74,2.0,0.22,0.25,0.0,0.27,23.35,10.77,-2.08
201,21,B01,R01,494.54,484.84,9.7,2.0,2.26,-1.84,-1.83,11.11,360.67,191.1,-1.84
202,21,B01,R02,315.6,309.41,6.19,2.0,0.88,1.96,1.81,1.54,201.57,87.93,-2.27
203,21,B01,R03,229.32,224.82,4.5,2.0,0.69,-0.26,-1.02,5.09,132.92,95.59,-2.05
204,21,B01,R04,167.92,164.63,3.29,2.0,0.92,1.11,-0.74,2.0,116.32,67.19,-1.25
205,21,B01,R05,116.69999999999999,114.41,2.29,2.0,-0.51,0.96,0.65,1.19,73.78,30.67,-1.22
206,21,B01,R06,107.3,105.2,2.1,2.0,0.98,0.81,0.17,0.14,62.42,47.31,-1.42
207,21,B01,R07,127.02000000000001,124.53,2.49,2.0,-0.49,0.21,-0.22,2.99,94.72,47.29,-2.42
208,21,B01,R08,59.129999999999995,57.97,1.16,2.0,0.32,0.43,0.08,0.33,41.92,19.08,-1.32
209,21,B01,R09,60.230000000000004,59.05,1.18,2.0,-0.13,-0.05,-0.35,1.71,40.65,20.65,-1.25
210,21,B01,R10,43.31,42.46,0.85,2.0,0.41,0.04,-0.22,0.62,24.37,11.6,-2.05
211,22,B01,R01,765.0999999999999,750.1,15.0,2.0,-0.13,-3.9,1.12,17.91,484.13,202.11,-1.19
212,22,B01,R02,544.71,534.03,10.68,2.0,4.74,-1.94,0.83,7.05,402.15,212.56,-1.91
213,22,B01,R03,285.33000000000004,279.74,5.59,2.0,-0.92,1.86,1.62,3.03,213.47,80.44,-1.89
214,22,B01,R04,221.35999999999999,217.02,4.34,2.0,0.38,-0.23,0.2,3.99,125.42,95.73,-1.09
215,22,B01,R05,192.95,189.17,3.78,2.0,0.78,-1.19,0.56,3.63,108.66,58.69,-1.06
216,22,B01,R06,169.45,166.13,3.32,2.0,0.12,-0.4,-0.82,4.42,97.5,59.72,-1.81
217,22,B01,R07,148.76,145.84,2.92,2.0,0.21,1.05,0.55,1.11,84.94,42.14,-2.14
218,22,B01,R08,108.37,106.25,2.12,2.0,0.67,1.12,0.22,0.11,63.65,46.56,-1.16
219,22,B01,R09,83.47,81.83,1.64,2.0,0.74,-0.64,-0.2,1.74,49.17,33.22,-1.98
220,22,B01,R10,49.199999999999996,48.24,0.96,2.0,0.12,-0.11,0.16,0.79,33.96,14.3,-1.96
221,23,B01,R01,512.25,502.21,10.04,2.0,-2.98,-0.02,1.37,11.67,339.0,198.76,-1.79
222,23,B01,R02,278.57,273.11,5.46,2.0,-0.12,0.28,0.1,5.2,166.7,73.53,-1.1
223,23,B01,R03,191.25,187.5,3.75,2.0,1.71,-0.7,-0.65,3.39,126.86,86.02,-1.11
224,23,B01,R04,172.72,169.33,3.39,2.0,0.81,0.21,0.83,1.54,120.93,55.05,-1.49
225,23,B01,R05,151.16,148.2,2.96,2.0,0.23,-0.19,0.61,2.31,93.31,64.27,-1.64
226,23,B01,R06,133.2,130.59,2.61,2.0,1.14,1.42,-0.05,0.1,85.83,40.97,-2.27
227,23,B01,R07,110.19999999999999,108.04,2.16,2.0,-0.41,-0.37,0.11,2.83,79.93,45.57,-2.48
228,23,B01,R08,58.67,57.52,1.15,2.0,0.01,0.62,0.02,0.5,40.74,20.09,-2.44
229,23,B01,R09,51.18000000000001,50.18,1.0,2.0,0.16,-0.2,0.18,0.86,37.64,20.61,-1.62
230,23,B01,R10,40.440000000000005,39.65,0.79,2.0,0.26,0.14,-0.16,0.55,26.74,15.22,-1.49
231,24,B01,R01,426.2299999999999,417.87,8.36,2.0,1.26,2.29,1.56,3.25,273.44,153.42,-1.87
232,24,B01,R02,347.41999999999996,340.61,6.81,2.0,-1.49,3.22,0.55,4.53,221.5,109.08,-1.11
233,24,B01,R03,196.85,192.99,3.86,2.0,0.82,1.3,0.33,1.41,136.33,75.18,-2.31
234,24,B01,R04,183.49,179.89,3.6,2.0,0.3,1.81,0.13,1.36,113.5,76.58,-2.44
235,24,B01,R05,122.27,119.87,2.4,2.0,-0.04,-0.92,-0.64,4.0,83.34,30.69,-1.53
236,24,B01,R06,138.73000000000002,136.01,2.72,2.0,0.75,1.48,-0.09,0.58,77.12,55.51,-1.67
237,24,B01,R07,106.36,104.27,2.09,2.0,0.19,0.72,-0.19,1.37,73.67,44.85,-1.88
238,24,B01,R08,66.15,64.85,1.3,2.0,0.12,-0.1,0.07,1.21,42.88,29.55,-2.49
239,24,B01,R09,67.25,65.93,1.32,2.0,0.56,0.31,0.38,0.07,44.48,21.72,-1.3
240,24,B01,R10,35.82000000000001,35.12,0.7,2.0,0.3,0.1,-0.04,0.34,23.18,15.14,-1.7
